年,季,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師,核閱或查核日期,核閱或查核報告類型
2013,1,1101,台泥,勤業眾信聯合會計師事務所,邵志明,吳美慧,102/05/14,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1102,亞泥,勤業眾信聯合會計師事務所,戴信維,郭俐雯,102/05/14,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1103,嘉泥,勤業眾信聯合會計師事務所,方小萍,仲偉,102/05/07,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1104,環球水泥,勤業眾信聯合會計師事務所,李季珍,龔俊吉,102/05/14,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1108,幸福水泥,勤業眾信聯合會計師事務所,會 計 師謝建新,會 計 師陳招美,102/05/09,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1109,信大水泥,資誠聯合會計師事務所,李秀玲,馮敏娟,102/05/15,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1110,東泥,國富浩華聯合會計師事務所,黃鈴雯,謝仁耀,102/05/13,保留意見(附加其他事項說明段)-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1201,味全公司,資誠聯合會計師事務所,吳郁隆,王照明,102/05/14,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1203,味王公司,大中國際聯合會計師事務所,林寬照,溫明郁,102/05/14,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱、其他
2013,1,1210,大成長城,安侯建業會計師事務所,陳富煒,鍾丹丹,102/05/13,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1213,大飲,資誠聯合會計師事務所,蕭金木,吳漢期,102/05/15,保留意見-其他
2013,1,1215,卜蜂企業,資誠聯合會計師事務所,王輝賢,謝智政,102/05/06,無保留意見
2013,1,1216,統一,資誠聯合會計師事務所,劉子猛,林姿妤,102/05/13,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1217,愛之味,國富浩華聯合會計師事務所,黃鈴雯,蔡淑滿,102/05/10,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1218,泰山企業,安侯建業聯合會計師事務所,簡蒂暖,池世欽,102/05/13,保留意見(附加其他事項說明段)-採用其他會計師查核(核閱)報告且欲區分責任、非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1219,福壽實業,群智聯合會計師事務所,黃奕睿,陳郁惠,102/05/13,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1220,台榮,立本台灣聯合會計師事務所,柯俊輝,陳玉芳,102/05/10,保留意見-其他
2013,1,1225,福懋油,勤業眾信聯合會計師事務所,謝建新,吳恩銘,102/05/09,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1227,佳格,勤業眾信聯合會計師事務所,許庭禎,蔡宏祥,102/04/23,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1229,聯華實業,安侯建業聯合會計師事務所,楊柳鋒,許淑敏,102/05/13,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1231,聯華食品,勤業眾信聯合會計師事務所,林安惠,柯志賢,102/05/08,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1232,大統益,資誠聯合會計師事務所,劉子猛,林姿妤,102/04/30,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1233,天仁,安永聯合會計師事務所,徐榮煌,曾祥裕,102/05/13,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1234,黑松,勤業眾信聯合會計師事務所,陳慧銘,林宜慧,102/05/10,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1235,興泰,冠恆聯合會計師事務所,萬益東,張進德,102/04/25,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1236,宏亞食品,安永聯合會計師事務所,黃建澤,徐榮煌,102/05/14,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1256,鮮活果汁-KY,勤業眾信聯合會計師事務所,謝明忠,陳慧銘,102/05/13,無保留意見
2013,1,1301,台塑,安侯建業聯合會計師事務所,吳秋華,李慈慧,102/05/03,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1303,南亞塑膠,安侯建業聯合會計師事務所,吳秋華,寇惠植,102/05/14,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1304,台聚,勤業眾信聯合會計師事務所,韋亮發,黃秀椿,102/05/10,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1305,華夏,勤業眾信聯合會計師事務所,黃秀椿,韋亮發,102/05/10,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1307,三芳化工,勤業眾信聯合會計師事務所,吳秋燕,陳珍麗,102/05/03,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1308,亞聚,勤業眾信聯合會計師事務所,韋亮發,郭慈容,102/05/10,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1309,台達化工,勤業眾信聯合會計師事務所,黃秀椿,吳世宗,102/05/10,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1310,台苯,正風聯合會計師事務所,賴永吉,曾國富,102/05/14,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1312,國喬石化,國富浩華聯合會計師事務所,蕭英嘉,林美玲,102/05/14,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
2013,1,1313,聯成,勤業眾信聯合會計師事務所,劉建良,王儀雯,102/04/29,保留意見-非重要子公司或採用權益法之投資未經會計師查核或核閱
