年,季,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師,核閱或查核日期,核閱或查核報告類型
2004,1,1101,台泥,致遠會計師事務所,李明昱,陳慕賢,93/04/19,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1102,亞泥,勤業眾信會計師事務所,顏漏有,王金山,93/04/23,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1103,嘉泥,勤業眾信會計師事務所,方小萍,仲偉,93/04/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1104,環球水泥,資誠會計師事務所,王嘉瑜,陳美姿,93/04/28,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1108,幸福水泥,勤業眾信 會 計 師 事 務 所,施景彬(YYY代表會計師,陳招美(YYY代表會計師,93/04/21,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1109,信大水泥,致遠會計師事務所,李秀玲,鄧泗堂,93/04/16,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1110,東泥,建興聯合會計師事務所,劉吉雄,黃鈴雯,93/04/16,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1201,味全公司,資誠會計師事務所,陳永清,吳郁隆,93/04/16,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1203,味王公司,大中國際聯合會計師事務所,林寬照,李聰明,93/04/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1210,大成長城,安侯建業會計師事務所,鍾丹丹,陳眉芳,93/04/25,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1213,大飲,志 遠 會 計 師 事 務 所,"黃 學 平 (YYY代表會�/td>何 志 儒 (YYY代表會�/td>93/04/17
標準式無保留核閱報告","何 志 儒 (YYY代表會�/td>93/04/17
標準式無保留核閱報告",93/04/17,標準式無保留核閱報告
2004,1,1215,卜蜂企業,資誠會計師事務所,李燕松,王輝賢,93/04/19,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1216,統一,資誠會計師事務所,李明憲,蔡金拋,93/04/28,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1217,愛之味,建 興 聯 合 會 計 師 事 務 所,劉吉雄,黃有慶,93/04/25,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1218,泰山企業,安侯建業聯合會計師事務所,陳嘉修,吳昭德,93/04/16,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1219,福壽實業,群 智 聯 合 會 計 師 事 務 所,黃春生,方文寶,93/04/21,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1220,台榮,立本台灣聯合會計師事務所,陶鴻文,郭昌華,93/04/20,標準式無保留核閱報告
2004,1,1225,福懋油,勤業眾信會計師事務所,游智惠,謝建新,93/04/15,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1227,佳格,勤業眾信會計師事務所,張銘政,許庭禎,93/10/18,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1229,聯華實業,安侯建業會計師事務所,江忠儀,楊柳鋒,93/04/19,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1231,聯華食品,勤 業 眾 信 會 計 師 事 務 所,張清福,吳金順,93/04/16,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1232,大統益,資誠會計師事務所,劉子猛,林姿妤,93/04/16,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1233,天仁,致遠 聯 合 會 計 師 事 務 所,"鄧泗堂 (YYY代表會計�/td>蕭翠慧 (YYY代表會計�/td>92/04/20
保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益","蕭翠慧 (YYY代表會計�/td>92/04/20
保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益",92/04/20,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1234,黑松,勤 業 眾 信 會 計 師 事 務 所,陳慧銘,游素環,93/04/19,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1235,興泰,第一聯合會計師事務所,張福郎,甘有財,93/04/16,標準式無保留核閱報告
2004,1,1236,宏亞食品,立本台灣聯合會計師事務所,徐榮煌(YYY代表會計師,徐憶芳(YYY代表會計師,93/04/16,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1301,台塑,安侯建業會計師事務所,劉義吉,吳秋華,93/04/28,修正式無保留核閱報告--採用其他會計師查核且欲區分責任
2004,1,1303,南亞塑膠,安侯建業會計師事務所,劉義吉,吳秋華,93/04/28,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1304,台聚,勤業眾信會計師事務所,韋 亮 發,范 有 偉,93/04/26,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1305,華夏,勤 業 眾 信 會 計 師 事 務 所,范有偉,王小蕙,93/04/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1307,三芳化工,安侯建業聯合會計師事務所,蘇慈玲,陳國宗,93/04/19,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1308,亞聚,勤 業 眾 信 會 計 師 事 務 所,王 小 蕙,范 有 偉,93/04/24,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1309,台達化工,勤業眾信會計師事務所,王小蕙,范有偉,93/04/26,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1310,台苯,正風聯合會計師事務所,丁鴻勛,黃國師,93/04/17,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1312,國喬石化,第一聯合會計師事務所,林志隆,蕭英嘉,93/04/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1313,聯成,勤業眾信會計師事務所,張銘政,郭文吉,93/04/23,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1314,中石化,安侯建業會計師事務所,陳眉芳,鍾丹丹,93/04/20,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1315,達新工業,第一聯合會計師事務所,王戊昌,張福郎,93/04/24,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1316,上曜,資誠會計師事務所,劉子猛,林姿妤,93/04/19,修正式無保留核閱報告--前期由其他會計師查核
2004,1,1319,東陽,致遠會計師事務所,吳健源,蔡清典,93/04/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1321,大洋,安侯建業會計師事務所,吳清堅,蔡松棋,93/04/21,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1323,永裕,勤業眾信會計師事務所,吳秋燕,黃李松,93/04/13,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1324,地球工業,致遠會計師事務所,楊文安,佟韻玲,93/04/19,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1325,恒大,勤業眾信會計師事務所,陳照敏,劉江抱,93/04/16,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1326,台化,致遠會計師事務所,阮呂豔,何志儒,93/04/20,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1402,遠東新,勤業眾信會計師事務所,游智惠,魏永篤,93/04/23,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1409,新纖,勤業眾信會計師事務所,"劉水恩 (YYY代表會計�/td>蔡宏祥 (YYY代表會計�/td>93/04/14
保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益","蔡宏祥 (YYY代表會計�/td>93/04/14
保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益",93/04/14,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1410,南染,致遠會計師事務所,黃學平,阮呂艷,93/04/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1413,宏洲纖維,立本台灣聯合會計師事務所,陳玉芳,郭昌華,93/04/26,標準式無保留核閱報告
2004,1,1414,東和,安侯建業會計師事務所,蘇慈玲,陳國宗,93/04/15,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1416,廣豐,第一 聯 合 會 計 師 事 務 所,林志隆(YYY代表會計師,高佩 (YYY代表會計師2,93/04/26,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1417,嘉裕,立本台灣聯合會計師事務所,賴明陽,徐憶芳,93/04/23,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1418,東華,勤業眾信會計師事務所,黃海悅,林谷同,93/04/15,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1419,新紡,勤業眾信會計師事務所,池瑞全,陳慧銘,93/04/18,標準式無保留核閱報告
2004,1,1423,利華羊毛,致遠會計師事務所,林榮裕,柯淵育,93/04/15,標準式無保留核閱報告
2004,1,1432,大魯閣,致 遠 會 計 師 事 務 所,鄧泗堂,蕭翠慧,93/03/24,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1434,福懋興業,致 遠 會 計 師 事 務 所,黃學平,阮呂艷,93/04/16,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1435,中福國際,勤業眾信會計師事務所,黃廷育會計師,吳恩銘會計師,95/10/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1436,華友聯,勤業眾信會計師事務所,卓明信,游智惠,93/04/26,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1437,勤益投控,安侯建業會計師事務所,關春修,林秀玉,93/04/19,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1438,裕豐,揚智聯合會計師事務所,胡湘寧,林思寧,93/04/17,修正式無保留核閱報告--繼續經營假設有疑慮
2004,1,1439,中和羊毛,致 遠 會 計 師 事 務 所,"林榮裕 (YYY代表會計�/td>柯淵育 (YYY代表會計�/td>93/04/28
標準式無保留核閱報告","柯淵育 (YYY代表會計�/td>93/04/28
標準式無保留核閱報告",93/04/28,標準式無保留核閱報告
2004,1,1440,南紡,資誠會計師事務所,李明憲,劉子猛,93/04/16,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1441,大東紡織,安侯建業會計師事務所,劉義吉,吳東和,93/04/28,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1442,名軒,惠眾會計師事務所,李伯承,盧聯生,93/04/21,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2004,1,1443,立益紡織,第一聯合會計師事務所,林克武,陳桂美,92/04/21,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
