年,季,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師,核閱或查核日期,核閱或查核報告類型
2011,2,1101,台泥,勤業眾信聯合會計師事務所,邵志明,郭政弘,100/08/23,保留(附加其他事項說明段)--依被投資公司未經會計師查核報告認列投資損益
2011,2,1102,亞泥,勤業眾信聯合會計師事務所,戴信維,范有偉,100/08/11,保留意見--依被投資公司未經會計師查核報告認列投資損益
2011,2,1103,嘉泥,勤業眾信聯合會計師事務所,方小萍,仲偉,100/08/22,保留意見--依被投資公司未經會計師查核報告認列投資損益
2011,2,1104,環球水泥,勤業眾信聯合會計師事務所,李季珍,龔俊吉,100/08/10,保留意見--依被投資公司未經會計師查核報告認列投資損益
2011,2,1108,幸福水泥,勤業眾信聯合會計師事務所,謝建新會計師,陳招美會計師,100/08/12,保留意見--依被投資公司未經會計師查核報告認列投資損益
2011,2,1109,信大水泥,資誠聯合會計師事務所,李秀玲,馮敏娟,100/08/12,保留意見--依被投資公司未經會計師查核報告認列投資損益
2011,2,1110,東泥,建興聯合會計師事務所,黃鈴雯,劉奕宏,100/08/10,保留意見--依被投資公司未經會計師查核報告認列投資損益
2011,2,1201,味全公司,資誠聯合會計師事務所,吳郁隆,王照明,100/08/17,保留意見--依被投資公司未經會計師查核報告認列投資損益
2011,2,1203,味王公司,大中國際聯合會計師事務所,溫明郁,李聰明,100/08/26,保留意見--依被投資公司未經會計師查核報告認列投資損益
2011,2,1210,大成長城,安侯建業會計師事務所,陳富煒,鍾丹丹,100/08/26,保留意見--依被投資公司未經會計師查核報告認列投資損益
2011,2,1213,大飲,資誠聯合會計師事務所,蕭金木,吳漢期,100/08/25,無保留意見
2011,2,1215,卜蜂企業,資誠聯合會計師事務所,王輝賢,賴宗羲,100/08/22,保留意見--依被投資公司未經會計師查核報告認列投資損益
2011,2,1216,統一,資誠聯合會計師事務所,劉子猛,林姿妤,100/08/29,保留意見--依被投資公司未經會計師查核報告認列投資損益
2011,2,1217,愛之味,建興聯合會計師事務所,劉奕宏,蔡淑滿,100/08/15,保留意見--依被投資公司未經會計師查核報告認列投資損益
2011,2,1218,泰山企業,安侯建業聯合會計師事務所,陳嘉修,張淑瑩,100/08/18,保留(附加其他事項說明段)--採用其他會計師查核且欲區分責任、依被投資公司未經會計師查核報告認列投資損益
2011,2,1219,福壽實業,群智聯合會計師事務所,呂松裕,孫慶國,100/07/22,保留(附加其他事項說明段)--採用其他會計師查核且欲區分責任、依被投資公司未經會計師查核報告認列投資損益
2011,2,1220,台榮,立本台灣聯 合 會 計 師 事 務 所,柯俊輝,陳玉芳,100/08/22,修正式無保留意見--會計原則變動
2011,2,1225,福懋油,勤業眾信聯合會計師事務所,陳招美,吳恩銘,100/08/09,無保留意見
2011,2,1227,佳格,勤業眾信聯合會計師事務所,許庭禎,廖如陽,100/08/12,保留意見--依被投資公司未經會計師查核報告認列投資損益
2011,2,1229,聯華實業,安侯建業聯合會計師事務所,楊柳鋒,許淑敏,100/08/18,保留意見--依被投資公司未經會計師查核報告認列投資損益
