年,季,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師,核閱或查核日期,核閱或查核報告類型
2010,3,1313,聯成,勤業眾信聯合會計師事務所,郭文吉,許庭禎,99/10/21,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1314,中石化,安侯建業聯合會計師事務所,陳富煒,陳眉芳,99/10/19,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1315,達新工業,第一聯合會計師事務所,張福郎,邱桂鈴,99/10/26,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1316,上曜,資誠聯合會計師事務所,劉子猛,林姿妤,99/10/28,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1319,東陽,安永聯合會計師事務所,黃世杰,洪茂益,99/10/25,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1321,大洋,安侯建業聯合會計師事務所,蔡松棋,呂觀文,99/10/19,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1323,永裕,勤業眾信聯合會計師事務所,李季珍,廖鴻儒,99/10/21,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1324,地球工業,安永聯合會計師事務所,佟韻玲,楊智惠,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1325,恒大,勤業眾信聯合會計師事務所,張瑞娜,陳照敏,99/10/18,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1326,台化,資誠聯合會計師事務所,吳漢期,高文宏,99/10/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1402,遠東新,勤業眾信聯合會計師事務所,施景彬,黃樹傑,99/10/25,保留(附加其他事項說明段)--欲強調某一事項、依被投資公司未經會計師查核報告認列投資損益
2010,3,1409,新纖,勤業眾信聯合會計師事務所,"王錦燕 (YYY代表會計�/td>王自軍 (YYY代表會計�/td>99/10/22
保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益","王自軍 (YYY代表會計�/td>99/10/22
保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益",99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1410,南染,資誠聯合會計師事務所,李運鞭,吳漢期,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1413,宏洲纖維,立本台灣聯合會計師事務所,柯俊輝,柯俊榮,99/10/23,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1414,東和,安侯建業聯合會計師事務所,陳國宗,許振隆,99/10/18,標準式無保留核閱報告
2010,3,1416,廣豐,第一聯合會計師事務所,邱繼盛,王戊昌,99/10/23,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1417,嘉裕,勤業眾信聯合會計師事務所,林淑婉,郭政弘,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1418,東華,勤業眾信聯合會計師事務所,林谷同,黃海悅,99/10/20,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1419,新紡,勤業眾信聯合會計師事務所,李麗凰,陳慧銘,99/10/25,標準式無保留核閱報告
2010,3,1423,利華羊毛,安永聯合會計師事務所,蕭翠慧,徐榮煌,99/10/18,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1432,大魯閣,資誠聯合會計師事務所,蕭金木,葉翠苗,99/10/25,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1434,福懋興業,資誠聯合會計師事務所,吳漢期,高文宏,99/10/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1435,中福國際,勤業眾信聯合會計師事務所,陳照敏會計師,劉江抱會計師,99/10/19,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1436,華友聯,勤業眾信聯合會計師事務所,吳恩銘,陳招美,99/10/15,標準式無保留核閱報告
2010,3,1437,勤益投控,安侯建業聯合會計師事務所,關春修,俞安恬,99/10/18,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1438,裕豐,安泰聯合會計師事務所,萬文慧,陳兆宏,99/10/18,保留(附加其他事項說明段)--繼續經營假設有疑慮、依被投資公司未經會計師查核報告認列投資損益
2010,3,1439,中和羊毛,安永聯合會計師事務所,傅文芳,黃建澤,99/10/27,標準式無保留核閱報告
