年,季,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師,核閱或查核日期,核閱或查核報告類型
2008,2,1101,台泥,勤業眾信會計師事務所,郭政弘,邵志明,97/08/15,保留意見--依被投資公司未經會計師查核報告認列投資損益
2008,2,1102,亞泥,勤業眾信會計師事務所,戴信維,范有偉,97/08/11,保留意見--依被投資公司未經會計師查核報告認列投資損益
2008,2,1103,嘉泥,勤業眾信會計師事務所,仲  偉,虞成全,97/08/15,保留意見--依被投資公司未經會計師查核報告認列投資損益
2008,2,1104,環球水泥,資誠會計師事務所,蕭金木,周筱姿,97/08/25,保留意見--依被投資公司未經會計師查核報告認列投資損益
2008,2,1108,幸福水泥,勤業眾信 會 計 師 事 務 所,謝建新,陳招美,97/08/14,保留意見--依被投資公司未經會計師查核報告認列投資損益
2008,2,1109,信大水泥,資誠會計師事務所,賴宗羲,周育正,97/08/13,保留意見--依被投資公司未經會計師查核報告認列投資損益
2008,2,1110,東泥,建興聯合會計師事務所,蔡淑滿,劉奕宏,97/08/12,保留意見--依被投資公司未經會計師查核報告認列投資損益
2008,2,1201,味全公司,資誠會計師事務所,陳永清,王照明,97/08/19,保留(附加其他事項說明段)--欲強調某一事項、依被投資公司未經會計師查核報告認列投資損益
2008,2,1203,味王公司,大中國際聯合會計師事務所,林寬照,溫明郁,97/08/21,保留意見--依被投資公司未經會計師查核報告認列投資損益
2008,2,1210,大成長城,安侯建業會計師事務所,丁玉山,許玉峰,97/08/25,保留意見--依被投資公司未經會計師查核報告認列投資損益
2008,2,1213,大飲,資誠會計師事務所,吳漢期,李淑靜,97/08/26,修正式無保留意見--前期由其他會計師查核
2008,2,1215,卜蜂企業,資誠會計師事務所,翁世榮,吳郁隆,97/08/26,保留意見--依被投資公司未經會計師查核報告認列投資損益
2008,2,1216,統一,資誠會計師事務所,林姿妤,王偉臣,97/08/20,保留意見--依被投資公司未經會計師查核報告認列投資損益
2008,2,1217,愛之味,建興聯合會計師事務所,劉奕宏,柯清泉,97/08/19,保留意見--依被投資公司未經會計師查核報告認列投資損益
2008,2,1218,泰山企業,安侯建業會計師事務所,陳嘉修,張淑瑩,97/08/20,保留意見--依被投資公司未經會計師查核報告認列投資損益
2008,2,1219,福壽實業,群智聯合會計師事務所,黃奕睿,陳郁惠,97/07/25,保留意見--依被投資公司未經會計師查核報告認列投資損益
2008,2,1220,台榮,立本台灣聯合會計師事務所,柯俊輝,柯俊榮,97/07/31,無保留意見
2008,2,1225,福懋油,勤業眾信會計師事務所,謝建新,陳招美,97/08/08,修正式無保留意見--欲強調某一事項
2008,2,1227,佳格,勤業眾信會計師事務所,許庭禎,郭文吉,97/08/12,保留意見--依被投資公司未經會計師查核報告認列投資損益
2008,2,1229,聯華實業,安侯建業會計師事務所,許淑敏,楊柳鋒,97/08/22,保留意見--依被投資公司未經會計師查核報告認列投資損益
2008,2,1231,聯華食品,勤業眾信會計師事務所,張清福,蔡振財,97/08/05,保留意見--依被投資公司未經會計師查核報告認列投資損益
2008,2,1232,大統益,資誠會計師事務所,林姿妤,林億彰,97/08/08,保留意見--依被投資公司未經會計師查核報告認列投資損益
2008,2,1233,天仁,安 永 會 計 師 事 務 所,蕭翠慧,林麗凰,97/08/11,無保留意見
2008,2,1234,黑松,勤 業 眾 信 會 計 師 事 務 所,林義峰,陳慧銘,97/07/15,保留意見--依被投資公司未經會計師查核報告認列投資損益
2008,2,1235,興泰,第一聯合會計師事務所,王戊昌,甘有財,97/08/04,保留意見--依被投資公司未經會計師查核報告認列投資損益
2008,2,1236,宏亞食品,安永會計師事務所,賴明陽,鄭戊水,97/08/06,保留意見--依被投資公司未經會計師查核報告認列投資損益
2008,2,1301,台塑,安侯建業會計師事務所,李慈慧,寇惠植,97/08/11,保留意見--依被投資公司未經會計師查核報告認列投資損益
2008,2,1303,南亞塑膠,安侯建業會計師事務所,寇惠植,李慈慧,97/08/25,保留意見--依被投資公司未經會計師查核報告認列投資損益
2008,2,1304,台聚,勤業眾信會計師事務所,郭慈容,黃秀椿,97/08/11,保留意見--依被投資公司未經會計師查核報告認列投資損益
