年,季,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師,核閱或查核日期,核閱或查核報告類型
2012,4,1101,台泥,勤業眾信聯合會計師事務所,邵志明,吳美慧,102/03/28,無保留意見
2012,4,1102,亞泥,勤業眾信聯合會計師事務所,戴信維,郭俐雯,102/03/27,無保留意見
2012,4,1103,嘉泥,勤業眾信聯合會計師事務所,方小萍,仲偉,102/03/28,無保留意見
2012,4,1104,環球水泥,勤業眾信聯合會計師事務所,李季珍,龔俊吉,102/03/28,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1108,幸福水泥,勤業眾信聯合會計師事務所,謝建新,陳招美,102/03/25,無保留意見
2012,4,1109,信大水泥,資誠聯合會計師事務所,李秀玲,馮敏娟,102/03/29,無保留意見
2012,4,1110,東泥,國富浩華聯合會計師事務所,黃鈴雯,謝仁耀,102/03/25,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1201,味全公司,資誠聯合會計師事務所,吳郁隆,王照明,102/03/28,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1203,味王公司,大中國際聯合會計師事務所,林寬照,溫明郁,101/03/27,修正式無保留意見--採用其他會計師查核且欲區分責任、欲強調某一事項
2012,4,1210,大成長城,安侯建業會計師事務所,陳富煒,鍾丹丹,102/03/28,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1213,大飲,資誠聯合會計師事務所,蕭金木,吳漢期,102/03/26,無保留意見
2012,4,1215,卜蜂企業,資誠聯合會計師事務所,王輝賢,謝智政,102/03/25,無保留意見
2012,4,1216,統一,資誠聯合會計師事務所,劉子猛,林姿妤,102/03/28,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1217,愛之味,國富浩華聯合會計師事務所,黃鈴雯,蔡淑滿,102/03/26,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1218,泰山企業,安侯建業聯合會計師事務所,簡蒂暖,張淑瑩,102/03/28,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1219,福壽實業,群智聯合會計師事務所,黃奕睿,陳郁惠,102/03/19,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1220,台榮,立本台灣聯 合 會 計 師 事 務 所,柯俊輝,陳玉芳,102/03/25,無保留意見
2012,4,1225,福懋油,勤業眾信聯合會計師事務所,謝建新,吳恩銘,102/03/25,無保留意見
2012,4,1227,佳格,勤業眾信聯合會計師事務所,許庭禎,蔡宏祥,102/03/22,無保留意見
2012,4,1229,聯華實業,安侯建業聯合會計師事務所,楊柳鋒,許淑敏,102/03/27,無保留意見
2012,4,1231,聯華食品,勤業眾信聯合會計師事務所,張清福,蔡振財,102/03/22,無保留意見
2012,4,1232,大統益,資誠聯合會計師事務所,劉子猛,林姿妤,102/03/18,無保留意見
2012,4,1233,天仁,安永聯合會計師事務所,徐榮煌,曾祥裕,102/03/12,無保留意見
2012,4,1234,黑松,勤業眾信聯合會計師事務所,陳慧銘,林宜慧,102/03/20,無保留意見
2012,4,1235,興泰,冠恆聯合會計師事務所,張進德,萬益東,102/03/22,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1236,宏亞食品,安永聯合會計師事務所,黃建澤,徐榮煌,102/03/27,無保留意見
2012,4,1301,台塑,安侯建業聯合會計師事務所,吳秋華,李慈慧,102/03/25,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1303,南亞塑膠,安侯建業聯合會計師事務所,吳秋華,寇惠植,102/03/27,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1304,台聚,勤業眾信聯合會計師事務所,韋亮發,黃秀椿,102/03/21,無保留意見
2012,4,1305,華夏,勤業眾信聯合會計師事務所,黃秀椿,韋亮發,102/03/20,無保留意見
2012,4,1307,三芳化工,勤業眾信聯合會計師事務所,吳秋燕,陳珍麗,102/03/14,無保留意見
2012,4,1308,亞聚,勤業眾信聯合會計師事務所,韋亮發,郭慈容,102/03/20,無保留意見
2012,4,1309,台達化工,勤業眾信聯合會計師事務所,黃秀椿,吳世宗,102/03/21,無保留意見
2012,4,1310,台苯,正風聯合會計師事務所,賴永吉,曾國富,102/03/29,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1312,國喬石化,國富浩華聯合會計師事務所,蕭英嘉,林美玲,102/03/19,無保留意見
2012,4,1313,聯成,勤業眾信聯合會計師事務所,劉建良,王儀雯,102/03/27,無保留意見
2012,4,1314,中石化,安侯建業聯合會計師事務所,陳眉芳,陳富煒,102/03/28,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1315,達新工業,國富浩華聯合會計師事務所,張福郎,邱桂鈴,102/03/27,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1316,上曜,安侯建業聯合會計師事務所,陳國宗,許振隆,102/03/04,修正式無保留意見--採用其他會計師查核且欲區分責任、前期由其他會計師查核、欲強調某一事項
2012,4,1319,東陽,安永聯合會計師事務所,黃世杰,洪茂益,102/03/21,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1321,大洋,安侯建業聯合會計師事務所,余  聖  河,李 禾方 儀,102/03/22,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1323,永裕,勤業眾信聯合會計師事務所,李季珍,廖鴻儒,102/03/26,無保留意見
2012,4,1324,地球工業,安永聯合會計師事務所,楊智惠,張志銘,102/03/25,無保留意見
2012,4,1325,恒大,勤業眾信聯合會計師事務所,張瑞娜,陳照敏,102/03/28,無保留意見
2012,4,1326,台化,資誠聯合會計師事務所,吳漢期,阮呂曼玉,102/03/26,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1339,昭輝,勤業眾信聯合會計師事務所,吳麗冬,曾棟鋆,102/03/13,無保留意見
2012,4,1402,遠東新,勤業眾信聯合會計師事務所,卓明信,黃樹傑,102/03/27,修正式無保留意見--採用其他會計師查核且欲區分責任、欲強調某一事項
2012,4,1409,新纖,勤業眾信聯合會計師事務所,楊民賢,王自軍,102/03/29,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1410,南染,資誠聯合會計師事務所,阮呂曼玉,李運鞭,102/03/20,無保留意見
2012,4,1413,宏洲纖維,立本台灣聯合會計師事務所,陳玉芳,王麗燕,102/03/29,無保留意見
2012,4,1414,東和,安侯建業聯合會計師事務所,陳國宗,許振隆,102/02/27,無保留意見
2012,4,1416,廣豐,國富浩華聯合會計師事務所,邱繼盛,王戊昌,102/03/28,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1417,嘉裕,勤業眾信聯合會計師事務所,許秀明,陳杰忠,102/03/27,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1418,東華,勤業眾信聯合會計師事務所,黃海悅,何瑞軒,102/03/19,無保留意見
2012,4,1419,新紡,勤業眾信聯合會計師事務所,李麗凰,謝明忠,102/03/22,無保留意見
2012,4,1423,利華羊毛,安 永 聯 合 會 計 師 事 務 所,蕭 翠 慧,徐 榮 煌,102/03/15,無保留意見
2012,4,1432,大魯閣,資誠聯合會計師事務所,蕭金木,葉翠苗,102/03/26,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1434,福懋興業,資誠聯合會計師事務所,吳漢期,阮呂曼玉,102/03/25,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1435,中福國際,勤業眾信聯合會計師事務所,陳照敏,劉江抱,102/03/22,無保留意見
2012,4,1436,華友聯,勤業眾信聯合會計師事務所,陳招美,何瑞軒,102/03/21,無保留意見
2012,4,1437,勤益投控,安侯建業聯合會計師事務所,呂莉莉,關春修,102/03/22,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1438,裕豐,安泰聯合會計師事務所,潘自新,蔡聰慧,102/03/26,無保留意見
2012,4,1439,中和羊毛,安永聯合會計師事務所,黃 建 澤,傅 文 芳,102/03/26,無保留意見
2012,4,1440,南紡,資誠聯合會計師事務所,李明憲,林姿妤,102/03/21,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1441,大東紡織,資誠聯合會計師事務所,周建宏,林鈞堯,102/03/18,修正式無保留意見--採用其他會計師查核且欲區分責任、前期由其他會計師查核
2012,4,1442,名軒,惠眾聯合會計師事務所,林欣如,卓敏枝,102/03/26,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1443,立益紡織,第一聯合會計師事務所,高  佩,王戊昌,102/03/22,無保留意見
2012,4,1444,力麗,勤業眾信聯合會計師事務所,余鴻賓,洪國田,102/03/25,修正式無保留意見--採用其他會計師查核且欲區分責任
2012,4,1445,大宇紡織,勤業眾信聯合會計師事務所,韋亮發,簡明彥,102/03/21,無保留意見
