年,季,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師,核閱或查核日期,核閱或查核報告類型
2014,4,1101,台泥,勤業眾信聯合會計師事務所,翁雅玲,吳美慧,104/03/27,無保留意見
2014,4,1102,亞泥,勤業眾信聯合會計師事務所,郭俐雯,范有偉,104/03/20,修正式無保留意見-會計原則變動
2014,4,1103,嘉泥,勤業眾信聯合會計師事務所,方小萍,虞成全,104/03/25,無保留意見
2014,4,1104,環球水泥,勤業眾信聯合會計師事務所,李季珍,龔俊吉,104/03/24,修正式無保留意見-採用其他會計師查核(核閱)報告且欲區分責任
2014,4,1108,幸福水泥,勤業眾信聯合會計師事務所,黃海悅,吳恩銘,104/03/24,無保留意見
2014,4,1109,信大水泥,資誠聯合會計師事務所,李秀玲,馮敏娟,104/03/30,無保留意見
2014,4,1110,東泥,國富浩華聯合會計師事務所,黃鈴雯,謝仁耀,104/03/23,修正式無保留意見-採用其他會計師查核(核閱)報告且欲區分責任
2014,4,1201,味全公司,資誠聯合會計師事務所,吳郁隆,張明輝,104/03/27,修正式無保留意見-採用其他會計師查核(核閱)報告且欲區分責任、欲強調某一事項
2014,4,1203,味王公司,大中國際聯合會計師事務所,林寬照,徐靖賢,104/03/30,修正式無保留意見-採用其他會計師查核(核閱)報告且欲區分責任
2014,4,1210,大成長城,安侯建業會計師事務所,陳富煒,鍾丹丹,104/03/26,無保留意見
2014,4,1213,大飲,資誠聯合會計師事務所,蕭金木,吳漢期,104/03/20,無保留意見
2014,4,1215,卜蜂企業,資誠聯合會計師事務所,王輝賢,謝智政,104/03/23,無保留意見
2014,4,1216,統一,資誠聯合會計師事務所,劉子猛,周建宏,104/03/26,修正式無保留意見-採用其他會計師查核(核閱)報告且欲區分責任
2014,4,1217,愛之味,國富浩華聯合會計師事務所,黃鈴雯,蔡淑滿,104/03/26,修正式無保留意見-採用其他會計師查核(核閱)報告且欲區分責任
2014,4,1218,泰山企業,安侯建業聯合會計師事務所,簡蒂暖,池世欽,104/03/27,修正式無保留意見-採用其他會計師查核(核閱)報告且欲區分責任
2014,4,1219,福壽實業,群智聯合會計師事務所,黃　奕　睿,陳　郁　惠,104/03/24,修正式無保留意見-採用其他會計師查核(核閱)報告且欲區分責任
2014,4,1220,台榮,立本台灣聯合會計師事務所,柯俊輝,陳玉芳,104/03/20,無保留意見
2014,4,1225,福懋油,勤業眾信聯合會計師事務所,謝建新,吳恩銘,104/03/27,修正式無保留意見-欲強調某一事項
2014,4,1227,佳格,勤業眾信聯合會計師事務所,許庭禎,蔡宏祥,104/03/24,無保留意見
2014,4,1229,聯華實業,安侯建業聯合會計師事務所,林琬琬,許淑敏,104/03/31,無保留意見
2014,4,1231,聯華食品,勤業眾信聯合會計師事務所,林安惠,柯志賢,104/03/25,無保留意見
2014,4,1232,大統益,資誠聯合會計師事務所,劉子猛,李明憲,104/03/19,無保留意見
2014,4,1233,天仁,安永聯合會計師事務所,蕭翠慧,曾祥裕,104/03/16,無保留意見
2014,4,1234,黑松,勤業眾信聯合會計師事務所,李麗凰,林宜慧,104/03/24,無保留意見
2014,4,1235,興泰,冠恆聯合會計師事務所,張進德,萬益東,104/03/19,修正式無保留意見-採用其他會計師查核(核閱)報告且欲區分責任
2014,4,1236,宏亞食品,安永聯合會計師事務所,張正道,徐榮煌,104/03/11,無保留意見
2014,4,1256,鮮活果汁-KY,勤業眾信聯合會計師事務所,謝明忠,陳慧銘,104/03/02,無保留意見
2014,4,1262,綠悅-KY,勤業眾信聯合會計師事務所,施景彬,吳恪昌,104/03/11,無保留意見
2014,4,1301,台塑,安侯建業聯合會計師事務所,吳秋華,寇惠植,104/03/24,修正式無保留意見-採用其他會計師查核(核閱)報告且欲區分責任
2014,4,1303,南亞塑膠,安侯建業聯合會計師事務所,吳秋華,陳蓓琪,104/03/25,修正式無保留意見-採用其他會計師查核(核閱)報告且欲區分責任
2014,4,1304,台聚,勤業眾信聯合會計師事務所,韋亮發,吳世宗,104/03/12,修正式無保留意見-欲強調某一事項
2014,4,1305,華夏,勤業眾信聯合會計師事務所,吳世宗,郭慈容,104/03/11,修正式無保留意見-欲強調某一事項
2014,4,1307,三芳化工,勤業眾信聯合會計師事務所,吳秋燕,陳珍麗,104/03/10,無保留意見
2014,4,1308,亞聚,勤業眾信聯合會計師事務所,黃秀椿,郭慈容,104/03/11,修正式無保留意見-欲強調某一事項
2014,4,1309,台達化工,勤業眾信聯合會計師事務所,吳世宗,郭慈容,104/03/11,修正式無保留意見-欲強調某一事項
2014,4,1310,台苯,正風聯合會計師事務所,周銀來,曾國富,104/03/23,修正式無保留意見-採用其他會計師查核(核閱)報告且欲區分責任
2014,4,1312,國喬石化,國富浩華聯合會計師事務所,林美玲,王戊昌,104/03/24,修正式無保留意見-採用其他會計師查核(核閱)報告且欲區分責任
2014,4,1313,聯成,勤業眾信聯合會計師事務所,郭文吉,劉建良,104/03/19,無保留意見
2014,4,1314,中石化,安侯建業聯合會計師事務所,陳眉芳,陳俊光,104/03/27,修正式無保留意見-採用其他會計師查核(核閱)報告且欲區分責任
2014,4,1315,達新工業,國富浩華聯合會計師事務所,王戊昌,邱桂鈴,104/03/26,無保留意見
2014,4,1316,上曜,安侯建業聯合會計師事務所,陳國宗,許振隆,104/02/25,無保留意見
2014,4,1319,東陽,安永聯合會計師事務所,洪茂益,胡子仁,104/03/24,修正式無保留意見-採用其他會計師查核(核閱)報告且欲區分責任
