年,季,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師,核閱或查核日期,核閱或查核報告類型
2012,1,1101,台泥,勤業眾信聯合會計師事務所,邵志明,郭政弘,101/04/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2012,1,1102,亞泥,勤業眾信聯合會計師事務所,戴信維,范有偉,101/04/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2012,1,1103,嘉泥,勤業眾信聯合會計師事務所,方小萍,仲偉,101/04/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2012,1,1104,環球水泥,勤業眾信聯合會計師事務所,李季珍,龔俊吉,101/04/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2012,1,1108,幸福水泥,勤業眾信聯合會計師事務所,謝建新,陳招美,101/04/23,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2012,1,1109,信大水泥,資誠聯合會計師事務所,李秀玲,馮敏娟,101/04/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2012,1,1110,東泥,建興聯合會計師事務所,黃鈴雯,謝仁耀,101/04/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2012,1,1201,味全公司,資誠聯合會計師事務所,吳郁隆,王照明,101/04/30,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2012,1,1203,味王公司,大中國際聯合會計師事務所,林寬照,溫明郁,101/04/23,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2012,1,1210,大成長城,安侯建業會計師事務所,陳富煒,鍾丹丹,101/04/25,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2012,1,1213,大飲,資誠聯合會計師事務所,蕭金木,吳漢期,101/04/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2012,1,1215,卜蜂企業,資誠聯合會計師事務所,王輝賢,謝智政,101/04/24,標準式無保留核閱報告
2012,1,1216,統一,資誠聯合會計師事務所,劉子猛,林姿妤,101/04/26,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2012,1,1217,愛之味,建興聯合會計師事務所,黃鈴雯,蔡淑滿,101/04/24,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2012,1,1218,泰山企業,安侯建業聯合會計師事務所,陳嘉修,張淑瑩,101/04/27,保留(附加其他事項說明段)--採用其他會計師查核且欲區分責任、依被投資公司未經會計師查核報告認列投資損益
2012,1,1219,福壽實業,群智聯合會計師事務所,黃奕睿,陳郁惠,101/04/20,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2012,1,1220,台榮,立本台灣聯合會計師事務所,柯俊輝,陳玉芳,101/04/26,保留(附加其他事項說明段)--會計原則變動、依被投資公司未經會計師查核報告認列投資損益
2012,1,1225,福懋油,勤業眾信聯合會計師事務所,陳招美,吳恩銘,101/04/24,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
