年季,公司代號,公司名稱,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益合計,預收股款（權益項下）之約當發行股數（單位：股）,待註銷股本股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
2015/03,2855,統一證券,61675983,4908902,66584885,43799431,41607,43841038,13231191,256116,9024104,209861,-22152,22699120,--,--,44727,22743847,0,0,1740000,17.18
2015/03,2856,元富證券,77483001,6110151,83593152,61741224,788961,62530185,15706883,25452,5248401,127305,-45074,21062967,--,--,0,21062967,0,0,5200000,13.45
2015/03,6005,群益證,80305704,14076217,94381921,60915598,1639286,62554884,23690730,2713221,4084193,173461,-38960,30622645,--,--,1204392,31827037,0,0,4438000,12.95
