年季,公司代號,公司名稱,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益合計,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,Unnamed: 21
2013/01,2855,統一證券,47730544.0,4820053.0,52550597.0,30523036.0,16591.0,30539627.0,13231191.0,256116.0,8511399.0,-27952.0,0.0,21970754.0,--,--,40216.0,22010970.0,0.0,0.0,16.61,
2013/01,2856,元富證券,58860084.0,5656605.0,64516689.0,44321939.0,426385.0,44748324.0,15332571.0,59070.0,4810654.0,-10868.0,-423062.0,19768365.0,--,--,0.0,19768365.0,0.0,38800000.0,13.26,
2013/01,6005,群益證,53782022.0,14957005.0,68739027.0,36008849.0,2771364.0,38780213.0,23690730.0,2705473.0,2820778.0,-22138.0,0.0,29194843.0,--,--,763971.0,29958814.0,0.0,0.0,12.32,
