年,季,公司代號,公司名稱,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益合計,預收股款（權益項下）之約當發行股數（單位：股）,待註銷股本股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
2016,03,2855,統一證券,85438687,4801106,90239793,66851099,70262,66921361,13356658,142702,9689354,82433,0,23271147,--,--,47285,23318432,0,0,0,                 17.42
2016,03,2856,元富證券,95758050,5667700,101425750,79127974,520865,79648839,16245099,25452,5813335,-10119,-296856,21776911,0,--,0,21776911,0,0,32930000,                 13.68
2016,03,6005,群益證,92829312,13568309,106397621,72890518,1833439,74723957,22690730,2750386,4611904,353017,0,30406037,--,--,1267627,31673664,0,0,0,                 13.40
