公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得持有至到期日金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他非流動資產減少,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 其他借款增加,　　 其他借款減少,　　 其他非流動負債增加,　　 發放現金股利,　　 庫藏股票處分,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
2002,2016年01月01日至2016年03月31日,,                830939,                830939,,,              8968363,                 96108,                -52001,                986355,                -75029,                -41217,                117203,               -806359,             -1233453,              2767855,             10727825,,,               -578808,                 85753,                -39965,                172619,                 49726,                 44873,                238075,              8060793,                    308,              8033374,,                -47237,                              0,              1044816,                183040,               -288205,             -3579233,             -2345326,               -853215,               -155775,             -6041135,              1992239,             12720064,             13551003,               -101475,             13449528,,             -1055318,                898099,               -603233,              1181022,                              0,                 -9863,                 10200,                              0,            -11063857,             -3872707,                 12075,                -14715,                 -9610,                -52383,                353236,                 93825,                 90895,                  9246,            -14033088,,             70384682,            -73872883,             16793350,             18416800,            -28007364,             49388563,            -56368781,                -30985,                              0,                              0,             -1084310,                402273,             -3978655,               -160870,             -4723085,             17054940,             12331855,             13874948,             -1543093
2002,2015年01月01日至2015年03月31日,,              6039319,              6039319,,,              9011144,                 78356,                -95135,                908457,               -119104,               -186108,                  6335,                -68613,              1514947,              2787188,             13837467,,,                 53081,                -59550,               -185862,              1562467,                -82163,               -900504,                242521,             -4319093,               -178227,             -3867330,,               -535575,                  1909,                782590,               -502050,               -811659,               -846725,             -2758991,               -166666,                 -3869,             -4841036,             -8708366,              5129101,             11168420,               -547375,             10621045,,             -1634092,              1496535,               -466613,                427787,                 85426,                -45441,                              0,                -30216,                -29249,             -6523592,                  1771,                 -3218,                -13910,                              0,              1218651,                -74873,                124905,                     62,             -5466067,,             56703068,            -51643585,              4968295,              5515155,            -14557393,             44070658,            -47007326,                 -6160,                 -2457,                 13324,             -1042092,                -80387,             -3068900,               -334335,              1751743,             10659657,             12411400,             15507186,             -3095786
