年,季,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2014,01,2880,華南金,6116103,3542654,9658757,1034246,159025,4908452,3557034,-539261,3017773,--,3017773,223194,3240967,3017769,--,4,3240963,--,4,0.33
2014,01,2881,富邦金,21793663,75588757,97382420,-12815,69112119,11446946,16836170,-2901351,13934819,--,13934819,17706696,31641515,13865623,--,69196,31615681,--,25834,1.35
2014,01,2882,國泰金,30534282,55168218,85702500,-7675,60276071,12774563,12659541,-306333,12353208,--,12353208,2897609,15250817,12285080,--,68128,15112594,--,138223,1.03
2014,01,2883,開發金,1787077,4836530,6623607,-73588,--,3618723,3078472,-343746,2734726,--,2734726,714045,3448771,2688590,--,46136,3402213,--,46558,0.18
2014,01,2884,玉山金控,3498417,4466997,7965414,374122,--,4005023,3586269,-712201,2874068,--,2874068,136780,3010848,2858458,--,15610,2979339,--,31509,0.50
2014,01,2885,元大金,3153226,7965630,11118856,446676,1518194,4905426,4248560,-458727,3789833,--,3789833,399323,4189156,3607571,--,182262,4025358,--,163798,0.36
2014,01,2886,兆豐金,8706985,6431729,15138714,141186,3814,5572777,9420937,-1378476,8042461,--,8042461,1238815,9281276,8042579,0,-118,9272955,0,8321,0.65
2014,01,2887,台新金控,8335031,7381326,15716357,-722209,--,7999605,8438961,-1217374,7221587,--,7221587,164315,7385902,4823752,--,2397835,4856642,--,2529260,0.61
2014,01,2888,新光金,14933524,25819966,40753490,411071,33100327,5495000,1747092,-341613,1405479,--,1405479,-1551481,-146002,1182646,--,222833,-389867,--,243865,0.13
2014,01,2889,國票金控,436804,1014332,1451136,16455,--,676661,758020,-101842,656178,--,656178,63362,719540,531803,--,124375,572739,--,146801,0.21
2014,01,2890,永豐金控,4395995,4948924,9344919,353675,--,4707802,4283442,-1328176,2955266,--,2955266,-72294,2882972,2955343,--,-77,2883049,--,-77,0.36
2014,01,2891,中信金,9556603,30033962,39590565,511326,20288726,9887039,8903474,-1106089,7797385,--,7797385,2365329,10162714,7795177,--,2208,10155112,--,7602,0.53
2014,01,2892,第一金控,6874589,3394630,10269219,835934,310083,4846206,4276996,-622423,3654573,0,3654573,1046374,4700947,3659384,--,-4811,4702480,--,-1533,0.42
2014,01,5880,合庫金,7040296,1723802,8764098,2001229,-1333122,5215996,2879995,-386938,2493057,--,2493057,225998,2719055,2432412,--,60645,2689028,--,30027,0.28
