年,季,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2013,02,2880,華南金,11254603,6485369,17739972,1622573,213184,9740688,6163527,-969416,5194111,--,5194111,-616505,4577606,5194078,--,33,4577573,--,33,0.57
2013,02,2881,富邦金,34707221,144560275,179267496,-74263,136040047,20627584,22674128,-4775486,17898642,--,17898642,-31967518,-14068876,17898642,--,--,-14068876,--,--,1.88
2013,02,2882,國泰金,56980450,111793912,168774362,538421,125622813,25685869,16927259,-1952868,14974391,--,14974391,-14306480,667911,14807767,--,166624,367674,--,300237,1.39
2013,02,2883,開發金,2300385,8766521,11066906,150028,--,6960042,3956836,-370028,3586808,--,3586808,480010,4066818,3504911,--,81897,3944028,--,122790,0.24
2013,02,2884,玉山金控,6249170,6921360,13170530,863027,--,6993307,5314196,-950746,4363450,--,4363450,526673,4890123,4363450,--,--,4890123,--,--,0.79
2013,02,2885,元大金,4804706,8835047,13639753,294909,--,9300482,4044362,-675628,3368734,--,3368734,503708,3872442,3179135,--,189599,3650571,--,221871,0.32
2013,02,2886,兆豐金,15277765,11156045,26433810,1479688,-160922,10347434,14767610,-2853372,11914238,--,11914238,-626921,11287317,11912191,--,2047,11272366,--,14951,1.04
2013,02,2887,台新金控,15285151,13588107,28873258,-848273,--,14994939,14726592,-2834430,11892162,--,11892162,-2313516,9578646,8263496,--,3628666,6181277,--,3397369,1.04
2013,02,2888,新光金,27078236,41095519,68173755,446976,48453009,10476684,8797086,-1528641,7268445,--,7268445,1676691,8945136,7012364,--,256081,8605890,--,339246,0.81
2013,02,2889,國票金控,701083,1148871,1849954,-27671,--,1226364,651261,-125845,525416,--,525416,-83015,442401,545005,--,-19589,458265,--,-15864,0.21
2013,02,2890,永豐金控,7770803,8231009,16001812,-89129,--,9143816,6947125,-1076373,5870752,--,5870752,698754,6569506,5870752,0,0,6569506,0,0,0.72
2013,02,2891,中信金,15995747,37362374,53358121,-196982,19175294,18889435,15490374,-2186995,13303379,--,13303379,-6580148,6723231,13300312,--,3067,6720451,--,2780,1.02
2013,02,2892,第一金控,12695393,4504257,17199650,338861,-323571,9387941,7796419,-1435693,6360726,--,6360726,392757,6753483,6332032,--,28694,6808986,--,-55503,0.73
2013,02,5880,合庫金,13546209,5098193,18644402,1595515,762628,10763749,5522510,-841354,4681156,--,4681156,-1204758,3476398,4625938,--,55218,3688614,--,-212216,0.55
