年,季,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2013,01,2880,華南金,5586718,3274288,8861006,884379,--,4881177,3095450,-498690,2596760,--,2596760,385207,2981967,2596750,--,10,2981957,--,10,0.30
2013,01,2881,富邦金,17324979,68774115,86099094,-189654,63848464,10142872,12297412,-2150996,10146416,--,10146416,-11320831,-1174415,10146416,--,--,-1174415,--,--,1.06
2013,01,2882,國泰金,28690203,59134763,87824966,89058,67123878,12779271,7832759,-768339,7064420,--,7064420,122056,7186476,6929169,--,135251,6930883,--,255593,0.65
2013,01,2883,開發金,975070,4166449,5141519,108010,--,3377533,1655976,-194677,1461299,--,1461299,2959474,4420773,1428786,--,32513,4387341,--,33432,0.10
2013,01,2884,玉山金控,3077352,3580319,6657671,350558,--,3539425,2767688,-499504,2268184,--,2268184,856225,3124409,2268184,--,--,3124409,--,--,0.45
2013,01,2885,元大金,2355867,4367219,6723086,117311,--,4591493,2014282,-298179,1716103,--,1716103,-190658,1525445,1619851,--,96252,1404087,--,121358,0.16
2013,01,2886,兆豐金,7588805,5686900,13275705,861176,-97943,5310316,7202156,-1014569,6187587,--,6187587,1423501,7611088,6186420,--,1167,7587240,--,23848,0.54
2013,01,2887,台新金控,7489395,6241503,13730898,-674987,--,7310553,7095332,-1097119,5998213,--,5998213,-542340,5455873,4181690,--,1816523,3698449,--,1757424,0.57
2013,01,2888,新光金,13253913,23583277,36837190,280338,22822048,4994015,8740789,-1094406,7646383,--,7646383,1169692,8816075,7429210,--,217173,8522254,--,293821,0.88
2013,01,2889,國票金控,363460,607323,970783,-17671,--,605224,383230,-66499,316731,--,316731,-30669,286062,306999,--,9732,274077,--,11985,0.12
2013,01,2890,永豐金控,3843535,4023152,7866687,-113858,--,4432525,3548020,-674849,2873171,--,2873171,912960,3786131,2873171,--,0,3786131,--,--,0.38
2013,01,2891,中信金,7877297,17195718,25073015,-245250,8295097,9388979,7634189,-1188269,6445920,--,6445920,-671682,5774238,6443898,--,2022,5770572,--,3666,0.52
2013,01,2892,第一金控,6310475,2232541,8543016,235337,150561,4604638,3552480,-582424,2970056,0,2970056,1109395,4079451,2963417,--,6639,4089196,--,-9745,0.36
2013,01,5880,合庫金,6846810,2907983,9754793,964812,679725,5253719,2856537,-447708,2408829,--,2408829,-403735,2005094,2376887,--,31942,2025392,--,-20298,0.30
