年,季,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2014,03,2880,華南金,18826346,10447663,29274009,1595565,435174,15739467,11503803,-1712172,9791631,0,9791631,648785,10440416,9791579,0,52,10440364,0,52,1.05
2014,03,2881,富邦金,66089052,227763889,293852941,828447,194512042,35831913,62680539,-8904739,53775800,--,53775800,-8811467,44964333,53581940,--,193860,44747276,--,217057,5.24
2014,03,2882,國泰金,92536882,192889015,285425897,1189768,192620022,41276698,50339409,-5594648,44744761,--,44744761,-6363900,38380861,44485434,--,259327,37963311,--,417550,3.54
2014,03,2883,開發金,5534967,15057216,20592183,50320,--,11505024,9036839,-923883,8112956,--,8112956,-1267997,6844959,8007474,--,105482,6742831,--,102128,0.54
2014,03,2884,玉山金控,11308501,13195310,24503811,1195135,--,13001816,10306860,-1836719,8470141,--,8470141,528513,8998654,8405228,0,64913,8918234,--,80420,1.26
2014,03,2885,元大金,9948779,32333328,42282107,570387,7795865,18629937,15285918,-1372562,13913356,--,13913356,-529674,13383682,13897430,--,15926,13508561,--,-124879,1.37
2014,03,2886,兆豐金,27308916,18682037,45990953,1164496,-73595,16829176,28070876,-4263495,23807381,--,23807381,1492276,25299657,23826262,--,-18881,25324882,--,-25225,1.91
2014,03,2887,台新金控,26108396,20104689,46213085,-1357275,--,24879526,22690834,-2756770,19934064,--,19934064,-137229,19796835,12927176,--,7006888,12763120,--,7033715,1.42
2014,03,2888,新光金,45852585,102285432,148138017,1428308,118783984,18651147,9274578,-1619396,7655182,--,7655182,-5436408,2218774,6948757,--,706425,1325463,--,893311,0.71
2014,03,2889,國票金控,1194610,2632687,3827297,67777,--,1999257,1760263,-175472,1584791,--,1584791,-86939,1497852,1452892,--,131899,1356490,--,141362,0.55
2014,03,2890,永豐金控,13619364,16796502,30415866,1841875,--,14915852,13658139,-2368045,11290094,0,11290094,-371932,10918162,11290344,--,-250,10918412,--,-250,1.27
2014,03,2891,中信金,33608669,118519559,152128228,132439,75372384,35210330,41413075,-4118807,37294268,--,37294268,-981339,36312929,37288452,--,5816,36306060,--,6869,2.44
2014,03,2892,第一金控,21110392,10683845,31794237,2840306,376572,15081823,13495536,-1790398,11705138,0,11705138,1139482,12844620,11692188,--,12950,12863621,--,-19001,1.26
2014,03,5880,合庫金,22084949,4959957,27044906,5411441,-5023443,17064763,9592145,-1322526,8269619,--,8269619,-1152935,7116684,8153075,--,116544,7161851,--,-45167,0.90
