年,公司代號,公司名稱,股利所屬年度,權利分派基準日,盈餘轉增資配股(元/股),法定盈餘公積、資本公積轉增資配股(元/股),除權交易日,配股總股數(股),配股總金額(元),配股總股數佔盈餘配股總股數之比例(%),員工紅利配股率,盈餘分配之股東現金股利(元/股),法定盈餘公積、資本公積發放之現金(元/股),除息交易日,現金股利發放日,員工紅利總金額(元),現金增資總股數(股),現金增資認股比率(%),現金增資認購價(元/股),董監酬勞(元),公告日期,公告時間,普通股每股面額
2006,1101,台泥,94,95/09/02,0.1562158,0,95/08/25,"          7,522,000","             75,220,000",13.76,0.00249284,1.4059428,0,95/08/25, ,"         75,217,822",                  0,0,          0.00,"        150,437,822",95/08/10,17:05:09,新台幣                 10.0000元
2006,1101A,甲種特別股,94,95/09/02, , , , , , , ,1.5, ,95/08/25, , , , , ,-,95/08/10,17:05:09,新台幣                 10.0000元
2006,1102,亞泥,94,95/08/15,0.8,0,95/08/09,                  0,                      0,0.00,0,1.2,0,95/08/09, ,"        201,682,291",                  0,0,          0.00,"        151,261,719",95/08/01,18:38:40,新台幣                 10.0000元
2006,1104,環球水泥,94,95/07/28,1.1,0,95/07/20,                  0,                      0,0.00,0,0,0, , ,"         16,103,062",                  0,0,          0.00,"         16,103,062",95/06/30,15:32:42,新台幣                 10.0000元
2006,1108,幸福水泥,94,95/08/09, , , , , , ,0,0.45,0,95/08/03, ,"          5,973,004", , , ,"          9,955,006",95/07/19,14:57:58,新台幣                 10.0000元
2006,1109,信大水泥,94,95/07/26, , , , , , ,0,0.5,0,95/07/20, ,"          3,098,024", , , ,"         15,490,121",95/06/29,15:46:33,新台幣                 10.0000元
2006,1110,東泥,94,95/07/24, , , , , , ,0,0.5,0,95/07/18, ,"          3,000,004", , , ,"          9,000,012",95/06/29,09:28:23,新台幣                 10.0000元
2006,1210,大成長城,94,95/08/08, , , , , , ,0,1.08854261,0,95/08/02, ,"          9,000,000", , , ,"          8,000,000",95/07/17,15:30:34,新台幣                 10.0000元
2006,1213,大飲,94,95/09/25,1,1,95/09/19,                  0,                      0,0.00,0, , , , ,"            326,694",                  0,0,          0.00,"          1,633,470",95/08/18,17:18:30,新台幣                 10.0000元
2006,1218,泰山企業,94,95/08/12,0,0.2,95/08/04,                  0,                      0,0.00,0, , , , , ,                  0,2,          0.00,-,95/07/25,17:41:53,新台幣                 10.0000元
2006,1219,福壽實業,94,95/07/04, , , , , , ,0,0.15,0,95/06/28, ,"            434,409", , , ,"          2,172,043",95/06/13,09:30:12,新台幣                 10.0000元
2006,1229,聯華實業,94,95/08/19,0.19997263,0,95/08/11,                  0,                      0,0.00,0,0.59991793,0,95/08/11, ,"          7,536,900",                  0,0,          0.00,"          8,000,000",95/07/28,09:46:46,新台幣                 10.0000元
2006,1231,聯華食品,94,95/08/29, , , , , , ,0,0.5,0,95/08/23, ,"            941,730", , , ,"            941,730",95/08/08,16:58:22,新台幣                 10.0000元
2006,1232,大統益,94,95/07/10, , , , , , ,0,1.6,0,95/07/04, ,"          5,941,213", , , ,"          5,941,213",95/06/14,16:01:08,新台幣                 10.0000元
2006,1233,天仁,94,95/07/12, , , , , , ,0,1.5,0,95/07/06, ,"          3,471,843", , , ,"          3,471,843",95/06/19,16:29:53,新台幣                 10.0000元
2006,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,
2006,1234,黑松,94,95/07/18, , , , , , ,0,0.25,0,95/07/12, ,"          1,395,386", , , ,-,95/06/27,14:37:26,新台幣                 10.0000元
2006,1235,興泰,94,95/07/11, , , , , , ,0,0.5,0,95/07/05, ,"            668,328", , , ,"          1,113,880",95/06/19,16:32:06,新台幣                 10.0000元
2006,1236,宏亞食品,94,95/07/28,0.8,0,95/07/20,                  0,                      0,0.00,0,1,0,95/07/20, ,"          2,909,412",                  0,0,          0.00,"          7,273,529",95/07/05,15:36:55,新台幣                 10.0000元
2006,1301,台塑,94,95/07/11,0.3,0,95/07/05,                  0,                      0,0.00,0,4.1,0,95/07/05, ,"        122,156,527",                  0,0,          0.00,"         35,358,050",95/06/21,09:27:26,新台幣                 10.0000元
2006,1303,南亞塑膠,94,95/08/07,0,0.3,95/08/01,                  0,                      0,0.00,0,3.7,0,95/08/01, ,"        104,256,070",                  0,0,          0.00,"         34,420,000",95/07/14,15:42:08,新台幣                 10.0000元
2006,1304,台聚,94,95/07/25, , , , , , ,0,0.7,0,95/07/19, ,"          1,000,000", , , ,"          4,600,000",95/07/04,10:35:21,新台幣                 10.0000元
2006,1307,三芳化工,94,95/06/26, , , , , , ,0,1,0,95/06/20, ,"         15,673,852", , , ,"          9,404,311",95/06/06,16:33:31,新台幣                 10.0000元
2006,1308,亞聚,94,95/07/25, , , , , , ,0,0.8,0,95/07/19, ,"          2,990,753", , , ,                  0,95/07/04,10:54:04,新台幣                 10.0000元
2006,1311,福聚,94,95/07/10, , , , , , ,0,1.7,0,95/07/04, ,"          5,613,897", , , ,"         17,000,000",95/06/16,09:44:05,新台幣 10.0000元
2006,1313,聯成,94,95/08/14,0.20299466,0,95/08/08,                  0,                      0,0.00,0,0.40598933,0,95/08/08, ,"          3,000,000",                  0,0,          0.00,"          6,000,000",95/07/24,15:08:37,新台幣                 10.0000元
2006,1315,達新工業,94,95/06/30, , , , , , ,0,1,0,95/06/22, ,"          1,159,090", , , ,"          1,159,090",95/06/06,11:39:59,新台幣                 10.0000元
2006,1319,東陽,94,95/08/06, , , , , , ,0,1.5,0,95/07/31, ,"          6,461,584", , , ,"         19,384,751",95/07/04,09:26:44,新台幣                 10.0000元
2006,1321,大洋,94,95/08/04,0.4,0,95/07/27,                  0,                      0,0.00,0,0.6,0,95/07/27, ,"          4,083,800",                  0,0,          0.00,"          4,083,800",95/07/11,09:42:26,新台幣                 10.0000元
2006,1323,永裕,94,95/06/26, , , , , , ,0,0.35,0,95/06/20, ,"          2,336,189", , , ,"            584,047",95/06/05,09:51:39,新台幣                 10.0000元
2006,1324,地球工業,94,95/09/11,0.3,0,95/09/05,                  0,                      0,0.00,0,0.2,0,95/09/05, ,"            990,966",                  0,0,          0.00,"            990,966",95/08/18,14:51:06,新台幣                 10.0000元
2006,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,
