年,公司代號,公司名稱,股利所屬年度,權利分派基準日,盈餘轉增資配股(元/股),法定盈餘公積、資本公積轉增資配股(元/股),除權交易日,配股總股數(股),配股總金額(元),配股總股數佔盈餘配股總股數之比例(%),員工紅利配股率,盈餘分配之股東現金股利(元/股),法定盈餘公積、資本公積發放之現金(元/股),除息交易日,現金股利發放日,員工紅利總金額(元),現金增資總股數(股),現金增資認股比率(%),現金增資認購價(元/股),董監酬勞(元),公告日期,公告時間,普通股每股面額
2009,1101,台泥,97,98/08/23, , , , , , ,0,1.32,0,98/08/17, ,"         68,256,631", , , ,"        136,513,261",98/07/29,19:24:59,新台幣                 10.0000元
2009,1102,亞泥,97,98/08/30,0.3,0,98/08/24,                  0,                      0,0.00,0,1.8,0,98/08/24, ,"        261,824,596",                  0,0,          0.00,"        196,368,447",98/08/06,17:48:03,新台幣                 10.0000元
2009,1109,信大水泥,97,98/07/23, , , , , , ,0,0.2,0,98/07/16, ,"          1,700,406", , , ,"          8,502,031",98/07/01,15:00:30,新台幣                 10.0000元
2009,1203,味王公司,97,98/09/22,0.5,0,98/09/16,                  0,                      0,0.00,0,0.5,0,98/09/16, ,"          4,500,081",                  0,0,          0.00,"         11,250,202",98/08/31,18:52:28,新台幣                 10.0000元
2009,1210,大成長城,98,98/08/18,0.5,0,98/08/12,                  0,                      0,0.00,0,1.2,0,98/08/12, ,"         15,000,000",                  0,0,          0.00,"         15,000,000",98/07/29,08:43:10,新台幣                 10.0000元
2009,1215,卜蜂企業,97,98/07/14, , , , , , ,0,0.7,0,98/07/08, ,"          1,050,000", , , ,                  0,98/06/23,16:58:37,新台幣                 10.0000元
2009,1216,統一,97,98/08/24,0.44,0,98/08/18,                  0,                      0,0.00,0,0.44,0,98/08/18, ,"        267,077,307",                  0,0,          0.00,"         64,814,983",98/08/03,16:19:47,新台幣                 10.0000元
2009,1227,佳格,97,98/08/09,0.05,0,98/08/03,                  0,                      0,0.00,0,1.4,0,98/08/03, ,"         10,368,360",                  0,0,          0.00,"          6,349,940",98/07/16,15:10:14,新台幣                 10.0000元
2009,1229,聯華實業,97,98/08/15,0.35,0,98/08/07,                  0,                      0,0.00,0,0.25,0,98/08/07, ,"          3,648,255",                  0,0,          0.00,"          6,000,000",98/07/24,14:59:00,新台幣                 10.0000元
2009,1231,聯華食品,97,98/08/24, , , , , , ,0,0.7,0,98/08/18, ,"          1,663,437", , , ,"          1,663,437",98/07/31,14:14:27,新台幣                 10.0000元
2009,1232,大統益,97,98/07/21, , , , , , ,0,2.4,0,98/07/15, ,"          8,440,401", , , ,"          8,440,401",98/06/30,09:01:21,新台幣                 10.0000元
2009,1233,天仁,97,98/07/09, , , , , , ,0,1.4,0,98/07/02, ,"          3,337,598", , , ,"          3,337,598",98/06/16,10:04:56,新台幣                 10.0000元
2009,1234,黑松,97,98/07/21, , , , , , ,0,0.3,0,98/07/15, ,"          1,674,463", , , ,"          5,023,389",98/06/30,20:26:49,新台幣                 10.0000元
2009,1235,興泰,97,98/10/12,0.3,0,98/10/06,                  0,                      0,0.00,0,0,0, , ,"            502,850",                  0,0,          0.00,"            838,083",98/08/25,17:49:39,新台幣                 10.0000元
2009,1236,宏亞食品,97,98/07/27, , , , , , ,0,1,0,98/07/21, ,"          3,626,860", , , ,"          1,813,430",98/07/06,10:09:09,新台幣                 10.0000元
2009,,,,,,,,,,,,,,,,,,,,,,,
