年,公司代號,公司名稱,股利所屬年度,權利分派基準日,盈餘轉增資配股(元/股),法定盈餘公積、資本公積轉增資配股(元/股),除權交易日,配股總股數(股),配股總金額(元),配股總股數佔盈餘配股總股數之比例(%),員工紅利配股率,盈餘分配之股東現金股利(元/股),法定盈餘公積、資本公積發放之現金(元/股),除息交易日,現金股利發放日,員工紅利總金額(元),現金增資總股數(股),現金增資認股比率(%),現金增資認購價(元/股),董監酬勞(元),公告日期,公告時間,普通股每股面額
2012,1101,台泥,100,101/08/01, , , , , , ,0,1.9,0,101/07/26, ,"         44,914,198", , , ,"         71,313,620",101/07/11,17:37:23,新台幣                 10.0000元
2012,1102,亞泥,100,101/08/27,0.3,0,101/08/21,                  0,                      0,0.00,0,2.3,0,101/08/21, ,"        350,783,467",                  0,0,          0.00,"        263,087,600",101/08/06,17:01:49,新台幣                 10.0000元
2012,1103,嘉泥,100,101/08/19,0.3,0,101/08/13,                  0,                      0,0.00,0,0.2,0,101/08/13, ,"          4,000,000",                  0,0,          0.00,                  0,101/07/27,15:54:00,新台幣                 10.0000元
2012,1104,環球水泥,100,101/07/27, , , , , , ,0,0.6,0,101/07/19, ,"         11,563,888", , , ,"         11,563,888",101/07/05,10:39:58,新台幣                 10.0000元
2012,1109,信大水泥,100,101/08/05, , , , , , ,0,0.35,0,101/07/30, ,"            661,773", , , ,"          3,308,863",101/07/12,17:45:59,新台幣                 10.0000元
2012,1110,東泥,100,101/07/30, , , , , , ,0,0.1,0,101/07/24, ,"            595,834", , , ,"          1,787,502",101/07/06,16:59:08,新台幣                 10.0000元
2012,1201,味全公司,100,101/07/23, , , , , , ,0,0.6,0,101/07/17, , , , , ,                  0,101/06/27,17:07:58,新台幣                 10.0000元
2012,1203,味王公司,100,101/09/19, , , , , , ,0,0.5,0,101/09/13, ,"          2,580,645", , , ,"          6,451,613",101/08/30,09:39:01,新台幣                 10.0000元
2012,1210,大成長城,100,101/09/07,0.49533678,0,101/08/30,                  0,                      0,0.00,0,1.18880829,0,101/08/30, ,"         15,000,000",                  0,0,          0.00,"         15,000,000",101/08/15,14:19:54,新台幣                 10.0000元
2012,1215,卜蜂企業,100,101/07/16, , , , , , ,0,0.3,0,101/07/10, ,"          1,234,000", , , ,                  0,101/06/25,17:10:33,新台幣                 10.0000元
2012,1216,統一,100,101/08/17,0.7,0,101/08/09,                  0,                      0,0.00,0,1,0,101/08/09, ,"        817,572,476",                  0,0,          0.00,"        170,058,260",101/07/24,11:10:16,新台幣                 10.0000元
2012,12160,特別股0,100,101/08/17,0,0,101/08/09, , , , ,0, ,101/08/09, , , , , ,-,101/07/24,11:10:16,新台幣                 10.0000元
2012,1218,泰山企業,100,101/08/24,0.3,0,101/08/16,                  0,                      0,0.00,0,0.2,0,101/08/16, ,"          3,605,792",                  0,0,          0.00,"          9,014,479",101/07/31,16:29:25,新台幣                 10.0000元
2012,1219,福壽實業,100,101/08/05,0.5,0,101/07/30,                  0,                      0,0.00,0,0.5,0,101/07/30, ,"          4,964,270",                  0,0,          0.00,"         12,410,674",101/07/13,11:37:16,新台幣                 10.0000元
