年,公司代號,公司名稱,股利所屬年度,權利分派基準日,盈餘轉增資配股(元/股),法定盈餘公積、資本公積轉增資配股(元/股),除權交易日,配股總股數(股),配股總金額(元),配股總股數佔盈餘配股總股數之比例(%),員工紅利配股率,盈餘分配之股東現金股利(元/股),法定盈餘公積、資本公積發放之現金(元/股),除息交易日,現金股利發放日,員工紅利總金額(元),現金增資總股數(股),現金增資認股比率(%),現金增資認購價(元/股),董監酬勞(元),公告日期,公告時間,普通股每股面額
2014,1101,台泥,102,103/07/23, , , , , , ,0,2.3,0,103/07/17, , , , , ,"         86,385,293",103/06/30,10:40:36,新台幣                 10.0000元
2014,1102,亞泥,102,103/09/03,0.2,0,103/08/28,                  0,                      0,0.00,0,1.8,0,103/08/28,103/09/25,"        283,487,008",                  0,0,          0.00,"        212,615,256",103/08/15,17:09:48,新台幣                 10.0000元
2014,1103,嘉泥,102,103/07/18, , , , , , ,0,1,0,103/07/10, ,"         13,500,000", , , ,"         15,964,000",103/06/26,09:37:05,新台幣                 10.0000元
2014,1104,環球水泥,102,103/07/28,0.2,0,103/07/22,                  0,                      0,0.00,0,0.9,0,103/07/22,103/08/29,"         21,200,461",                  0,0,          0.00,"         21,200,461",103/07/08,09:48:26,新台幣                 10.0000元
2014,1108,幸福水泥,102,103/07/22, , , , , , ,0,0.45,0,103/07/16,103/07/31,"          4,844,997", , , ,"          8,074,995",103/07/02,11:42:01,新台幣                 10.0000元
2014,1109,信大水泥,102,103/07/23, , , , , , ,0,1.2,0,103/07/17, ,"          4,941,569", , , ,"          9,883,138",103/06/12,15:02:11,新台幣                 10.0000元
2014,1110,東泥,102,103/07/30, , , , , , ,0,0.2,0,103/07/24,103/08/11,"          1,191,668", , , ,"          3,575,005",103/07/09,18:06:42,新台幣                 10.0000元
2014,1201,味全公司,102,103/07/28, , , , , , ,0,0.6,0,103/07/22, ,                  0, , , ,                  0,103/06/30,12:02:13,新台幣                 10.0000元
2014,1203,味王公司,102,103/09/07, , , , , , ,0,1,0,103/09/01,103/10/03,"          5,161,290", , , ,"         12,903,226",103/08/14,14:25:37,新台幣                 10.0000元
2014,1210,大成長城,102,103/09/03,3,0,103/08/28,                  0,                      0,0.00,0,1,0,103/08/28,103/09/26,"         15,000,000",                  0,0,          0.00,"         15,000,000",103/08/12,17:20:19,新台幣                 10.0000元
