年,公司代號,公司名稱,股利所屬年度,權利分派基準日,盈餘轉增資配股(元/股),法定盈餘公積、資本公積轉增資配股(元/股),除權交易日,配股總股數(股),配股總金額(元),配股總股數佔盈餘配股總股數之比例(%),員工紅利配股率,盈餘分配之股東現金股利(元/股),法定盈餘公積、資本公積發放之現金(元/股),除息交易日,現金股利發放日,員工紅利總金額(元),現金增資總股數(股),現金增資認股比率(%),現金增資認購價(元/股),董監酬勞(元),公告日期,公告時間,普通股每股面額
2008,1101,台泥,96,97/08/02,0.1,0,97/07/25,"         11,052,300","            110,523,000",25.39,0.00340213,1.9,0,97/07/25, ,"         96,836,821",                  0,0,          0.00,"        207,359,821",97/07/10,18:21:49,新台幣                 10.0000元
2008,1102,亞泥,96,97/08/25,0.6,0,97/08/19,                  0,                      0,0.00,0,2.4,0,97/08/19, ,"        352,863,337",                  0,0,          0.00,"        264,647,503",97/08/05,09:30:08,新台幣                 10.0000元
2008,1103,嘉泥,96,97/08/12,1.00210746,0,97/08/06,                  0,                      0,0.00,0,0,0, , ,"         11,495,532",                  0,0,          0.00,"         10,611,260",97/07/25,10:31:25,新台幣                 10.0000元
2008,1104,環球水泥,96,97/08/08,0.8,0,97/07/31,                  0,                      0,0.00,0,0,0, , ,"         14,276,404",                  0,0,          0.00,"         14,276,404",97/07/15,09:34:08,新台幣                 10.0000元
2008,1108,幸福水泥,96,97/09/22, , , , , , ,0,0.25,0,97/09/16, ,"          2,548,314", , , ,"          4,247,190",97/08/29,10:06:02,新台幣                 10.0000元
2008,1109,信大水泥,96,97/07/23, , , , , , ,0,0.5,0,97/07/17, ,"          2,246,644", , , ,"         11,233,222",97/06/23,16:25:23,新台幣                 10.0000元
2008,1110,東泥,96,97/07/15, , , , , , ,0,0.4,0,97/07/09, ,"          2,400,003", , , ,"          7,200,010",97/06/24,16:10:39,新台幣                 10.0000元
2008,1210,大成長城,97,97/08/22,0.4933499184,0,97/08/14,                  0,                      0,0.00,0,1.48004975,0,97/08/14, ,"         15,000,000",                  0,0,          0.00,"         15,000,000",97/07/30,09:56:12,新台幣                 10.0000元
2008,1215,卜蜂企業,96,97/07/15, , , , , , ,0,1,0,97/07/09, ,"          2,673,539", , , ,                  0,97/06/24,16:08:09,新台幣                 10.0000元
2008,1216,統一,96,97/08/22,0.5,0,97/08/14,                  0,                      0,0.00,0,2,0,97/08/14, ,"        851,963,977",                  0,0,          0.00,"        198,305,769",97/07/29,12:08:42,新台幣                 10.0000元
2008,1217,愛之味,97,97/04/22,0,0,97/04/16,                  0,                      0,0.00,0,0,0, , , ,"         70,000,000",14.827,         10.30,                  0,97/04/01,11:30:26,新台幣                 10.0000元
2008,1219,福壽實業,96,97/08/04, , , , , , ,0,0.3,0,97/07/29, ,"          1,523,293", , , ,"          7,616,463",97/07/11,14:10:44,新台幣                 10.0000元
2008,1219,福壽實業,96,97/08/31,0.2,0.1,97/08/25,                  0,                      0,0.00,0, , , , , ,                  0,0,          0.00,"          7,616,463",97/08/11,09:13:51,新台幣                 10.0000元
2008,1225,福懋油,96,97/08/05, , , , , , ,0,0.25,0,97/07/30, ,"          2,259,723", , , ,"          2,259,722",97/07/15,18:35:58,新台幣                 10.0000元
2008,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,
2008,1227,佳格,96,97/07/14, , , , , , ,0,0.9,0,97/07/08, ,"          5,703,820", , , ,"          3,430,513",97/06/23,16:10:35,新台幣                 10.0000元
2008,1229,聯華實業,96,97/08/17,0.49983177,0,97/08/11,"          1,300,000","             13,000,000",3.36,0.00173729,0.69976449,0,97/08/11, ,                  0,                  0,0,          0.00,"          8,000,000",97/07/25,17:36:33,新台幣                 10.0000元
2008,1231,聯華食品,96,97/08/27, , , , , , ,0,0.6,0,97/08/21, ,"          1,459,013", , , ,"          1,459,013",97/08/04,09:39:03,新台幣                 10.0000元
2008,1232,大統益,96,97/07/22, , , , , , ,0,2.6,0,97/07/16, ,"          9,024,397", , , ,"          9,024,397",97/06/23,15:00:01,新台幣                 10.0000元
2008,1233,天仁,96,97/07/10, , , , , , ,0,1.4,0,97/07/03, ,"          3,337,598", , , ,"          3,337,598",97/06/17,14:31:31,新台幣                 10.0000元
2008,1234,黑松,96,97/07/29, , , , , , ,0,0.27,0,97/07/23, ,"          1,507,017", , , ,"          4,521,050",97/07/08,19:24:51,新台幣                 10.0000元
2008,1235,興泰,96,97/11/18,1.4,0,97/11/12,                  0,                      0,0.00,0,0,0, , ,"          2,058,450",                  0,0,          0.00,"          3,430,750",97/10/22,08:45:44,新台幣                 10.0000元
2008,1236,宏亞食品,96,97/07/21,0.5,0,97/07/15,                  0,                      0,0.00,0,0.8,0,97/07/15, ,"          4,490,398",                  0,0,          0.00,"          2,245,199",97/06/30,09:57:51,新台幣                 10.0000元
2008,1301,台塑,97,97/07/14, , , , , , ,0,6.7,0,97/07/08, ,"        135,220,531", , , ,"         35,716,962",97/06/20,17:51:24,新台幣                 10.0000元
2008,1303,南亞塑膠,97,97/07/08, , , , , , ,0,6.7,0,97/07/02, ,"        197,269,427", , , ,"         29,728,000",97/06/16,10:11:53,新台幣                 10.0000元
2008,1304,台聚,96,97/07/28, , , , , , ,0,1.5,0,97/07/22, ,"          1,500,000", , , ,"          4,000,000",97/07/07,16:03:53,新台幣                 10.0000元
2008,1307,三芳化工,96,97/07/11, , , , , , ,0,1,0,97/07/03, ,"         23,172,394", , , ,"         13,906,436",97/06/19,17:15:14,新台幣                 10.0000元
2008,1307,三芳化工,96,97/08/16,0.5,0,97/08/08,                  0,                      0,0.00,0, , , , ,"         23,172,394",                  0,0,          0.00,"         13,906,436",97/07/25,09:23:12,新台幣                 10.0000元
2008,1308,亞聚,96,97/07/28, , , , , , ,0,2,0,97/07/22, ,"          7,069,433", , , ,                  0,97/07/07,16:01:18,新台幣                 10.0000元
2008,1309,台達化工,96,97/09/01,0.3,0,97/08/26,                  0,                      0,0.00,0,0.2,0,97/08/26, ,"          1,907,072",                  0,0,          0.00,                  0,97/08/08,09:36:45,新台幣                 10.0000元
2008,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,
2008,1310,台苯,96,97/09/22,0.3,0,97/09/16,"            175,100","              1,751,000",1.00,0.00030303,0.3,0,97/09/16, ,"          1,751,002",                  0,0,          0.00,                  0,97/08/29,15:10:56,新台幣                 10.0000元
2008,1313,聯成,96,97/08/09,0.4,0,97/08/01,"          2,800,000","             28,000,000",8.88,0.00355304,1,0,97/08/01, ,                  0,                  0,0,          0.00,"          8,000,000",97/07/17,09:33:53,新台幣                 10.0000元
2008,1314,中石化,96,97/10/22,0.6,0,97/10/16,"          3,563,565","             35,635,650",3.39,0.00210862,0,0, , ,                  0,                  0,0,          0.00,"         23,757,100",97/09/26,16:34:24,新台幣                 10.0000元
2008,1315,達新工業,96,97/07/07, , , , , , ,0,1.2,0,97/07/01, ,"          1,333,333", , , ,"          1,333,333",97/06/10,10:25:48,新台幣                 10.0000元
2008,1319,東陽,97,97/08/20,0.3,0.3,97/08/14,                  0,                      0,0.00,0,0.55,0,97/08/14, ,"          3,771,411",                  0,0,          0.00,"         11,314,233",97/07/30,16:08:25,新台幣                 10.0000元
2008,1323,永裕,96,97/06/23, , , , , , ,0,0.3,0,97/06/17, ,"          5,339,861", , , ,"          1,334,966",97/05/30,17:02:53,新台幣                 10.0000元
2008,1323,永裕,96,97/08/11,0.5,0,97/08/05,                  0,                      0,0.00,0, , , , , ,                  0,0,          0.00,"          1,334,966",97/07/21,11:05:33,新台幣                 10.0000元
2008,1325,恒大,96,97/07/22, , , , , , ,0,0.6,0,97/07/16, ,"          3,145,094", , , ,"          1,572,547",97/06/30,09:31:17,新台幣                 10.0000元
2008,1326,台化,97,97/07/01, , , , , , ,0,7,0,97/06/25, ,"        186,702,686", , , ,"         37,415,000",97/06/10,10:17:35,新台幣                 10.0000元
2008,1402,遠東新,96,97/08/29,0.2,0,97/08/21,                  0,                      0,0.00,0,1.8,0,97/08/21, ,"        385,406,184",                  0,0,          0.00,"        289,054,638",97/08/06,10:36:32,新台幣                 10.0000元
2008,14020,特別股0,96,97/08/29,0,0,97/08/21, , , , ,0, ,97/08/21, , , , , ,-,97/08/06,10:36:32,新台幣                 10.0000元
2008,1409,新纖,97,97/10/23, , , , , , ,0,0.20158,0,97/10/16, ,"          4,319,048", , , ,-,97/10/01,17:20:35,新台幣                 10.0000元
2008,1419,新紡,96,97/07/21, , , , , , ,0,0.25,0,97/07/15, ,"          1,500,000", , , ,"            900,000",97/06/30,16:15:18,新台幣                 10.0000元
2008,1423,利華羊毛,96,97/07/30, , , , , , ,0,0.5,0,97/07/24, ,"          6,113,660", , , ,"          4,075,774",97/07/07,17:34:00,新台幣                 10.0000元
2008,14230,特別股0,96,97/07/30, , , , , , , ,0, ,97/07/24, , , , , ,-,97/07/07,17:34:00,新台幣                 10.0000元
2008,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,
