年,公司代號,公司名稱,股利所屬年度,權利分派基準日,盈餘轉增資配股(元/股),法定盈餘公積、資本公積轉增資配股(元/股),除權交易日,配股總股數(股),配股總金額(元),配股總股數佔盈餘配股總股數之比例(%),員工紅利配股率,盈餘分配之股東現金股利(元/股),法定盈餘公積、資本公積發放之現金(元/股),除息交易日,現金股利發放日,員工紅利總金額(元),現金增資總股數(股),現金增資認股比率(%),現金增資認購價(元/股),董監酬勞(元),公告日期,公告時間,普通股每股面額
2013,1101,台泥,101,102/07/31, , , , , , ,0,1.9,0,102/07/25, ,"         44,670,317", , , ,"         71,311,156",102/07/11,11:20:05,新台幣                 10.0000元
2013,1102,亞泥,101,102/09/04,0.2,0,102/08/29,                  0,                      0,0.00,0,1.7,0,102/08/29, ,"        264,032,017",                  0,0,          0.00,"        198,024,013",102/08/15,14:16:28,新台幣                 10.0000元
2013,1104,環球水泥,101,102/07/19, , , , , , ,0,0.75,0,102/07/11, ,"         14,454,860", , , ,"         14,454,860",102/06/26,11:04:03,新台幣                 10.0000元
2013,1109,信大水泥,101,102/07/22, , , , , , ,0,0.38,0,102/07/16, ,"            790,303", , , ,"          3,951,512",102/06/28,16:51:34,新台幣                 10.0000元
2013,1110,東泥,101,102/07/28, , , , , , ,0,0.1,0,102/07/22, ,"            595,834", , , ,"          1,787,502",102/07/05,14:17:40,新台幣                 10.0000元
2013,1201,味全公司,101,102/07/24, , , , , , ,0,0.6,0,102/07/18, ,                  0, , , ,                  0,102/06/26,14:29:46,新台幣                 10.0000元
2013,1203,味王公司,101,102/09/06, , , , , , ,0,0.3,0,102/08/29, ,"          1,548,387", , , ,"          3,870,968",102/08/14,12:05:30,新台幣                 10.0000元
2013,1210,大成長城,101,102/09/04, , , , , , ,0,1.2,0,102/08/29, ,"         15,000,000", , , ,"         15,000,000",102/08/14,10:07:36,新台幣                 10.0000元
2013,1215,卜蜂企業,101,102/07/15, , , , , , ,0,0.8,0,102/07/09, ,"          2,809,000", , , ,                  0,102/06/24,17:46:56,新台幣                 10.0000元
2013,1216,統一,101,102/08/16,0.6,0,102/08/08,                  0,                      0,0.00,0,1.4,0,102/08/08, ,"      1,017,561,122",                  0,0,          0.00,"        223,332,114",102/07/22,15:01:05,新台幣                 10.0000元
