公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 其他應收款－關係人增加,　　 取得無形資產,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還長期借款,　　 存入保證金增加,　　 其他應付款－關係人增加,　　 其他非流動負債減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金
3532,2016年01月01日至2016年06月30日,,                490018,                490018,,,              1040567,                 18799,                    956,                 -6302,                 12623,                  8462,                      9,              1075114,,,               -360701,                 15395,               -115979,                 47377,               -413908,,                 47739,                -51935,                    749,                  3561,                    114,               -413794,                661320,              1151338,                  6302,                    -69,               -189440,                968131,,               -597685,                     12,             -1160320,                   -584,                -59592,                -13276,             -1831445,,                              0,                     63,              1160320,                   -138,              1160245,               -102394,                194537,              2787512,              2982049,              2982049
3532,2015年01月01日至2015年06月30日,,                899590,                899590,,,              1017972,                 35881,                  5508,                 -8716,                 -2201,                  5776,                     83,              1054303,,,                -59297,                 -8663,                -98885,                -34536,               -201381,,                -41078,                 28194,                  3110,                  3865,                 -5909,               -207290,                847013,              1746603,                  8716,                 -6691,               -156258,              1592370,,                -60503,                     58,                              0,                              0,                -57035,                              0,               -117480,,               -690916,                   -558,                              0,                   -331,               -691805,                 -5279,                777806,              2245067,              3022873,              3022873
