公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 因合併產生之現金流入,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 員工執行認股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金
3006,2016年01月01日至2016年06月30日,,                335728,                335728,,,                108949,                 13549,                -36984,                    589,                 -9846,                              0,                 -2763,               -192424,                              0,               -118930,,,                 26596,                     70,                207153,                 30326,                373883,                  4570,                 19134,                  2426,                664158,,                  1196,               -278632,                 69844,                 13352,                -11708,               -205948,                458210,                339280,                675008,                 10949,                    -95,                 -2448,                683414,,                161372,                -36223,                -82057,                 -2921,                -12412,                 82138,                -21841,                 88056,,                  2771,                  9342,                -17774,                 -5661,                765809,              1254654,              2020463,              2020463
3006,2015年01月01日至2015年06月30日,,                301966,                301966,,,                 59005,                 66664,                  1223,                    770,                -14024,                 13075,                -22918,                    713,                 -1280,                103228,,,                  2317,                   -157,                 93288,                 15893,               -786156,                 85109,                 -2864,                  1545,               -591025,,                 -1710,             -1552202,                -61584,                 -5180,                    437,             -1620239,             -2211264,             -2108036,             -1806070,                 15089,                   -319,               -137486,             -1928786,,                  2208,                951242,               -129517,                    306,                -18178,                              0,                 23694,                829755,,                    210,                 12727,                -15371,                 -2434,             -1101465,              2603490,              1502025,              1502025
