年,季,公司代號,公司名稱,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益合計,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,Unnamed: 21,待註銷股本股數（單位：股）,Unnamed: 22
2013,01,2855,統一證券,47730544.0,4820053.0,52550597.0,30523036.0,16591.0,30539627.0,13231191.0,256116.0,8511399.0,-27952.0,0.0,21970754.0,--,--,40216.0,22010970.0,0.0,0.0,16.61,,,
2013,01,2856,元富證券,58860084.0,5656605.0,64516689.0,44321939.0,426385.0,44748324.0,15332571.0,59070.0,4810654.0,-10868.0,-423062.0,19768365.0,--,--,0.0,19768365.0,0.0,38800000.0,13.26,,,
2013,01,6005,群益證,53782022.0,14957005.0,68739027.0,36008849.0,2771364.0,38780213.0,23690730.0,2705473.0,2820778.0,-22138.0,0.0,29194843.0,--,--,763971.0,29958814.0,0.0,0.0,12.32,,,
2013,02,2855,統一證券,42474300.0,4827285.0,47301585.0,25767574.0,13041.0,25780615.0,13231191.0,256116.0,8010312.0,-16057.0,0.0,21481562.0,--,--,39408.00,21520970.0,0.0,0.0,16.24,,,
2013,02,2856,元富證券,60966333.0,5727013.0,66693346.0,46688091.0,478576.0,47166667.0,15521375.0,61881.0,4370414.0,-3929.0,-423062.0,19526679.0,--,--,--,19526679.0,18086900.0,38800000.0,12.9,,,
2013,02,6005,群益證,54666544.0,14876556.0,69543100.0,37280741.0,2365689.0,39646430.0,23690730.0,2705473.0,2732329.0,1460.0,0.0,29129992.0,0.00,--,766678.00,29896670.0,0.0,0.0,12.3,,,
2013,03,2855,統一證券,54405036.0,4711508.0,59116544.0,37179010.0,9553.0,37188563.0,13231191.0,256116.0,8439856.0,-39368.0,--,21887795.0,--,--,40186.00,21927981.0,0.0,0.0,16.54,,,
2013,03,2856,元富證券,64305989.0,5674013.0,69980002.0,49816182.0,327527.0,50143709.0,15604309.0,60514.0,4556719.0,37813.0,-423062.00,19836293.0,--,--,--,19836293.0,0.0,38800000.0,13.04,,,
2013,03,6005,群益證,65478650.0,14767919.0,80246569.0,47467065.0,2445770.0,49912835.0,23690730.0,2705473.0,3166435.0,-20915.0,0.00,29541723.0,--,--,792011.00,30333734.0,0.0,0.0,12.47,,,
2013,04,2855,統一證券,54044709.0,4738267.0,58782976.0,36354161.0,22612.0,36376773.0,13231191.0,256116.0,8877942.0,31.0,--,22365280.0,--,--,40923.00,22406203.0,0.0,0.0,16.9,,,
2013,04,2856,元富證券,70408259.0,5814006.0,76222265.0,55637255.0,415120.0,56052375.0,15604309.0,60514.0,4856005.0,72124.0,-423062.00,20169890.0,--,--,--,20169890.0,0.0,38800000.0,13.26,,,
2013,04,6005,群益證,63088970.0,14848081.0,77937051.0,44403427.0,2666431.0,47069858.0,23690730.0,2705473.0,3658236.0,-6922.0,0.00,30047517.0,--,--,819676.00,30867193.0,0.0,0.0,12.68,,,
2014,01,2855,統一證券,63669639.0,4836781.0,68506420.0,45589618.0,32937.0,45622555.0,13231191.0,256116.0,9341234.0,13581.0,--,22842122.0,--,--,41743.0,22883865.0,0.0,0.0,17.26,,0.0,
2014,01,2856,元富證券,74395309.0,5809915.0,80205224.0,59276964.0,414880.0,59691844.0,15604309.0,60514.0,5178544.0,93075.0,-423062.00,20513380.0,--,--,0.0,20513380.0,0.0,38800000.0,13.48,,0.0,
2014,01,6005,群益證,66999505.0,14582785.0,81582290.0,47659217.0,2529394.0,50188611.0,23690730.0,2705473.0,4137032.0,24064.0,0.00,30557299.0,--,--,836380.0,31393679.0,0.0,0.0,12.9,,0.0,
2014,02,2855,統一證券,61298923.0,4803569.0,66102492.0,43598165.0,26128.0,43624293.0,13231191.0,256116.0,8977689.0,-26910.0,--,22438086.0,--,--,40113.00,22478199.0,0.0,0.0,16.96,,0.0,
2014,02,2856,元富證券,79641777.0,5607596.0,85249373.0,64439062.0,91322.0,64530384.0,15786905.0,60514.0,5091565.0,203067.0,-423062.00,20718989.0,--,--,--,20718989.0,0.0,38800000.0,13.62,,0.0,
2014,02,6005,群益證,68077586.0,14559551.0,82637137.0,49474967.0,2069904.0,51544871.0,23690730.0,2711903.0,3680352.0,-9358.0,0.00,30073627.0,--,--,1018639.00,31092266.0,0.0,0.0,12.69,,0.0,
2014,03,2855,統一證券,59781829.0,4910551.0,64692380.0,42008314.0,24525.0,42032839.0,13231191.0,256116.0,9078576.0,52477.0,--,22618360.0,--,--,41181.0,22659541.0,0.0,0.0,17.09,,0.0,
2014,03,2856,元富證券,76769032.0,5880725.0,82649757.0,61265353.0,426599.0,61691952.0,15786905.0,60514.0,5193883.0,339565.0,-423062.00,20957805.0,--,--,0.0,20957805.0,0.0,38800000.0,13.61,,0.0,
2014,03,6005,群益證,71916725.0,14329304.0,86246029.0,52676586.0,1924701.0,54601287.0,23690730.0,2711903.0,4141993.0,24164.0,0.00,30568790.0,--,--,1075952.0,31644742.0,0.0,0.0,12.9,,0.0,
2014,04,2855,統一證券,59972212.0,4975334.0,64947546.0,41811986.0,60084.0,41872070.0,13231191.0,256116.0,9431778.0,113539.0,--,23032624.0,--,--,42852.00,23075476.0,0.0,0.0,17.41,,0.0,
2014,04,2856,元富證券,74714912.0,5979417.0,80694329.0,58721589.0,536087.0,59257676.0,15398905.0,25452.0,5634959.0,377337.0,0.00,21436653.0,--,--,--,21436653.0,0.0,0.0,13.92,,0.0,
2014,04,6005,群益證,69531529.0,14156814.0,83688343.0,49996260.0,1489963.0,51486223.0,23690730.0,2711760.0,4598641.0,97349.0,0.00,31098480.0,--,--,1103640.00,32202120.0,0.0,0.0,13.13,,0.0,
2015,01,2855,統一證券,81910404.0,4792672.0,86703076.0,63018277.0,74932.0,63093209.0,13231191.0,256116.0,9989232.0,89084.0,--,23565623.0,--,--,44244.0,23609867.0,0.0,0.0,17.81,,0.0,
2015,01,2856,元富證券,78757166.0,5650533.0,84407699.0,62482251.0,346867.0,62829118.0,15398905.0,25452.0,5983071.0,171153.0,0.00,21578581.0,--,--,0.0,21578581.0,0.0,0.0,14.01,,0.0,
2015,01,6005,群益證,80971278.0,14015816.0,94987094.0,59324510.0,2883853.0,62208363.0,23690730.0,2711760.0,5166048.0,80940.0,0.00,31649478.0,--,--,1129253.0,32778731.0,0.0,0.0,13.36,,0.0,
2015,02,2855,統一證券,74571063.0,4788498.0,79359561.0,56421014.0,44759.0,56465773.0,13231191.0,256116.0,9308355.0,55348.0,--,22851010.0,--,--,42778.0,22893788.0,0.0,0.0,17.27,,--,
2015,02,2856,元富證券,77410882.0,5692274.0,83103156.0,61704831.0,525974.0,62230805.0,15706883.0,25452.0,5103400.0,36616.0,0.00,20872351.0,--,--,0.0,20872351.0,0.0,0.0,13.55,,0.00,
2015,02,6005,群益證,80435909.0,13889537.0,94325446.0,61043185.0,1605086.0,62648271.0,23690730.0,2713221.0,4102572.0,53722.0,0.00,30560245.0,--,--,1116930.0,31677175.0,0.0,0.0,12.9,,0.00,
2015,03,2855,統一證券,61675983.0,4908902.0,66584885.0,43799431.0,41607.0,43841038.0,13231191.0,256116.0,9024104.0,209861.0,-22152,22699120.0,--,--,44727,22743847.0,0.0,1740000.0,17.18,,0,
2015,03,2856,元富證券,77483001.0,6110151.0,83593152.0,61741224.0,788961.0,62530185.0,15706883.0,25452.0,5248401.0,127305.0,-45074,21062967.0,--,--,0,21062967.0,0.0,5200000.0,13.45,,0,
2015,03,6005,群益證,80305704.0,14076217.0,94381921.0,60915598.0,1639286.0,62554884.0,23690730.0,2713221.0,4084193.0,173461.0,-38960,30622645.0,--,--,1204392,31827037.0,0.0,4438000.0,12.95,,0,
2015,04,2855,統一證券,65185471.0,4904062.0,70089533.0,47265147.0,60335.0,47325482.0,13231191.0,256116.0,9307717.0,201014.0,-278026,22718012.0,--,--,46039,22764051.0,0.0,19323000.0,17.42,,--,
2015,04,2856,元富證券,93760768.0,5816860.0,99577628.0,76825819.0,830233.0,77656052.0,15706883.0,25452.0,6147351.0,338746.0,-296856,21921576.0,--,--,--,21921576.0,0.0,32930000.0,14.26,,0,
2015,04,6005,群益證,79591301.0,13719890.0,93311191.0,59982074.0,1801450.0,61783524.0,23190730.0,2742807.0,4697083.0,129135.0,-469155,30290600.0,--,--,1237067,31527667.0,0.0,47485000.0,13.33,,0,
