,Unnamed: 0,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師.1,核閱或查核日期,核閱或查核報告類型
0,0,1101,台泥,致遠會計師事務所,陳慕賢,楊智惠,2005/03/31,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
1,1,1102,亞泥,勤業眾信會計師事務所,范有偉,郭俐雯,2005/03/08,"??????????""無保留意見 """
2,2,1103,嘉泥,勤業眾信會計師事務所,涂三遷,方小萍,2005/03/18,"??????????""無保留意見 """
3,3,1104,環球水泥,資誠會計師事務所,王嘉瑜,陳美姿,2005/03/21,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
4,4,1108,幸福水泥,勤業眾信 會 計 師 事 務 所,吳恩銘(YYY代表會計師,陳招美(YYY代表會計師,2005/03/25,"??????????""無保留意見 """
5,5,1109,信大水泥,致遠會計師事務所,李秀玲,鄧泗堂,2005/02/25,"??????????""無保留意見 """
6,6,1110,東泥,建興聯合會計師事務所,劉吉雄,蔡淑滿,2005/03/05,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
7,7,1201,味全公司,資誠會計師事務所,陳永清,吳漢期,2005/04/08,"????????????????""修正式無保留意見--欲強調某一事項"""
8,8,1203,味王公司,大中國際聯合會計師事務所,溫明郁,許伯彥,2005/04/01,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
9,9,1210,大成長城,安侯建業會計師事務所,鍾丹丹,陳眉芳,2005/04/18,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
10,10,1213,大飲,致 遠 會 計 師 事 務 所,何 志 儒 (YYY代表會?,阮 呂 艷 (YYY代表會?,2005/02/28,"??????????""無保留意見 """
11,11,1215,卜蜂企業,資誠會計師事務所,賴春田,王輝賢,2005/04/22,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
12,12,1216,統一,資誠會計師事務所,蔡金拋,劉子猛,2005/03/29,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
13,13,1217,愛之味,建興聯合會計師事務所,劉吉雄,黃有慶,2005/03/28,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
14,14,1218,泰山企業,安侯建業聯合會計師事務所,簡蒂暖,吳昭德,2004/03/15,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
15,15,1219,福壽實業,群智聯合會計師事務所,陳北緯,呂亞哲,2005/02/04,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
16,16,1220,台榮,立本台灣聯合會計師事務所,柯俊輝,柯俊榮,2005/02/19,"??????????""無保留意見 """
17,17,1225,福懋油,勤業眾信會計師事務所,吳恩銘,謝建新,2005/03/04,"????????????????""修正式無保留意見--欲強調某一事項"""
18,18,1227,佳格,勤業眾信會計師事務所,郭文吉,何瑞軒,2005/08/16,"??????????""無保留意見 """
19,19,1229,聯華實業,安侯建業會計師事務所,許淑敏,江忠儀,2005/03/30,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
20,20,1231,聯華食品,勤業眾信會計師事務所,張清福,陳清祥,2005/02/21,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
21,21,1232,大統益,資誠會計師事務所,李明憲,林姿妤,2005/03/17,"??????????""無保留意見 """
22,22,1233,天仁,致遠 聯 合 會 計 師 事 務 所,梁再添 (YYY代表會計?,陳添益 (YYY代表會計?,2005/02/17,"??????????""無保留意見 """
23,23,1234,黑松,勤業眾信  會 計 師 事 務 所,陳慧銘,游素環,2005/03/07,"??????????""無保留意見 """
24,24,1235,興泰,第一聯合會計師事務所,張福郎,甘有財,2005/03/25,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
25,25,1236,宏亞食品,致遠會計師事務所,徐榮煌,徐憶芳,2005/01/31,"??????????""無保留意見 """
26,26,1301,台塑,安侯建業會計師事務所,吳秋華,寇惠植,2005/02/25,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
27,27,1303,南亞塑膠,安候建業會計師事務所,吳秋華,李慈慧,2005/04/12,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
28,28,1304,台聚,勤 業 眾 信 會 計 師 事 務 所,韋 亮 發,范 有 偉,2005/03/03,"??????????""無保留意見 """
29,29,1305,華夏,勤 業 眾 信 會 計 師 事 務 所,范有偉,王小蕙,2005/02/22,"??????????""無保留意見 """
30,30,1307,三芳化工,安侯建業聯合會計師事務所,楊博任,陳惠媛,2005/03/08,"??????????""無保留意見 """
31,31,1308,亞聚,勤 業 眾 信 會 計 師 事 務 所,王 小 蕙,范 有 偉,2005/02/24,"??????????""無保留意見 """
32,32,1309,台達化工,勤業眾信會計師事務所,王小蕙,范有偉,2005/02/24,"??????????""無保留意見 """
33,33,1310,台苯,正風聯合會計師事務所,黃國師,周銀來,2005/03/18,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
34,34,1312,國喬石化,第一聯合會計師事務所,蕭英嘉,林志隆,2005/03/30,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
35,35,1313,聯成,勤業眾信會計師事務所,郭文吉,許庭禎,2005/03/25,"??????????""無保留意見 """
36,36,1314,中石化,安侯建業會計師事務所,陳眉芳,鍾丹丹,2005/03/18,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
37,37,1315,達新工業,第一聯合會計師事務所,張福郎,林克武,2005/03/21,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
38,38,1316,上曜,資誠會計師事務所,劉子猛,林姿妤,2005/03/20,"??????????""無保留意見 """
39,39,1319,東陽,致遠會計師事務所,吳健源,游朝堂,2005/03/15,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
40,40,1321,大洋,安侯建業會計師事務所,吳清堅,蔡松棋,2005/03/14,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
41,41,1323,永裕,勤業眾信會計師事務所,黃李松,林卉娟,2005/02/23,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
42,42,1324,地球工業,致遠會計師事務所,佟韻玲,李惠美,2005/02/19,"??????????""無保留意見 """
43,43,1325,恒大,勤業眾信會計師事務所,陳照敏,曾有財,2005/02/18,"??????????""無保留意見 """
44,44,1326,台化,致遠會計師事務所,阮呂豔,何志儒,2005/02/24,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
45,45,1402,遠東新,勤業眾信會計師事務所,游智惠,魏永篤,2005/03/08,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
46,46,1409,新纖,勤業眾信會計師事務所,劉水恩 (YYY代表會計?,王錦燕 (YYY代表會計?,2005/04/16,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
47,47,1410,南染,致遠會計師事務所,何志儒,阮呂艷,2005/01/19,"??????????""無保留意見 """
48,48,1413,宏洲纖維,立本台灣聯合會計師事務所,柯俊輝,陳玉芳,2005/02/26,"??????????""無保留意見 """
49,49,1414,東和,安侯建業會計師事務所,方惠玲,楊博任,2005/02/22,"??????????""無保留意見 """
50,50,1416,廣豐,第 一 聯 合 會 計 師 事 務 所,林志隆,高  佩,2005/04/19,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
51,51,1417,嘉裕,致 遠 會 計 師 事 務 所,賴明陽,徐憶芳,2005/03/11,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
52,52,1418,東華,勤業眾信會計師事務所,黃海悅,林谷同,2005/03/18,"??????????""無保留意見 """
53,53,1419,新紡,勤業眾信會計師事務所,陳慧銘,林義峰,2005/03/04,"??????????""無保留意見 """
54,54,1423,利華羊毛,致遠會計師事務所,戴興鉦,潘愛華,2005/03/05,"??????????""無保留意見 """
55,55,1432,大魯閣,致 遠 會 計 師 事 務 所,蕭翠慧,梁再添,2005/04/12,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
56,56,1434,福懋興業,致遠會計師事務所,何志儒,阮呂艷,2005/02/02,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
57,57,1435,中福國際,勤業眾信會計師事務所,黃廷育會計師,吳恩銘會計師,2006/10/27,"????????????????""修正式無保留意見--欲強調某一事項"""
58,58,1436,華友聯,勤業眾信會計師事務所,卓明信,游智惠,2005/03/16,"??????????""無保留意見 """
59,59,1437,勤益投控,安侯建業會計師事務所,俞安恬,呂莉莉,2005/03/25,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
60,60,1438,裕豐,揚智聯合會計師事務所,胡湘寧,林思寧,2005/01/28,"????????????????""修正式無保留意見--繼續經營假設有疑慮"""
61,61,1439,中和羊毛,致遠會計師事務所,戴興鉦 (YYY代表會計?,潘愛華 (YYY代表會計?,2005/03/31,"??????????""無保留意見 """
