,Unnamed: 0,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師.1,核閱或查核日期,核閱或查核報告類型
0,0,1101,台泥,致遠會計師事務所,李明昱,陳慕賢,2004/04/16,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
1,1,1102,亞泥,勤業眾信會計師事務所,顏漏有,王金山,2004/03/05,"??????????""無保留意見 """
2,2,1103,嘉泥,勤業眾信會計師事務所,方小萍,仲偉,2004/03/18,"????????????????""修正式無保留意見--欲強調某一事項"""
3,3,1104,環球水泥,資誠會計師事務所,王嘉瑜,陳美姿,2004/03/19,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
4,4,1108,幸福水泥,勤業眾信 會 計 師 事 務 所,施景彬(YYY代表會計師,陳招美(YYY代表會計師,2004/03/16,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
5,5,1109,信大水泥,致遠會計師事務所,賴宗羲,李秀玲,2004/02/20,"??????????""無保留意見 """
6,6,1110,東泥,建興聯合會計師事務所,劉吉雄,黃鈴雯,2004/02/24,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
7,7,1201,味全公司,資誠會計師事務所,陳永清,吳郁隆,2004/03/29,"????????????????""修正式無保留意見--欲強調某一事項"""
8,8,1203,味王公司,大中國際聯合會計師事務所,林寬照,李聰明,2003/03/26,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
9,9,1210,大成長城,安侯建業會計師事務所,鍾丹丹,陳眉芳,2004/04/12,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
10,10,1213,大飲,致 遠 會 計 師 事 務 所,黃 學 平 (YYY代表會?,何 志 儒 (YYY代表會?,2004/02/05,"??????????""無保留意見 """
11,11,1215,卜蜂企業,資誠會計師事務所,李燕松,王輝賢,2004/04/12,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
12,12,1216,統一,資誠會計師事務所,李明憲,蔡金拋,2004/03/30,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
13,13,1217,愛之味,建興聯合會計師事務所,劉吉雄,黃有慶,2004/03/08,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
14,14,1218,泰山企業,安侯建業聯合會計師事務所,陳嘉修,吳昭德,2004/03/24,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
15,15,1219,福壽實業,群智聯合會計師事務所,黃春生,方文寶,2004/02/20,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
16,16,1220,台榮,立本台灣聯合會計師事務所,陶鴻文,郭昌華,2004/02/06,"??????????""無保留意見 """
17,17,1225,福懋油,勤業眾信會計師事務所,游智惠,謝建新,2004/02/26,"??????????""無保留意見 """
