,Unnamed: 0,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師.1,核閱或查核日期,核閱或查核報告類型
0,0,1101,台泥,致遠會計師事務所,李明昱,陳慕賢,2003/08/14,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
1,1,1102,亞泥,勤業眾信會計師事務所,李振銘,王金山,2003/08/08,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
2,2,1103,嘉泥,勤業眾信會計師事務所,仲偉,方小萍,2003/08/04,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
3,3,1104,環球水泥,資誠會計師事務所,王嘉瑜,陳美姿,2003/08/10,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
4,4,1108,幸福水泥,勤業眾信會計師事務所,施景彬(YYY代表會計師,陳招美(YYY代表會計師,2003/08/06,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
5,5,1109,信大水泥,致遠會計師事務所,賴宗羲,李秀玲,2003/07/25,"??????????""無保留意見 """
6,6,1110,東泥,建興聯合會計師事務所,蘇炳章,黃鈴雯,2003/08/05,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
7,7,1201,味全公司,資誠會計師事務所,陳永清,吳郁隆,2003/08/25,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
8,8,1203,味王公司,大中國際聯合會計師事務所,林寬照,李聰明,2003/08/13,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
9,9,1210,大成長城,安侯建業會計師事務所,丁玉山,林賢郎,2003/08/15,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
10,10,1213,大飲,致遠會計師事務所,黃 敏 全(YYY代表會計,黃 學 平(YYY代表會計,2003/08/11,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
11,11,1215,卜蜂企業,資誠會計師事務所,賴春田,李燕松,2003/08/22,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
12,12,1216,統一,資誠會計師事務所,李明憲,蔡金拋,2003/08/15,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
13,13,1217,愛之味,建興聯合會計師事務所,蘇炳章,黃鈴雯,2003/08/10,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
14,14,1218,泰山企業,安侯建業會計師事務所,陳嘉修,吳昭德,2003/08/15,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
15,15,1219,福壽實業,群智聯合會計師事務所,黃春生,方文寶,2003/07/31,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
16,16,1220,台榮,立本台灣聯合會計師事務所,柯俊輝,陳玉芳,2003/07/26,"??????????""無保留意見 """
17,17,1225,福懋油,勤業眾信會計師事務所,吳恩銘,謝建新,2003/08/05,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
18,18,1227,佳格,勤業眾信會計師事務所,張銘政,許庭禎,2004/02/17,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
19,19,1229,聯華實業,安侯建業會計師事務所,林賢郎,丁玉山,2003/07/18,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
20,20,1231,聯華食品,勤 業 眾  信  會 計 師 事 務 所,張清福,吳金順,2003/08/07,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
21,21,1232,大統益,資誠會計師事務所,劉子猛,林姿妤,2003/07/28,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
22,22,1233,天仁,致遠 聯 合 會 計 師 事 務 所,鄧泗堂 (YYY代表會計?,蕭翠慧 (YYY代表會計?,2003/08/01,"??????????""無保留意見 """
23,23,1234,黑松,眾 信 聯 合 會 計 師 事 務 所,陳慧銘,林義峰,2003/07/16,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
24,24,1235,興泰,第 一 聯 合 會 計 師 事 務 所,王戊昌,張福郎,2003/07/22,"??????????""無保留意見 """
25,25,1236,宏亞食品,立 本 台 灣 聯 合 會 計 師 事 務 所,賴明陽,鄭戊水,2003/08/01,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
26,26,1301,台塑,安侯建業會計師事務所,劉義吉,吳東和,2003/08/06,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
27,27,1303,南亞塑膠,安侯建業會計師事務所,劉義吉,吳東和,2003/08/25,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
28,28,1304,台聚,勤業會計師事務所,韋亮發,王小蕙,2003/08/14,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
29,29,1305,華夏,勤 業 會 計 師 事 務 所,范有偉,王小蕙,2003/08/08,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
30,30,1307,三芳化工,安侯建業聯合會計師事務所,蘇慈玲,陳國宗,2003/08/01,"??????????""無保留意見 """
31,31,1308,亞聚,勤 業 眾 信 會 計 師 事 務 所,郭 慈 容,范 有 偉,2003/08/12,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
32,32,1309,台達化工,勤業眾信會計師事務所,郭慈容,范有偉,2003/08/10,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
33,33,1310,台苯,正風聯合會計師事務所,周銀來,賴永吉,2003/08/21,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
34,34,1312,國喬石化,第一聯合會計師事務所,林志隆,蕭英嘉,2003/08/11,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
35,35,1313,聯成,勤業眾信會計師事務所,張銘政,郭文吉,2003/07/30,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
36,36,1314,中石化,安侯建業會計師事務所,丁玉山,陳富煒,2003/03/14,"????????????????""修正式無保留意見--繼續經營假設有疑慮"""
37,37,1315,達新工業,第一聯合會計師事務所,王戊昌,張福郎,2003/08/20,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
38,38,1316,上曜,致遠會計師事務所,侯榮顯,蔡清典,2003/08/04,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
39,39,1319,東陽,致遠會計師事務所,吳健源,蔡清典,2003/08/20,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
40,40,1321,大洋,眾信聯合會計師事務所,吳清堅,蔡松棋,2003/07/24,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
41,41,1323,永裕,勤業眾信,吳秋燕,王茂霖,2003/08/01,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
42,42,1324,地球工業,致遠會計師事務所,楊文安,梁再添,2003/07/28,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
43,43,1325,恒大,勤業眾信會計師事務所,陳照敏,劉江抱,2003/07/25,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
44,44,1326,台化,致遠會計師事務所,黃敏全,黃學平,2003/08/15,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
45,45,1402,遠東新,勤業眾信會計師事務所,游智惠,魏永篤,2003/08/08,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
46,46,1409,新纖,勤業眾信會計師事務所,劉水恩 (YYY代表會計?,蔡宏祥 (YYY代表會計?,2003/08/22,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
47,47,1410,南染,致遠會計師事務所,黃敏全,黃學平,2003/07/21,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
48,48,1413,宏洲纖維,立本台灣聯合會計師事務所,柯俊輝,陶鴻文,2003/08/19,"??????????""無保留意見 """
49,49,1414,東和,安侯建業會計師事務所,蘇慈玲,陳國忠,2003/07/31,"??????????""無保留意見 """
50,50,1416,廣豐,第 一 聯 合 會 計 師 事 務 所,林志隆 (YYY代表會計?,金昌民 (YYY代表會計?,2003/08/18,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
51,51,1417,嘉裕,立本台灣聯合會計師事務所,徐榮煌,鄭戊水,2003/08/18,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
52,52,1418,東華,勤業眾信會計師事務所,黃海悅,池瑞全,2003/08/15,"??????????""無保留意見 """
53,53,1419,新紡,勤業眾信會計師事務所,林義峰,池瑞全,2003/07/21,"??????????""無保留意見 """
54,54,1423,利華羊毛,致遠會計師事務所,林榮裕,戴興鉦,2003/08/03,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
55,55,1432,大魯閣,致 遠 會 計 師 事 務 所,鄧泗堂,蕭翠慧,2003/08/20,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
56,56,1434,福懋興業,致遠會計師事務所,黃敏全,黃學平,2003/08/01,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
57,57,1435,中福國際,勤業眾信會計師事務所,黃廷育會計師,魏永篤會計師,2003/07/25,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
58,58,1436,華友聯,勤業眾信會計師事務所,卓明信,王金山,2003/08/13,"????????????????""修正式無保留意見--會計原則變動"""
59,59,1437,勤益投控,安侯建業會計師事務所,林秀玉,關春修,2003/08/18,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
60,60,1438,裕豐,揚智聯合會計師事務所,胡湘寧,林思寧,2003/08/08,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
