,Unnamed: 0,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師.1,核閱或查核日期,核閱或查核報告類型
0,0,1101,台泥,勤業眾信會計師事務所,郭政弘,邵志明,2009/04/08,"????????????????""修正式無保留意見--會計原則變動"""
1,1,1102,亞泥,勤業眾信會計師事務所,戴信維,范有偉,2009/03/04,"????????????????""修正式無保留意見--會計原則變動"""
2,2,1103,嘉泥,勤業眾信會計師事務所,仲  偉,虞成全,2009/03/31,"????????????????""修正式無保留意見--欲強調某一事項"""
3,3,1104,環球水泥,資誠會計師事務所,蕭金木,周筱姿,2009/04/24,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任、會計原則變動"""
4,4,1108,幸福水泥,勤業眾信 會 計 師 事 務 所,謝建新(YYY代表會計師,陳招美(YYY代表會計師,2009/03/20,"??????????""無保留意見 """
5,5,1109,信大水泥,資誠會計師事務所,賴宗羲,周育正,2009/03/20,"????????????????""修正式無保留意見--會計原則變動"""
6,6,1110,東泥,建興聯合會計師事務所,蔡淑滿,劉奕宏,2009/04/07,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
7,7,1201,味全公司,資誠會計師事務所,陳永清,王照明,2009/03/26,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任、欲強調某一事項"""
8,8,1203,味王公司,大中國際聯合會計師事務所,林寬照,李聰明,2009/04/20,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任、會計原則變動"""
9,9,1210,大成長城,安侯建業會計師事務所,陳眉芳,陳富煒,2009/04/22,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
10,10,1213,大飲,資誠會計師事務所,吳漢期,李淑靜,2009/04/07,"????????????????""修正式無保留意見--前期由其他會計師查核"""
11,11,1215,卜蜂企業,資誠會計師事務所,翁世榮,吳郁隆,2009/04/08,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
12,12,1216,統一,資誠會計師事務所,林姿妤,王偉臣,2009/04/21,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任、會計原則變動"""
13,13,1217,愛之味,建興聯合會計師事務所,劉奕宏,柯清泉,2009/04/24,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
14,14,1218,泰山企業,安侯建業會計師事務所,陳嘉修,張淑瑩,2009/04/17,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
15,15,1219,福壽實業,群智聯合會計師事務所,黃奕睿,陳郁惠,2009/02/27,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
16,16,1220,台榮,立本台灣聯合會計師事務所,陳玉芳,柯俊榮,2009/03/11,"????????????????""修正式無保留意見--會計原則變動、欲強調某一事項"""
17,17,1225,福懋油,勤業眾信會計師事務所,謝建新,陳招美,2009/03/13,"??????????""無保留意見 """
18,18,1227,佳格,勤業眾信會計師事務所,許庭禎,郭文吉,2009/02/20,"????????????????""修正式無保留意見--會計原則變動"""
19,19,1229,聯華實業,安侯建業會計師事務所,楊柳鋒,連淑凌,2009/04/15,"??????????""無保留意見 """
20,20,1231,聯華食品,勤業眾信會計師事務所,張清福,蔡振財,2009/03/13,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
21,21,1232,大統益,資誠會計師事務所,林姿妤,林億彰,2009/03/02,"????????????????""修正式無保留意見--會計原則變動"""
22,22,1233,天仁,安 永 會 計 師 事 務 所,蕭翠慧,林麗凰,2009/02/24,"??????????""無保留意見 """
23,23,1234,黑松,勤 業 眾 信 會 計 師 事 務 所,林義峰,陳慧銘,2009/02/19,"??????????""無保留意見 """
24,24,1235,興泰,第一聯合會計師事務所,王戊昌,甘有財,2009/03/20,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
25,25,1236,宏亞食品,安永會計師事務所,賴明陽,鄭戊水,2009/02/20,"??????????""無保留意見 """
26,26,1301,台塑,安侯建業會計師事務所,李慈慧,吳秋華,2009/03/06,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
27,27,1303,南亞塑膠,安候建業會計師事務所,寇惠植,吳秋華,2009/03/10,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
28,28,1304,台聚,勤業眾信會計師事務所,韋亮發,黃秀椿,2009/03/06,"??????????""無保留意見 """
29,29,1305,華夏,勤 業 眾 信 會 計 師 事 務 所,郭慈容,韋亮發,2009/02/18,"??????????""無保留意見 """
30,30,1307,三芳化工,勤業眾信會計師事務所,吳秋燕,曾光敏,2009/03/05,"????????????????""修正式無保留意見--欲強調某一事項"""
31,31,1308,亞聚,勤 業 眾 信 會 計 師 事 務 所,郭 慈 容,黃 秀 椿,2009/02/23,"??????????""無保留意見 """
32,32,1309,台達化工,勤業眾信會計師事務所,黃秀椿,韋亮發,2009/02/25,"??????????""無保留意見 """
33,33,1310,台苯,正風聯合會計師事務所,賴永吉,曾國富,2009/03/18,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
34,34,1312,國喬石化,第一聯合會計師事務所,蕭英嘉,張福郎,2009/03/27,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任、會計原則變動"""
35,35,1313,聯成,勤業眾信會計師事務所,郭文吉,許庭禎,2009/04/15,"??????????""無保留意見 """
36,36,1314,中石化,安侯建業會計師事務所,陳富煒,林琬琬,2009/03/20,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
37,37,1315,達新工業,第一聯合會計師事務所,王戊昌,甘有財,2009/04/01,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
38,38,1316,上曜,資誠會計師事務所,李明憲,林姿妤,2009/03/25,"??????????""無保留意見 """
39,39,1319,東陽,安永會計師事務所,黃世杰,洪茂益,2009/03/11,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
40,40,1321,大洋,安侯建業會計師事務所,呂觀文,蔡松棋,2009/03/10,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
41,41,1323,永裕,勤業眾信會計師事務所,黃李松,李季珍,2009/03/17,"????????????????""修正式無保留意見--會計原則變動"""
42,42,1324,地球工業,安永會計師事務所,佟韻玲,楊智惠,2009/02/27,"????????????????""修正式無保留意見--會計原則變動"""
43,43,1325,恒大,勤 業 眾 信 會 計 師 事 務 所,張 瑞 娜,陳 照 敏,2009/02/27,"??????????""無保留意見 """
44,44,1326,台化,資誠會計師事務所,吳漢期,李淑靜,2009/03/16,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
45,45,1402,遠東新,勤業眾信會計師事務所,施景彬,吳恩銘,2009/03/04,"????????????????""修正式無保留意見--會計原則變動、欲強調某一事項"""
46,46,1409,新纖,勤業眾信會計師事務所,王錦燕 (YYY代表會計?,陳慧銘 (YYY代表會計?,2009/03/16,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
47,47,1410,南染,資誠會計師事務所,吳漢期,周哲毅,2009/03/20,"????????????????""修正式無保留意見--會計原則變動"""
48,48,1413,宏洲纖維,立本台灣聯合會計師事務所,柯俊輝,柯俊榮,2009/02/27,"????????????????""修正式無保留意見--會計原則變動"""
49,49,1414,東和,安侯建業會計師事務所,陳國宗,許振隆,2008/02/20,"??????????""無保留意見 """
50,50,1416,廣豐,第一聯合會計師事務所,邱繼盛,張福郎,2009/03/30,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
51,51,1417,嘉裕,勤業眾信會計師事務所,郭政弘,許秀明,2009/03/04,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任、會計原則變動"""
52,52,1418,東華,勤業眾信會計師事務所,林谷同,陳杰忠,2009/03/24,"??????????""無保留意見 """
53,53,1419,新紡,勤業眾信會計師事務所,陳慧銘,林宜慧,2009/03/04,"??????????""無保留意見 """
54,54,1423,利華羊毛,安永會計師事務所,賴明陽,蕭翠慧,2009/02/13,"??????????""無保留意見 """
55,55,1432,大魯閣,資誠會計師事務所,周筱姿,蕭金木,2009/04/24,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任、繼續經營假設有疑慮、欲強調某一事項"""
56,56,1434,福懋興業,資誠會計師事務所,吳漢期,李淑靜,2009/03/16,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任、前期由其他會計師查核"""
57,57,1435,中福國際,勤業眾信會計師事務所,陳照敏會計師,劉江抱會計師,2009/04/24,"??????????""無保留意見 """
58,58,1436,華友聯,勤業眾信會計師事務所,吳恩銘,施景彬,2009/01/21,"??????????""無保留意見 """
59,59,1437,勤益投控,安侯建業會計師事務所,關春修,俞安恬,2009/03/26,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
60,60,1438,裕豐,安泰聯合會計師事務所,萬文慧,陳兆宏,2009/03/16,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任、繼續經營假設有疑慮"""
61,61,1439,中和羊毛,安永會計師事務所,傅文芳 (YYY代表會計?,黃建澤 (YYY代表會計?,2008/08/06,"??????????""無保留意見 """
62,62,1440,南紡,資誠會計師事務所,林姿妤,林億彰,2009/03/10,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
63,63,1441,大東紡織,安侯建業會計師事務所,吳秋華,寇惠植,2009/03/27,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
64,64,1442,名軒,惠眾會計師事務所,盧聯生,項文婷,2009/03/07,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
65,65,1443,立益紡織,第一聯合會計師事務所,邱繼盛,張福郎,2009/03/12,"????????????????""修正式無保留意見--會計原則變動"""
66,66,1444,力麗,勤業眾信會計師事務所,洪國田,盧啟昌,2009/04/20,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
67,67,1445,大宇紡織,勤業眾信會計師事務所,韋亮發,王小蕙,2009/02/10,"????????????????""修正式無保留意見--會計原則變動"""
68,68,1446,宏和,安 永 會 計 師 事 務 所,黃世杰,陳政初,2009/03/05,"??????????""無保留意見 """
69,69,1447,力鵬,勤業眾信會計師事務所,洪國田,盧啟昌,2009/04/17,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
70,70,1449,佳和實業,安侯建業會計師事務所,許振隆,張嘉信,2009/04/20,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
71,71,1451,年興紡織,勤業眾信會計師事務所,卓明信,吳恩銘,2009/02/23,"????????????????""修正式無保留意見--會計原則變動"""
72,72,1452,宏益,立本台灣聯合會計師事務所,陳玉芳 (YYY代表會計?,柯俊榮 (YYY代表會計?,2009/01/23,"????????????????""修正式無保留意見--欲強調某一事項"""
73,73,1453,大將,勤業眾信會計師事務所,賴國旺,鄧治萍,2009/03/10,"??????????""無保留意見 """
74,74,1454,台富,勤業眾信會計師事務所,游素環,林義峰,2009/03/01,"??????????""無保留意見 """
75,75,1455,集盛,第 一 聯 合 會 計 師 事 務 所,蕭英嘉,張福郎,2009/02/27,"????????????????""修正式無保留意見--會計原則變動"""
76,76,1456,怡華,惠眾廣益 聯 合 會 計 師 事 務 所,盧聯生(YYY代表會計師,項文婷(YYY代表會計師,2009/04/10,"??????????""無保留意見 """
77,77,1457,宜進,安侯建業會計師事務所,曾國禓,賴麗真,2009/04/24,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
78,78,1459,聯發紡織,勤業眾信會計師事務所,黃  海  悅,林  谷  同,2009/03/30,"????????????????""修正式無保留意見--會計原則變動"""
79,79,1460,宏遠,勤業眾信會計師事務所,郭麗園,施景彬,2009/02/25,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
80,80,1463,強盛染整,安侯建業會計師事務所,魏忠華,陳振乾,2009/03/23,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
81,81,1464,得力實業,勤 業 眾 信 會 計 師 事 務 所,黃李松,龔俊吉,2009/03/12,"??????????""無保留意見 """
82,82,1465,偉全實業,立 本 台 灣 聯 合 會 計 師 事 務 所,劉克宜,許坤錫,2008/03/10,"????????????????""修正式無保留意見--會計原則變動"""
83,83,1466,聚隆,建智聯合會計師事務所,紀敏滄,陳靜宜,2009/02/27,"??????????""無保留意見 """
84,84,1467,南緯實業,安侯建業會計師事務所,簡蒂暖,吳昭德,2009/04/10,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
85,85,1468,昶和纖維,勤業眾信會計師事務所,許庭禎,何瑞軒,2009/03/25,"??????????""無保留意見 """
86,86,1469,理隆纖維,資誠會計師事務所,蔡金拋,王照明,2009/03/23,"??????????""無保留意見 """
87,87,1470,大統染,勤業眾信會計師事務所,陳杰忠,林谷同,2009/03/17,"??????????""無保留意見 """
