"公司代號","公司簡稱","簽證會計師事務所名稱","簽證會計師","簽證會計師","核閱或查核日期","核閱或查核報告類型"
"1101","台泥","勤業眾信會計師事務所","郭政弘","魏永篤","2006/04/20","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"1102","亞泥","勤業眾信會計師事務所","范有偉","郭俐雯","2006/04/25","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"1103","嘉泥","勤業眾信會計師事務所","涂三遷","方小萍","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1104","環球水泥","資誠會計師事務所","陳美姿","張明輝","2006/04/28","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1108","幸福水泥","勤業眾信 會 計 師 事 務 所","吳恩銘(YYY代表會計師","施景彬(YYY代表會計師","2006/04/20","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"1109","信大水泥","致遠會計師事務所","賴宗羲","李秀玲","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1110","東泥","建興聯合會計師事務所","劉吉雄","蔡淑滿","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1201","味全公司","資誠會計師事務所","吳郁隆","吳漢期","2006/04/28","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1203","味王公司","大中國際聯合會計師事務所","林寬照","溫明郁","2006/04/26","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"1210","大成長城","安侯建業會計師事務所","鍾丹丹","陳眉芳","2006/04/28","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1213","大飲","致 遠 會 計 師 事 務 所","黃 敏 全 (YYY代表會?","阮 呂 艷 (YYY代表會?","2006/04/19","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1215","卜蜂企業","資誠會計師事務所","李燕松","王輝賢","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1216","統一","資誠會計師事務所","李明憲","劉子猛","2006/04/27","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1217","愛之味","建興聯合會計師事務所","劉吉雄","黃有慶","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1218","泰山企業","安侯建業會計師事務所","簡蒂暖","林瞳","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1219","福壽實業","群智聯合會計師事務所","黃春生","陳郁惠","2006/04/19","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1220","台榮","立本台灣聯合會計師事務所","柯俊輝","柯俊榮","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1225","福懋油","勤業眾信會計師事務所","謝建新","吳恩銘","2006/04/18","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"1227","佳格","勤業眾信會計師事務所","張銘政","郭文吉","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1229","聯華實業","安侯建業會計師事務所","許淑敏","江忠儀","2006/04/19","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1231","聯華食品","勤 業 眾 信 會 計 師 事 務 所","張清福","陳清祥","2006/04/17","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1232","大統益","資誠會計師事務所","李明憲","劉子猛","2006/04/20","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1233","天仁","致遠 聯 合 會 計 師 事 務 所","蕭翠慧 (YYY代表會計?","鄧泗堂 (YYY代表會計?","2006/04/14","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1234","黑松","勤業眾信會計師事務所","林義峰","游素環","2006/04/14","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1235","興泰","第一聯合會計師事務所","張福郎","王戊昌","2006/04/20","???????"???????"保留式核閱報告--適用新公報"
"1236","宏亞食品","致遠會計師事務所","徐榮煌","徐憶芳","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"


"1301","台塑","安侯建業會計師事務所","吳秋華","寇惠植","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1303","南亞塑膠","安侯建業會計師事務所","吳秋華","李慈慧","2006/04/27","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1304","台聚","勤業眾信會計師事務所","韋亮發","王小蕙","2006/04/27","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"1305","華夏","勤 業 眾 信 會 計 師 事 務 所","黃秀椿","郭慈容","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1307","三芳化工","安侯建業會計師事務所","楊博任","陳惠媛","2006/04/24","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1308","亞聚","勤 業 眾 信 會 計 師 事 務 所","王 小 蕙","黃 秀 椿","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1309","台達化工","勤業眾信會計師事務所","王小蕙","韋亮發","2006/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1310","台苯","正風聯合會計師事務所","周銀來","丁鴻勛","2012/01/02","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益、其他"
"1312","國喬石化","第一聯合會計師事務所","蕭英嘉","林克武","2005/04/25","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1313","聯成","勤業眾信會計師事務所","張銘政","許庭禎","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1314","中石化","安侯建業會計師事務所","陳眉芳","鍾丹丹","2006/04/26","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1315","達新工業","第一聯合會計師事務所","林克武","王戊昌","2006/04/21","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1316","上曜","資誠會計師事務所","李明憲","劉子猛","2006/04/25","???????"???????"保留式核閱報告--適用新公報、依被投資公司未經會計師查核報告認列投資損益"
"1319","東陽","致遠會計師事務所","吳健源","蔡清典","2006/04/18","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
"1321","大洋","安侯建業會計師事務所","吳清堅","劉(木百)松","2006/04/17","???????"???????"保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"
