,Unnamed: 0,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師.1,核閱或查核日期,核閱或查核報告類型
0,0,1101,台泥,勤業眾信聯合會計師事務所,邵志明,郭政弘,2011/03/25,"??????????""無保留意見 """
1,1,1102,亞泥,勤業眾信聯合會計師事務所,戴信維,范有偉,2011/03/01,"??????????""無保留意見 """
2,2,1103,嘉泥,勤業眾信聯合會計師事務所,方小萍,仲偉,2011/03/29,"??????????""無保留意見 """
3,3,1104,環球水泥,勤業眾信聯合會計師事務所,李季珍,龔俊吉,2011/03/31,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任、前期由其他會計師查核"""
4,4,1108,幸福水泥,勤業眾信聯合會計師事務所,謝建新,陳招美,2011/03/15,"??????????""無保留意見 """
5,5,1109,信大水泥,資誠聯合會計師事務所,李秀玲,馮敏娟,2011/03/18,"????????????????""修正式無保留意見--會計原則變動"""
6,6,1110,東泥,建興聯合會計師事務所,黃鈴雯,劉奕宏,2011/03/10,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
7,7,1201,味全公司,資誠聯合會計師事務所,吳郁隆,王照明,2011/03/29,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
8,8,1203,味王公司,大中國際聯合會計師事務所,溫明郁,李聰明,2011/04/26,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
9,9,1210,大成長城,安侯建業會計師事務所,陳富煒,鍾丹丹,2011/04/10,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
10,10,1213,大飲,資誠聯合會計師事務所,蕭金木,吳漢期,2011/04/06,"??????????""無保留意見 """
11,11,1215,卜蜂企業,資誠聯合會計師事務所,王輝賢,翁世榮,2011/03/18,"??????????""無保留意見 """
12,12,1216,統一,資誠聯合會計師事務所,劉子猛,林姿妤,2011/03/31,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
13,13,1217,愛之味,建興聯合會計師事務所,劉奕宏,蔡淑滿,2011/03/10,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
14,14,1218,泰山企業,安侯建業聯合會計師事務所,陳嘉修,張淑瑩,2011/03/31,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
15,15,1219,福壽實業,群智聯合會計師事務所,呂松裕,孫慶國,2011/02/27,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
16,16,1220,台榮,立本台灣聯 合 會 計 師 事 務 所,柯俊輝,陳玉芳,2011/03/10,"??????????""無保留意見 """
17,17,1225,福懋油,勤業眾信聯合會計師事務所,吳恩銘,陳招美,2011/03/03,"??????????""無保留意見 """
18,18,1227,佳格,勤業眾信聯合會計師事務所,郭文吉,廖如陽,2011/02/18,"??????????""無保留意見 """
19,19,1229,聯華實業,安侯建業聯合會計師事務所,楊柳鋒,連淑凌,2011/04/12,"??????????""無保留意見 """
20,20,1231,聯華食品,勤業眾信聯合會計師事務所,張清福,蔡振財,2011/02/25,"??????????""無保留意見 """
21,21,1232,大統益,資誠聯合會計師事務所,劉子猛,林姿妤,2011/03/15,"??????????""無保留意見 """
22,22,1233,天仁,安永聯合會計師事務所,蕭翠慧,徐榮煌,2011/02/25,"??????????""無保留意見 """
23,23,1234,黑松,勤業眾信聯合會計師事務所,陳慧銘,林宜慧,2011/02/17,"??????????""無保留意見 """
24,24,1235,興泰,立一聯合會計師事務所,王世坤,楊玉貞,2011/03/14,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
25,25,1236,宏亞食品,安永聯合會計師事務所,鄭戊水,黃建澤,2011/02/21,"??????????""無保留意見 """
26,26,1301,台塑,安侯建業聯合會計師事務所,吳秋華,李慈慧,2011/03/11,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
27,27,1303,南亞塑膠,安侯建業聯合會計師事務所,吳秋華,寇惠植,2011/03/09,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
28,28,1304,台聚,勤業眾信聯合會計師事務所,韋亮發,黃秀椿,2011/03/07,"??????????""無保留意見 """
29,29,1305,華夏,勤業眾信聯合會計師事務所,黃秀椿,韋亮發,2011/03/01,"??????????""無保留意見 """
30,30,1307,三芳化工,勤業眾信聯合會計師事務所,吳秋燕,曾光敏,2011/02/22,"??????????""無保留意見 """
31,31,1308,亞聚,勤業眾信聯合會計師事務所,郭慈容,黃秀椿,2011/03/03,"??????????""無保留意見 """
32,32,1309,台達化工,勤業眾信聯合會計師事務所,黃秀椿,韋亮發,2011/03/03,"??????????""無保留意見 """
33,33,1310,台苯,正風聯合會計師事務所,周銀來,曾國富,2012/01/02,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任、欲強調某一事項"""
34,34,1312,國喬石化,第一聯合會計師事務所,蕭英嘉,張福郎,2011/03/10,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
35,35,1313,聯成,勤業眾信聯合會計師事務所,郭文吉,許庭禎,2011/04/06,"??????????""無保留意見 """
36,36,1314,中石化,安侯建業聯合會計師事務所,陳眉芳,陳富煒,2011/03/17,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
37,37,1315,達新工業,第一聯合會計師事務所,張福郎,邱桂鈴,2011/04/11,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
38,38,1316,上曜,資誠聯合會計師事務所,劉子猛,林姿妤,2011/03/15,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
39,39,1319,東陽,安永聯合會計師事務所,黃世杰,洪茂益,2011/03/25,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
40,40,1321,大洋,安侯建業聯合會計師事務所,蔡松棋,呂觀文,2011/03/22,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
41,41,1323,永裕,勤業眾信聯合會計師事務所,李季珍,廖鴻儒,2011/03/08,"??????????""無保留意見 """
42,42,1324,地球工業,安永聯合會計師事務所,佟韻玲,楊智惠,2011/03/20,"??????????""無保留意見 """
43,43,1325,恒大,勤業眾信聯合會計師事務所,張瑞娜,陳照敏,2011/03/01,"??????????""無保留意見 """
44,44,1326,台化,資誠聯合會計師事務所,吳漢期,高文宏,2011/03/18,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任、欲強調某一事項"""
45,45,1339,昭輝,勤業眾信聯合會計師事務所,呂惠民,吳麗冬,2011/01/31,"??????????""無保留意見 """
46,46,1402,遠東新,勤業眾信聯合會計師事務所,施景彬,黃樹傑,2011/03/01,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任、欲強調某一事項"""
47,47,1409,新纖,勤業眾信聯合會計師事務所,王錦燕,王自軍,2011/03/18,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
48,48,1410,南染,資誠聯合會計師事務所,阮呂曼玉,李運鞭,2011/03/04,"????????????????""修正式無保留意見--會計原則變動"""
49,49,1413,宏洲纖維,立本台灣聯合會計師事務所,陳玉芳,柯俊榮,2011/03/24,"??????????""無保留意見 """
50,50,1414,東和,安侯建業聯合會計師事務所,陳國宗,許振隆,2011/02/11,"??????????""無保留意見 """
51,51,1416,廣豐,第一聯合會計師事務所,王戊昌,邱繼盛,2011/04/01,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
52,52,1417,嘉裕,勤業眾信聯合會計師事務所,林淑婉,郭政弘,2011/03/02,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
53,53,1418,東華,勤業眾信聯合會計師事務所,林谷同,黃海悅,2011/02/25,"??????????""無保留意見 """
54,54,1419,新紡,勤業眾信聯合會計師事務所,李麗凰,陳慧銘,2011/03/04,"??????????""無保留意見 """
55,55,1423,利華羊毛,安 永 聯 合 會 計 師 事 務 所,蕭 翠 慧,徐 榮 煌,2011/03/04,"??????????""無保留意見 """
56,56,1432,大魯閣,資誠聯合會計師事務所,蕭金木,葉翠苗,2011/04/07,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任、會計原則變動"""
57,57,1434,福懋興業,資誠聯合會計師事務所,吳漢期,高文宏,2011/03/18,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
58,58,1435,中福國際,勤業眾信聯合會計師事務所,陳照敏,劉江抱,2011/03/30,"??????????""無保留意見 """
59,59,1436,華友聯,勤業眾信聯合會計師事務所,吳恩銘,陳招美,2011/02/10,"??????????""無保留意見 """
60,60,1437,勤益投控,安侯建業聯合會計師事務所,關春修,俞安恬,2011/03/18,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
61,61,1438,裕豐,安泰聯合會計師事務所,萬文慧,陳兆宏,2011/03/02,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任、會計原則變動"""
62,62,1439,中和羊毛,安永聯合會計師事務所,傅 文 芳,黃 建 澤,2011/03/16,"??????????""無保留意見 """
63,63,1440,南紡,資誠聯合會計師事務所,李明憲,林姿妤,2011/03/17,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
64,64,1441,大東紡織,安侯建業聯合會計師事務所,李慈慧,吳秋華,2011/04/12,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
65,65,1442,名軒,惠眾聯合會計師事務所,林欣如,卓敏枝,2011/03/30,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
66,66,1443,立益紡織,第一聯合會計師事務所,高  佩,王戊昌,2011/03/07,"??????????""無保留意見 """
67,67,1444,力麗,勤業眾信聯合會計師事務所,洪國田,盧啟昌,2011/03/19,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
68,68,1445,大宇紡織,勤業眾信聯合會計師事務所,韋亮發,王小蕙,2011/03/10,"??????????""無保留意見 """
69,69,1446,宏和,安永聯合會計師事務所,黃世杰,陳政初,2011/03/15,"????????????????""修正式無保留意見--會計原則變動"""
70,70,1447,力鵬,勤業眾信聯合會計師事務所,洪國田,盧啟昌,2011/03/16,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
71,71,1449,佳和實業,安 侯 建 業 聯 合 會 計 師 事 務 所,張　嘉　信,許　振　隆,2011/04/18,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
72,72,1451,年興紡織,勤業眾信聯合會計師事務所,卓明信,施景彬,2011/03/01,"??????????""無保留意見 """
73,73,1452,宏益,立本台灣聯合會計師事務所,柯俊輝,柯俊榮,2011/01/31,"??????????""無保留意見 """
74,74,1453,大將,勤業眾信聯合會計師事務所,賴國旺,何瑞軒,2011/02/25,"??????????""無保留意見 """
75,75,1454,台富,勤業眾信聯合會計師事務所,游素環,龔雙雄,2011/03/15,"??????????""無保留意見 """
76,76,1455,集盛,第一聯合會計師事務所,蕭英嘉,張福郎,2011/02/26,"??????????""無保留意見 """
77,77,1456,怡華,惠眾聯合會計師事務所,項文婷,林欣如,2011/03/21,"??????????""無保留意見 """
78,78,1457,宜進,安侯建業聯合會計師事務所,張淑瑩,曾國禓,2011/04/01,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
79,79,1459,聯發紡織,勤業眾信聯合會計師事務所,黃海悅,林谷同,2011/02/01,"??????????""無保留意見 """
80,80,1460,宏遠,勤業眾信聯合會計師事務所,郭麗園,施景彬,2011/02/25,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任、欲強調某一事項"""
81,81,1463,強盛染整,安侯建業聯合會計師事務所,陳振乾,吳美萍,2011/03/28,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
82,82,1464,得力實業,勤業眾信聯合會計師事務所,廖鴻儒,龔俊吉,2011/03/12,"??????????""無保留意見 """
83,83,1465,偉全實業,立本台灣聯合會計師事務所,劉克宜,張書成,2011/03/18,"??????????""無保留意見 """
84,84,1466,聚隆,建智聯合會計師事務所,紀敏滄,陳靜宜,2011/02/23,"??????????""無保留意見 """
85,85,1467,南緯實業,安侯建業聯合會計師事務所,簡蒂暖,吳昭德,2011/04/14,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
86,86,1468,昶和纖維,勤業眾信聯合會計師事務所,何瑞軒,郭榮芳,2011/03/15,"??????????""無保留意見 """
87,87,1469,理隆纖維,資誠聯合會計師事務所,杜佩玲,蔡金拋,2011/03/23,"??????????""無保留意見 """
88,88,1470,大統染,勤業眾信聯合會計師事務所,林谷同,劉永富,2011/03/01,"??????????""無保留意見 """
89,89,1471,首利,資誠聯合會計師事務所,蕭春鴛,徐永堅,2011/04/07,"??????????""無保留意見 """
90,90,1472,三洋紡,勤業眾信聯合會計師事務所,林谷同,劉永富,2011/03/22,"????????????????""修正式無保留意見--欲強調某一事項"""
91,91,1473,台南企業,資誠聯合會計師事務所,林姿妤,李明憲,2011/03/21,"??????????""無保留意見 """
92,92,1474,弘裕,建智聯合會計師事務所,黃祥穎,陳靜宜,2011/02/18,"??????????""無保留意見 """
93,93,1475,本盟光電,資誠聯合會計師事務所,林鈞堯,蔡金拋,2011/04/19,"??????????""無保留意見 """
94,94,1476,儒鴻,安侯建業聯合會計師事務所,寇惠植,吳秋華,2011/03/17,"??????????""無保留意見 """
95,95,1477,聚陽實業,安侯建業聯合會計師事務所,陳蓓琪,于紀隆,2011/03/29,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
96,96,1503,士電,勤業眾信聯合會計師事務所,郭文吉,郭榮芳,2011/02/24,"??????????""無保留意見 """
97,97,1504,東元電機,資誠聯合會計師事務所,支秉鈞,曾惠瑾,2011/03/16,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任、會計原則變動"""
98,98,1506,正道,勤業眾信聯合會計師事務所,張清福,蔡振財,2011/03/11,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任、前期由其他會計師查核"""
99,99,1507,永大機電,建昇財稅聯合會計師事務所,陳仁基,張育堯,2011/03/01,"??????????""無保留意見 """
100,100,1512,瑞利,勤業眾信聯合會計師事務所,吳秋燕,曾光敏,2011/03/04,"??????????""無保留意見 """
101,101,1513,中興電,鼎信聯合會計師事務所,諶  清,張亞荃,2011/03/02,"??????????""無保留意見 """
102,102,1514,亞力電機,惠眾聯合會計師事務所,洪佑伶,盧聯生,2011/03/22,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
103,103,1515,力山,安侯建業聯合會計師事務所,郭士華,張字信,2011/04/15,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
104,104,1516,川飛,弘基聯合會計師事務所,張仕奇,莊俊華,2011/03/04,"??????????""無保留意見 """
105,105,1517,利奇機械,勤業眾信聯合會計師事務所,呂惠民,羅瑞霖,2011/03/02,"??????????""無保留意見 """
106,106,1519,華城電機,勤業眾信聯合會計師事務所,張敬人,李東峰,2011/02/17,"??????????""無保留意見 """
107,107,1521,大億,勤業眾信聯合會計師事務所,龔俊吉,李季珍,2011/03/08,"??????????""無保留意見 """
