,Unnamed: 0,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師.1,核閱或查核日期,核閱或查核報告類型
87,87,1471,首利,資誠會計師事務所,徐永堅,支秉鈞,2006/08/22,"??????????""無保留意見 """
88,88,1472,三洋紡,勤業眾信會計師事務所,陳杰忠,黃海悅,2006/08/26,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
89,89,1473,台南企業,資誠會計師事務所,李明憲,劉子猛,2006/08/17,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
90,90,1474,弘裕,建智聯合會計師事務所,紀敏滄,陳靜宜,2006/07/25,"????????????????""修正式無保留意見--會計原則變動"""
91,91,1475,本盟光電,資誠會計師事務所,林鈞堯,王照明,2006/08/25,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
92,92,1476,儒鴻,安侯建業會計師事務所,寇惠植,李慈慧,2006/08/16,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
93,93,1477,聚陽實業,安侯建業會計師事務所,于紀隆,唐慈杰,2006/08/28,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
94,94,1503,士電,勤業眾信會計師事務所,張銘政,許庭禎,2006/08/09,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
95,95,1504,東元電機,資誠會計師事務所,薛明玲,曾惠瑾,2006/08/22,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
96,96,1506,正道,安侯建業會計師事務所,江忠儀 (YYY代表會計?,連淑凌 (YYY代表會計?,2006/08/18,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
97,97,1507,永大機電,建昇財稅聯合會計師事務所,陳仁基,蔡季嫻,2006/08/04,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
98,98,1512,瑞利,勤業眾信會計師事務所,吳秋燕,郭麗園,2006/08/03,"????????????????""修正式無保留意見--欲強調某一事項"""
99,99,1513,中興電,鼎信聯合會計師事務所,林春枝,林金鳳,2006/08/16,"????????????????""修正式無保留意見--會計原則變動"""
100,100,1514,亞力電機,惠眾會計師事務所,卓敏枝,李伯承,2006/08/22,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
101,101,1515,力山,安侯建業會計師事務所,張字信,魏忠華,2006/08/04,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
102,102,1516,川飛,安侯建業會計師事務所,張字信,郭士華,2006/08/18,"??????????""無保留意見 """
