,Unnamed: 0,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師.1,核閱或查核日期,核閱或查核報告類型
0,0,1101,台泥,致遠會計師事務所,李明昱,陳慕賢,2003/10/21,"??????????????""保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"""
1,1,1102,亞泥,勤業眾信會計師事務所,顏漏有,王金山,2003/10/22,"??????????????""保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"""
2,2,1103,嘉泥,勤業眾信會計師事務所,仲偉,方小萍,2003/10/20,"??????????????""保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"""
3,3,1104,環球水泥,資誠會計師事務所,王嘉瑜,陳美姿,2003/10/29,"??????????????""保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"""
4,4,1108,幸福水泥,勤業眾信會計師事務所,施景彬(YYY代表會計師,陳招美(YYY代表會計師,2003/10/21,"??????????????""保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"""
5,5,1109,信大水泥,致遠會計師事務所,賴宗羲,李秀玲,2003/10/20,"??????????????""保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"""
6,6,1110,東泥,建興聯合會計師事務所,蘇炳章,黃鈴雯,2003/10/15,"??????????????""保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"""
7,7,1201,味全公司,資誠會計師事務所,陳永清,吳郁隆,2003/10/24,"??????????????""保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"""
8,8,1203,味王公司,大中國際聯合會計師事務所,林寬照,李聰明,2003/10/24,"??????????????""保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"""
9,9,1210,大成長城,安侯建業會計師事務所,丁玉山,林賢郎,2002/10/22,"??????????????""保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"""
10,10,1213,大飲,致 遠 會 計 師 事 務 所,黃 敏 全(YYY代表會計,黃 學 平(YYY代表會計,2003/10/20,"??????????????""保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"""
11,11,1215,卜蜂企業,資誠會計師事務所,李燕松,王輝賢,2003/10/21,"??????????????""保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"""
12,12,1216,統一,資誠會計師事務所,李明憲,蔡金拋,2003/10/27,"??????????????""保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"""
13,13,1217,愛之味,建 興 聯 合 會 計 師 事 務 所,蘇炳章,黃鈴雯,2003/10/25,"??????????????""保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"""
14,14,1218,泰山企業,安侯建業聯合會計師事務所,陳嘉修,吳昭德,2003/10/18,"??????????????""保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"""
15,15,1219,福壽實業,群智聯合會計師事務所,黃春生,方文寶,2003/10/24,"??????????????""保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"""
16,16,1220,台榮,立本台灣聯合會計師事務所,柯俊輝,陳玉芳,2003/10/21,"????????????????????""標準式無保留核閱報告 """
17,17,1225,福懋油,勤業眾信會計師事務所,吳恩銘,謝建新,2003/10/17,"??????????????""保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"""
18,18,1227,佳格,勤業眾信會計師事務所,張銘政,許庭禎,2004/04/22,"??????????????""保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"""
19,19,1229,聯華實業,安侯建業會計師事務所,林賢郎,丁玉山,2003/10/20,"??????????????""保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"""
20,20,1231,聯華食品,勤 業 眾 信 會 計 師 事 務 所,張清福,吳金順,2003/10/16,"??????????????""保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"""
21,21,1232,大統益,資誠會計師事務所,劉子猛,林姿妤,2003/10/15,"??????????????""保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"""
22,22,1233,天仁,致遠 聯 合 會 計 師 事 務 所,鄧泗堂 (YYY代表會計?,蕭翠慧 (YYY代表會計?,2003/10/17,"??????????????""保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"""
23,23,1234,黑松,勤 業 眾 信 會 計 師 事 務 所,林義峰,陳慧銘,2003/10/18,"??????????????""保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益"""
