,Unnamed: 0,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師.1,核閱或查核日期,核閱或查核報告類型
0,0,1101,台泥,勤業眾信會計師事務所,郭政弘,魏永篤,2006/03/29,"????????????????""修正式無保留意見--會計原則變動、前期由其他會計師查核"""
1,1,1102,亞泥,勤業眾信會計師事務所,范有偉,郭俐雯,2006/03/13,"??????????""無保留意見 """
2,2,1103,嘉泥,勤業眾信會計師事務所,涂三遷,方小萍,2006/03/17,"????????????????""修正式無保留意見--會計原則變動"""
3,3,1104,環球水泥,資誠會計師事務所,陳美姿,張明輝,2006/04/05,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
4,4,1108,幸福水泥,勤業眾信 會 計 師 事 務 所,吳恩銘(YYY代表會計師,施景彬(YYY代表會計師,2006/03/20,"??????????""無保留意見 """
5,5,1109,信大水泥,致遠會計師事務所,賴宗羲,李秀玲,2006/02/21,"??????????""無保留意見 """
6,6,1110,東泥,建興聯合會計師事務所,劉吉雄,蔡淑滿,2006/03/11,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
7,7,1201,味全公司,資誠會計師事務所,吳郁隆,吳漢期,2006/04/10,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
8,8,1203,味王公司,大中國際聯合會計師事務所,林寬照,溫明郁,2006/04/06,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任、會計原則變動"""
9,9,1210,大成長城,安侯建業會計師事務所,鍾丹丹,陳眉芳,2006/04/19,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
10,10,1213,大飲,致遠會計師事務所,何 志 儒(YYY代表會計,阮 呂 艷(YYY代表會計,2006/02/17,"??????????""無保留意見 """
11,11,1215,卜蜂企業,資誠會計師事務所,李燕松,王輝賢,2006/04/14,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
12,12,1216,統一,資誠會計師事務所,李明憲,劉子猛,2006/03/31,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
13,13,1217,愛之味,建興聯合會計師事務所,劉吉雄,黃有慶,2006/03/31,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
14,14,1218,泰山企業,安侯建業會計師事務所,簡蒂暖,林瞳,2006/04/11,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
15,15,1219,福壽實業,群智聯合會計師事務所,黃春生,陳郁惠,2006/02/25,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
16,16,1220,台榮,立本台灣聯合會計師事務所,柯俊輝,柯俊榮,2006/02/21,"????????????????""修正式無保留意見--會計原則變動"""
17,17,1225,福懋油,勤業眾信會計師事務所,謝建新,吳恩銘,2006/02/24,"??????????""無保留意見 """
18,18,1229,聯華實業,安侯建業會計師事務所,許淑敏,江忠儀,2006/03/31,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
19,19,1231,聯華食品,勤業眾信會計師事務所,張清福,陳清祥,2006/03/06,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
20,20,1232,大統益,資誠會計師事務所,李明憲,劉子猛,2006/03/10,"??????????""無保留意見 """
21,21,1233,天仁,致遠 聯 合 會 計 師 事 務 所,蕭翠慧 (YYY代表會計?,鄧泗堂 (YYY代表會計?,2006/02/17,"??????????""無保留意見 """
22,22,1234,黑松,勤業眾信會計師事務所,林義峰,游素環,2006/02/20,"??????????""無保留意見 """
23,23,1235,興泰,第一聯合會計師事務所,王戊昌,張福郎,2006/03/31,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
24,24,1236,宏亞食品,致遠會計師事務所,徐榮煌,徐憶芳,2006/02/17,"??????????""無保留意見 """
25,25,1301,台塑,安侯建業會計師事務所,吳秋華,寇惠植,2006/03/10,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
26,26,1303,南亞塑膠,安候建業會計師事務所,吳秋華,李慈慧,2006/03/20,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任"""
27,27,1304,台聚,勤業眾信會計師事務所,韋亮發,王小蕙,2006/03/03,"????????????????""修正式無保留意見--欲強調某一事項"""
