公司代號,公司名稱,營業收入,營業成本,營業毛利(毛損),營業費用,營業淨利(淨損),營業外收入及利益,營業外費用及損失,繼續營業單位稅前淨利(淨損),所得稅費用(利益),繼續營業單位淨利(淨損),停業單位損益,非常損益,會計原則變動累積影響數,合併總損益,合併淨損益,共同控制下前手權益損益,少數股權損益,基本每股盈餘
"6165","捷泰精密",1109517,1063124,46393,213816,-167423,10624,22271,-179070,-56,-179014,0,0,0,-179014,-179014,0,0,-1.88
"6166","凌華科技",5595448,3304862,2290586,1975871,314715,12482,87175,240022,46415,193607,0,0,0,193607,193674,0,-67,1.23
"6168","宏齊科技",3770243,3881572,-111329,431973,-543302,57904,88638,-574036,-48597,-525439,0,0,0,-525439,-532483,0,7044,-2.62
"6172","互億科技",202173,199970,2203,76858,-74655,47306,65277,-92626,17545,-110171,0,0,0,-110171,-110171,0,0,-2.36
"6176","瑞儀光電",76212210,67255093,8957117,2743686,6213431,1372824,349792,7236463,1796072,5440391,0,0,0,5440391,5440391,0,0,12.05
"6177","達麗",2782581,1772008,1010573,220048,790525,4992,27429,768088,6451,761637,0,0,0,761637,761637,0,0,6.04
"6183","關貿",1693635,1164154,529481,283369,246112,24066,8409,261769,46451,215318,0,0,0,215318,215318,0,0,1.44
"6184","大豐電",729812,312734,417078,135732,281346,89851,266,370931,49476,321455,0,0,0,321455,313277,0,8178,4.07
"6189","豐藝電子",19767899,18327624,1440275,825889,614386,31850,69387,576849,110403,466446,0,0,0,466446,459919,0,6527,2.57
"6191","精成科技",36387822,34232586,2155236,2003791,151445,370559,253225,268779,236382,32397,0,0,0,32397,85063,0,-52666,0.16
"6192","巨路國際",6749112,5164844,1584268,748491,835777,55266,22383,868660,195731,672929,0,0,0,672929,672929,0,0,5.67
"6196","帆宣科技",11644490,10182531,1461959,1303643,158316,226111,73600,310827,61558,249269,0,0,0,249269,259406,0,-10137,1.58
"6197","佳必琪",3952817,3241541,711276,617948,93328,88339,104857,76810,15386,61424,0,0,0,61424,67974,0,-6550,0.39
"6201","亞弘電",4200760,3502908,697852,485427,212425,29332,24373,217384,47159,170225,0,0,0,170225,170225,0,0,1.91
"6202","盛群",3555952,1986940,1569012,984021,582312,83208,17648,647872,86823,561049,0,0,0,561049,560194,0,855,2.51
"6205","詮欣",2419414,1952026,467388,355419,111969,49400,26135,135234,24237,110997,0,0,0,110997,113233,0,-2236,1.57
"6206","飛捷",3578078,2452643,1125435,424529,700906,38562,40334,699134,88666,610468,0,0,0,610468,609120,0,1348,6.07
"6209","今國光學",6815613,5872709,942904,504127,438777,111273,32601,517449,102360,415089,0,0,0,415089,417320,0,-2231,2.57
"6213","聯茂",19320612,16792319,2528293,1097311,1430982,186334,125567,1491749,408218,1083531,0,0,0,1083531,1083531,0,0,3.34
