公司代號,公司名稱,營業收入,營業成本,營業毛利,營業費用,營業利益,營業外收入及利益,營業外費用及損失,繼續營業單位稅前淨利,所得稅費用(利益),繼續營業單位稅後淨利,停業單位損益,非常損益,會計原則變動之累積影響數,合併總損益,合併淨損益,少數股權損益,每股稅後盈餘,換算匯率,換算匯率參考依據
"910069","新曄",19612336,17800018,1812318,1500112,312206,146147,162400,295953,69450,226503,0,0,0,226503,224769,1734,0.25,23.76,101年12月31日之新加坡幣對新臺幣匯率
"9103","美德醫",1527892,1222459,305433,214383,91050,19114,63983,46181,7459,38722,0,0,0,38722,38139,583,0.09,USD＄1：NT$29.136,中央銀行我國與主要貿易對手通貨對美元匯率
"910322","康師傅",267512182,187287208,80224974,62696343,17528631,4640215,1984042,20184804,6614238,13570566,0,0,0,13570566,11942642,1627924,2.13,USD$1 : NT$29.04,臺灣銀行101年12月31日即期匯率
"910482","聖馬丁",5408185,4793413,614772,1023621,-408849,99695,383490,-692644,157238,-849882,-317620,0,0,-1167502,-1047091,-120411,-1.36,HKD$1:NT$3.867,以102年06月30日之匯率換算
"9105","泰金寶",133183369,128860673,4322696,3794605,528091,1483812,765553,1246350,107313,1139037,0,0,0,1139037,1139037,0,0.28,0.95:1(THB:NT),財報日之匯率
"910579","歐聖",-322193,102,-322295,1461066,-1783361,103965,908363,-2587759,-35810,-2551949,-8275,0,0,-2560224,-2534721,-25503,-1.00,RMB$1:NT$4.61,我國與十六個貿易對手通貨對美元之匯率
"9106","新焦點",6515682,4680481,1835201,2169388,-334187,74894,1492671,-1751964,-74304,-1677660,0,0,0,-1677660,-1521056,-156604,-2.22,RMB$1: NT$4.6611,臺灣銀行於財務報表日之即期匯率-買賣均價
"910708","恒大健",1945149,1314513,630636,494536,136100,15354,13497,137957,23700,114257,0,0,0,114257,114257,0,0.13,3.853,101.06.30 港幣兌新台幣匯率
"910801","金衛醫療",1701696,576532,1125164,800636,324528,860288,353238,831578,132908,698670,0,0,0,698670,600500,98170,0.30,HKD1:NTD3.9280,民國101年3月31日之匯率
"910861","神州",290092860,268885519,21207341,15690441,5516900,3320750,1593857,7243793,1297194,5946599,0,0,0,5946599,5347527,599072,5.01,HKD＄1：3.9469NT$,以102.03.31www.oanda.com網站公佈匯率換算
"910948","融達",5364010,5060650,303360,127825,175535,137612,169210,143937,16726,127211,0,0,0,127211,127211,0,0.20,USD$1:NT$29.83,臺灣銀行於財務報表日之即期匯率-買賣均價
"9110","越南製造",5953760,5302735,651025,878781,-227756,263088,246,35086,13386,21700,0,0,0,21700,21700,0,0.03,( USD$1:NT$29.136 ),台北外匯經紀股份有限公司
"911201","僑威",7598313,6536413,1061900,629047,432853,64947,142075,355725,131613,224112,0,0,0,224112,68181,155931,0.79,HK$1:NT$3.747,民國101年12月31日臺灣銀行匯率
"911602","華豐泰國",2257425,1809444,447981,265242,182739,17185,944,198980,46416,152564,0,0,0,152564,152564,0,0.23,0.95,101/12/31之匯率
"911608","明輝環球",2321803,1871409,450394,433264,17130,35379,69047,-16538,47187,-63725,-776999,0,0,-840724,-635247,-205477,1.32,SGD$1:NTD23.76,臺灣銀行於財務報表日之即期匯率
"911609","揚子江",61436644,47660490,13776154,1802563,11973591,12188220,3500513,20661298,3941885,16719413,0,0,0,16719413,16686402,33011,4.35,RMB$1:NT$4.66,於財務報表日銀行即期匯率
