公司代號,公司名稱,利息收入,減：利息費用,利息淨收益,利息以外淨收益,淨收益,呆帳費用,收回(提存)各項保險責任準備淨額,營業費用,繼續營業單位稅前合併淨利(淨損),所得稅(費用)利益,繼續營業單位稅後合併淨利(淨損),停業單位損益,非常損益(稅後),會計原則變動之累積影響數(稅後),合併總損益,合併總損益歸屬予_母公司股東,合併總損益歸屬予_少數股權,基本每股盈餘,稀釋每股盈餘
"2880","華南金",15178432,5516474,9661958,6732233,16394191,1740784,-162434,9239884,5251089,-876265,4374824,0,0,0,4374824,4374801,23,0.66,0.00
"2881","富邦金",35314461,5625562,29688899,59007307,88696206,-950545,0,19914000,17923493,-2523941,15399552,0,0,0,15399552,15157438,242114,1.77,1.77
"2882","國泰金",57156450,5773096,51383354,70464707,121848061,165822,-92803626,23400690,5477923,1361702,6839625,0,0,0,6839625,6638988,200637,0.66,0.00
"2883","開發金",1916232,970595,945637,4134743,5080380,5028,0,2875760,2199592,-16056,2183536,0,0,0,2183536,2173814,9722,0.20,0.00
"2884","玉山金控",10060009,3857488,6202521,4007707,10210228,1395976,0,5365467,3448785,-492605,2956180,0,0,0,2956180,2956180,0,0.78,0.71
"2885","元大金",6133840,1634155,4499685,15877182,20376867,-408726,0,8403487,12382106,-787228,11594878,0,0,0,11594878,11458841,136037,1.42,1.39
"2886","兆豐金",19342552,5943203,13399349,10284619,23683968,1285858,-68578,10423848,11905684,-2409158,9496526,0,0,0,9496526,9484024,12502,0.86,0.86
"2887","台新金控",20659179,8176603,12482576,15367576,27850152,1723933,0,14058921,12067298,-2032487,10034811,0,0,0,10034811,5770288,4264523,0.86,0.83
"2888","新光金",26811810,1869258,24942552,-13905273,11037279,-229006,1871102,10407156,2730231,-493308,2236923,0,0,0,2236923,1910417,326506,0.23,0.00
"2889","國票金控",1394325,498537,895788,2778748,3674536,176595,0,1641716,1856225,-168675,1687550,0,0,0,1687550,1711732,-24182,0.75,0.00
"2890","永豐金控",12132344,4582959,7549385,4932234,12481619,370427,0,7987356,4123836,-793528,3330308,0,0,0,3330308,3330308,0,0.48,0.47
"2891","中信金",18459260,5428073,13031187,15761973,28793160,-1333747,0,17107933,13018974,-1868009,11150965,0,0,0,11150965,11147165,3800,1.07,0.00
"2892","第一金控",16298367,5554298,10744069,5880570,16624639,2498810,50411,8643874,5532366,-1104279,4428087,0,0,0,4428087,4483554,-55467,0.65,0.00
