公司代號,公司名稱,營業收入,營業成本,營業毛利,營業費用,營業利益,營業外收入及利益,營業外費用及損失,繼續營業單位稅前淨利,所得稅費用(利益),繼續營業單位稅後淨利,停業單位損益,非常損益,會計原則變動之累積影響數,合併總損益,合併淨損益,少數股權損益,每股稅後盈餘,換算匯率,換算匯率參考依據
"910069","新曄",9264769,8427321,837448,532503,304945,54873,154261,205557,36216,169341,0,0,0,169341,162468,6873,0.20,23.38,100年6月30日之新加坡幣對新台幣匯率
"9103","美德醫",736653,578780,157873,144343,13530,12352,0,25882,2643,23239,0,0,6176,29415,28007,1408,0.05,US$1:NT$28.725,以100年06月30日台灣銀行之匯率換算
"910322","康師傅",118931915,87836545,31095370,21862841,9232529,2404413,335623,11301319,2467361,8833958,0,0,0,8833958,6580118,2253840,1.18,US$1:NT$28.73,臺灣銀行100年6月30日即期匯率
"9104","萬宇科",7137452,6113148,1024304,903234,121070,263296,156894,227472,46748,180724,0,0,0,180724,173832,6892,1.59,4.3928,www.oanda.com
"910482","聖馬丁",2470854,1955557,515297,530825,-15528,73805,98703,-40426,-8471,-31955,0,0,0,-31955,-32524,569,-0.04,HKD$1:NT$3.897,臺灣會計師複核的財報報告
"9105","泰金寶",60144197,58294612,1849585,1502458,347127,583182,88170,842139,57896,784243,0,0,0,784243,784243,0,0.19,THB$0.94:NT$1,財報日之匯率
"910579","歐聖",1744342,552657,1191685,657988,533697,7952,145048,396601,112874,283727,0,0,0,283727,266235,17492,0.14,RMB$1：NT$ 4.46,與十六個貿易對手通貨對美元之匯率
"9106","新焦點",2982812,2171667,811145,641931,169214,62368,33606,197976,55721,142255,0,0,0,142255,69426,72829,0.12,RMB＄1：NT$4.4438,台灣銀行於財務報表日之即期匯率-買賣均價
"910708","恒大健",939642,569190,370452,232414,138038,5241,0,143279,23230,120049,0,0,0,120049,120049,0,0.18,HKD$1:NT$3.748,991231港幣對新台幣匯率換算
"910801","金衛醫療",657267,203392,453875,250459,203416,659358,72715,790059,133760,656299,0,0,0,656299,673647,-17348,0.40,HKD 1: NTD 4.0371,民國99年9月30日之匯率
"910861","神州",134325600,124563054,9762546,7271204,2491342,1558496,649057,3400781,586809,2813972,0,0,0,2813972,2612231,201741,2.44,HKD＄1：3.9348NT$,以100.9.30www.oanda.com網站公佈匯率換算
"910948","融達",1719650,1630483,89167,59809,29358,78674,23396,84636,11659,72977,0,0,0,72977,72977,0,0.12,USD$1:NT$30.48,臺灣銀行於財務報表日之即期匯率
"9110","越南製造",4140897,3355306,785591,501877,283714,170957,505,454166,94471,359695,0,0,0,359695,359695,0,0.40,USD$1:NT$28.802,台北外匯經紀股份有限公司
"911201","僑威",3454082,2951390,502692,219142,283550,22674,41339,264885,38914,225971,0,0,0,225971,119408,106563,0.46,3.691,民國一百年六月三十日臺灣銀行匯率
"911602","華豐泰國",1105021,950025,154996,81861,73135,15268,2588,85815,25866,59949,0,0,0,59949,59949,0,0.10,Baht＄1：NT$0.97,100/06/30之匯率
"911606","超級集團",4999070,3312836,1686234,919625,766609,44771,89495,721885,83986,637899,0,0,0,637899,622218,15681,1.12,SGD$1:NT$23.4401,依中華民國中央銀行100.06.30匯率
"911608","明輝環球",1777090,1291933,485157,253602,231555,5401,2034,234922,40634,194288,0,0,0,194288,180891,13397,0.38,SGD$1:NT$23.38,臺灣銀行於財務報表日之即期匯率
"911609","揚子江",27582532,20809765,6772767,702462,6070305,4352435,123498,10299242,1793045,8506197,0,0,0,8506197,8519392,-13195,2.22,RMB$1：NT$ 4.44,銀行期末平均匯率
"911610","聯合環境",1075714,703832,371882,156085,215797,26092,35584,206305,36800,169505,0,0,0,169505,169505,0,0.35,SGD$1:NT$23.38,100.9.30臺灣銀行即期匯率
"911611","中國泰山",1823766,1516265,307501,35343,272158,17341,22257,267242,70370,196872,0,0,0,196872,196872,0,0.18,RMB1:NTD4.2566,Bloomberg顯示6月30日閉市匯率
"911612","滬安電力",6414016,5671958,742058,323778,418280,14239,93111,339408,61140,278268,0,0,0,278268,278268,0,0.42,4.4709,以1000630www.oanda.com網站公佈之匯率換算
"911616","杜康控股",2901003,1928602,972401,441374,531027,6745,104550,433222,103342,329880,0,0,0,329880,329880,0,0.48,RMB$1:NT$4.441,2010年12月底
"911622","泰聚亨",4427868,3901834,526034,198438,327596,18562,89444,256714,0,256714,0,0,0,256714,256714,0,0.43,Baht$1: NT$0.94,100/6/30匯率
"911626","華運中國",1713118,1203024,510094,77691,432403,5564,6663,431304,118447,312857,0,0,0,312857,312857,0,0.70,4.4655,匯率係採用各該期期末之台灣銀行匯率
"911868","同方友友",3085828,2662383,423445,917204,-493759,172351,61130,-382538,2224,-384762,0,0,0,-384762,-392406,7644,-0.42,HKD$1:NT$3.916,2011年9月末
"912000","晨訊科技",4670510,4215742,454768,703906,-249138,156043,12907,-106002,2805,-108807,0,0,0,-108807,-101211,-7596,-0.06,HKD$1:NT$3.691,臺灣銀行於財務報表日之即期匯率
"912398","友佳國際",4204338,3138408,1065930,556913,509017,59793,27371,541439,88820,452619,0,0,0,452619,452619,0,1.10,RMB 1 : NT$ 4.4446,台灣銀行買入賣出平均價
"9136","巨騰",13489889,12353776,1136113,887094,249019,264984,75562,438441,61407,377034,0,0,0,377034,423992,-46958,0.38,HKD＄1：NT$3.691,臺灣銀行100年6月30日即期中價匯率
