公司代號,公司名稱,收入,費用,繼續營業單位稅前淨利(淨損),所得稅費用(利益),繼續營業單位稅後淨利(淨損),停業單位損益,列計非常損益及會計原則變動累積影響數前損益,非常損益,會計原則變動之累積影響數,合併總損益,合併淨損益,少數股權損益,每股盈餘
"2855","統一證券",2681042,2614097,66945,21735,45210,0,45210,0,0,45210,44273,937,0.04
"2856","元富證券",7671427,7081776,589651,67741,521910,0,521910,0,0,521910,521910,0,0.36
"6005","群益證",3824235,2895494,928741,430077,498664,0,498664,0,0,545913,514922,30991,0.29
"6012","金鼎證券",1439942,1451925,-11983,114926,-126909,0,-126909,0,0,-126909,-125444,-1465,-0.12
