公司代號,公司名稱,營業收入,營業成本,營業毛利,營業費用,營業利益,營業外收入及利益,營業外費用及損失,繼續營業單位稅前淨利,所得稅費用(利益),繼續營業單位稅後淨利,停業單位損益,非常損益,會計原則變動之累積影響數,合併總損益,合併淨損益,少數股權損益,每股稅後盈餘,換算匯率,換算匯率參考依據
"9102","東亞科",4244483,3662606,581877,550243,31634,48807,42232,38209,84051,-45842,0,0,0,-45842,-27289,-18553,-0.06,22.99,資產負債表日台銀新幣收盤價買賣平均匯率
"9103","美德醫",692703,544074,148629,119469,29160,22634,25302,26492,2283,24209,0,0,-5048,19161,18197,964,0.05,US$1:NT$32.15,以99年06月30日台灣銀行之匯率換算
"910322","康師傅",104273928,71995778,32278150,21243948,11034202,894477,357218,11571461,2519692,9051769,0,0,0,9051769,6354030,2697739,1.14,US$1:NT$32.15,臺灣銀行99年6月30日即期匯率
"9104","萬宇科",7041269,5877168,1164101,858965,305136,29510,120310,214336,54186,160150,0,0,0,160150,151923,8227,1.38,4.3551,OANDA萬達亞太私人有限公司提供之匯率報價
"910482","聖馬丁",3124524,2454366,670158,462432,207726,32778,58703,181801,8343,173458,0,0,0,173458,170834,2624,0.26,HKD$1:NTD$3.748,臺灣會計師複核的財務資料
"9105","泰金寶",56862699,54494420,2368279,1273822,1094457,85927,114303,1066081,138464,927617,0,0,0,936385,927617,8768,0.23,1:1(THB:NT),財報日之匯率
"910579","歐聖",1928191,346727,1581464,585376,996088,23142,150035,869195,160331,708864,0,0,0,708864,708864,0,0.36,RMB$1:NT$4.76,我國與十六個貿易對手通貨對美元之匯率
"9106","新焦點",1999892,1405705,594187,525207,68980,39434,16645,91769,16735,75034,0,0,0,75034,56146,18888,0.10,RMB1:NTD4.7409,臺灣銀行於財務報表日之即期匯率-買賣均價
"910708","恒大健",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,N/A,N/A
"910801","金衛醫療",550005,153421,396584,247733,148851,245002,181604,212249,53131,159118,89814,0,0,248932,201200,47732,0.13,HKD$1:NT$4.1796,民國九十八年度 9 月30 日之匯率
"910861","神州",111481965,104572960,6909005,5066858,1842147,1135775,372671,2605251,400361,2204890,0,0,0,2204890,2150597,54293,2.11,HKD＄1：NT$4.0451,以99.09.30www.oanda.com網站公佈匯率換算
"9110","越南製造",3638629,2752707,885922,542788,343134,148975,32518,459591,97767,361824,0,0,0,361284,361284,0,0.39,USD$1:NT$32.278,台北外匯經紀股份有限公司
"911201","僑威",3577948,3087926,490022,210330,279692,37268,33367,283593,52248,231345,0,0,0,231345,131824,99521,0.50,HKD＄1：NT$4.145,台灣銀行
"911602","華豐泰國",985484,829014,156470,91360,65110,11584,2222,74472,18860,55612,0,0,0,55612,55612,0,0.08,Baht＄1：NT$1,99/6/30之匯率
"911606","超級集團",3523988,2139477,1384511,844891,539620,349689,3071,886238,132118,754120,0,0,0,754120,745864,8256,1.39,SGD$1:NT$22.2533,99.06.30，www.oanda.com網站公佈之匯率
"911609","揚子江",26933854,20450414,6483440,437237,6046203,1737582,26962,7756823,1259286,6497537,0,0,0,6497537,6497537,0,1.78,RMB$1：NT$ 4.685,我國與十六個貿易對手通貨對美元之匯率
"911610","聯合環境",1077967,658746,419221,156839,262382,25803,6083,282102,37802,244300,0,0,0,244300,244300,0,0.54,SGD$1:NT$23.76,依臺灣銀行99.9.30即期匯率
"911612","滬安電力",5017838,4331844,685994,304343,381651,13892,52619,342924,79452,263472,0,0,0,263472,263472,0,0.47,4.7234,以99/6/30www.oanda.com網站公佈之匯率換算
"911616","杜康控股",1552921,1078866,474055,206937,267118,9804,961,275961,36806,239155,0,0,0,239155,239155,0,0.38,RMB$1:NT$4.642,2009年12月底
"911626","華運中國",1382400,936703,445697,53208,392489,2360,1997,392852,53217,339635,0,0,0,339635,339635,0,0.94,4.778,匯率係採用各該期期末之台灣銀行匯率
"911868","同方友友",3015503,2016506,998997,656397,342600,32099,195552,179147,5493,173654,0,0,0,173654,171614,2040,0.19,HKD$1:NT$4.130,2010年6月末
"912398","友佳國際",2758336,2030537,727799,346047,381752,32229,16517,397464,65026,332438,0,0,0,332438,332438,0,0.90,RMB 1 : NT$ 4.7409,參考台灣銀行於財務報表日之即期匯率
"9136","巨騰",14771821,12292016,2479805,990407,1489398,210845,77834,1622409,268615,1353794,0,0,0,1353794,1247690,106104,1.12,HKD＄1：NT$4.13,台灣銀行2010年6月30日
"913889","大成糖",6285117,5500462,784655,387594,397061,39249,103648,332662,66738,265924,0,0,0,265924,263201,2723,0.24,HKD＄1：NT$4.1194,OANDA萬達亞太私人有限公司提供之匯率報價
"9151","中國旺旺",32226903,20070023,12156880,6489285,5667595,793751,101626,6359720,1168427,5191293,0,0,0,5191293,5184477,6816,0.39,USD $1: NT$32.15,臺灣銀行於財務報表日之即期匯率
"9157","陽光能源",3790757,3330260,460497,222549,237948,59140,39816,257272,57146,200126,0,0,0,200126,203072,-2946,0.11,RMB$1 : NT$4.7598,中央銀行 99/06/30之匯率
"9188","精熙國際",1178233,872455,305778,256879,48899,27392,482,75809,3344,72465,0,0,0,72465,72465,0,0.09,USD$1:NTD$32.15,依臺灣銀行即期匯率(買入賣出平均價)
