年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),股東權益總計,共同控制下前手權益,合併前非屬共同控制股權,每股淨值(元),預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股)
100/02,1101,台泥,         15808317,         60781055,         32708038,                  0,          4034045,        113331455,         10959628,                  0,          5029398,            293015,         16282041,         36921759,         15966491,         15885610,         28275554,                  0,         97049414,                  0,                  0,         26.29,                  0,                  0
100/02,1102,亞泥,         17834711,         94153146,          7487660,                  0,          3142564,        122618081,         10849820,         28058346,          1443866,          1650035,         42002067,         31368137,          8591737,         23242184,         17413956,                  0,         80616014,                  0,                  0,         26.21,                  0,                  0
100/02,1103,嘉泥,          3427818,         21844229,          2546608,              4626,            193407,         28016688,          2888651,          5476880,                  0,            154086,          8519617,          7542024,            737005,          7008768,          4209274,                  0,         19497071,                  0,                  0,         32.08,                  0,        124564328
100/02,1104,環球水泥,          2576262,          8473943,          3285039,              9273,          2297089,         16641606,          1662669,          1220000,          1082113,            232133,          4196915,          6038919,            159730,          2744704,          3501338,                  0,         12444691,                  0,                  0,         20.61,                  0,                  0
100/02,1108,幸福水泥,          1805886,          2586962,          2796344,                  0,            554823,          7744015,          2374934,            937500,                  0,            450788,          3763222,          4047380,             27420,            -90842,             -3165,                  0,          3980793,                  0,                  0,          9.84,                  0,                  0
100/02,1109,信大水泥,          1757843,          2648002,          1856786,                  0,            172698,          6435329,            307676,                  0,                  0,            361910,            669586,          4210008,             42598,          1571354,            -58217,                  0,          5765743,                  0,                  0,         13.70,                  0,                  0
100/02,1110,東泥,          1364686,          2573057,          4672694,                  0,            905053,          9515490,            520052,                  0,            242930,            431721,          1194703,          5720008,            183487,          1576035,            841257,                  0,          8320787,                  0,                  0,         14.55,                  0,                  0
100/02,1201,味全公司,          3325529,          5271322,          5373163,                  0,            668342,         14638356,          3113034,          2100000,            748907,          2027753,          7989694,          5060629,             37921,          2197579,           -647467,                  0,          6648662,                  0,                  0,         13.14,                  0,                  0
100/02,1203,味王公司,            868508,          3465866,            775290,                  0,             30969,          5140633,            518877,                  0,            139094,            475321,          1133292,          2400000,             45012,            502824,          1059505,                  0,          4007341,                  0,                  0,         16.86,                  0,          2294000
100/02,1210,大成長城,          5908973,          7437231,          2558266,                  0,            892875,         16797345,          5204843,          1306628,             20754,            211893,          6744118,          5194013,          1829368,          2610839,            419007,                  0,         10053227,                  0,                  0,         21.96,                  0,         36940633
