年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),股東權益總計,共同控制下前手權益,合併前非屬共同控制股權,每股淨值(元),預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股)
100/01,1101,台泥,         13339768,         59401388,         32958778,                  0,          4059967,        109759901,          4491267,                  0,          5029398,            340506,          9861171,         36921759,         15962923,         20539400,         26474648,                  0,         99898730,                  0,                  0,         27.06,                  0,                  0
100/01,1102,亞泥,          6791306,         96474435,          7508665,                  0,          3175584,        113949990,          4840422,         24125336,          1443866,          1634304,         32043928,         30753075,          8259554,         25985123,         16908310,                  0,         81906062,                  0,                  0,         26.63,                  0,                  0
100/01,1103,嘉泥,          3121437,         20920633,          2599562,             12684,            188211,         26842527,          2519365,          5321814,                  0,            634017,          8475196,          7322354,            737005,          7120184,          3187788,                  0,         18367331,                  0,                  0,         30.23,                  0,        124564227
100/01,1104,環球水泥,          2572489,          8624938,          3294344,              9374,          2323893,         16825038,          1500790,          1105000,          1082113,            230535,          3918438,          6038919,            159730,          3382903,          3325048,                  0,         12906600,                  0,                  0,         21.37,                  0,                  0
100/01,1108,幸福水泥,          1732886,          2626678,          2858643,                  0,            552864,          7771071,          2313898,            971500,                  0,            460846,          3746244,          4047380,             27420,            -48128,             -1845,                  0,          4024827,                  0,                  0,          9.94,                  0,                  0
100/01,1109,信大水泥,          1889184,          2470135,          1866865,                  0,            173135,          6399319,            173498,                  0,                  0,            362219,            535717,          4210008,             42598,          1658844,            -47848,                  0,          5863602,                  0,                  0,         13.93,                  0,                  0
100/01,1110,東泥,          1264909,          2525686,          4678342,                  0,            882985,          9351922,            384391,                  0,            242930,            441424,          1068745,          5720008,            183487,          1595085,            784597,                  0,          8283177,                  0,                  0,         14.48,                  0,                  0
100/01,1201,味全公司,          2872714,          5270776,          5369910,                  0,            696176,         14209576,          2595925,          2050000,            748907,          1981721,          7376553,          5060629,             37921,          2358565,           -624092,                  0,          6833023,                  0,                  0,         13.50,                  0,                  0
100/01,1203,味王公司,            783282,          3541532,            778120,                  0,             28220,          5131154,            386751,                  0,            139094,            474652,          1000497,          2400000,             45012,            588080,          1097565,                  0,          4130657,                  0,                  0,         17.38,                  0,          2294000
100/01,1210,大成長城,          5225930,          7361058,          2633181,                  0,            790670,         16010839,          4009098,          1355888,             20754,            209992,          5595732,          4946679,          1829380,          3202081,            436967,                  0,         10415107,                  0,                  0,         22.75,                  0,         36940633
