年季,公司代號,公司名稱,流動資產,買匯貼現及放款,基金長期投資及放款,固定資產,無形資產,其他資產,受託買賣借項,流動負債,存款及匯款,央行及同業融資,長期負債,其他負債,受託買賣貸項,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
2005/01,2816,旺旺保險,          4962525,            604568,          2496502,            689567,            221228,          1196338,                  0,          1812451,                  0,                  0,            244769,          5325327,                  0,          5671350,            331225,         -2305596,           -908798,         10170728,          7382547,          2788181,          4.92
2005/01,2823,中壽,         36187712,         17825128,        110822002,          2792355,                  0,          3561080,          7536484,            649562,                  0,                  0,             27986,        164393397,          7536484,          7924604,            704045,         -1861258,           -650059,        178724761,        172607429,          6117332,          7.72
2005/01,2832,台產,          8126500,              4000,          3423420,            655734,                  0,             38070,                  0,          2671164,                  0,                  0,            429971,          4327484,                  0,          3040915,            875276,            955692,            -52778,         12247724,          7428619,          4819105,         16.06
2005/01,2850,新產,          6381853,                  0,          4908784,            879507,             37835,            501152,                  0,          1458880,                  0,                  0,            111751,          7949931,                  0,          2281959,            323636,            582974,                  0,         12709131,          9520562,          3188569,         13.97
2005/01,2851,中再保,         12746761,                  0,          6823918,            346178,                  0,            838100,                  0,          1560805,                  0,                  0,             92468,         13638627,                  0,          4200000,            368009,            895196,               -148,         20754957,         15291900,          5463057,         13.01
2005/01,2852,第一保,          5860591,            279000,          1753998,            600294,                  0,            556118,                  0,            800944,                  0,                  0,            210535,          4881086,                  0,          2349776,            142547,            718104,            -52991,          9050001,          5892565,          3157436,         13.67
2005/01,2855,統一證券,         28212001,?,          5992681,          1809383,              9921,          1489299,            101367,         17835334,?,?,          2500000,            249830,                  0,         11404990,             58990,          5698024,           -132516,         37614652,         20585164,         17029488,         14.93
2005/01,2856,元富證券,         61718720,?,          2553751,          2207042,            159317,          2862404,                  0,         50062554,?,?,          1446795,            288128,             27909,         12791578,            586083,          4356319,             90117,         69649483,         51825386,         17824097,         13.93
2005/01,2880,華南金,          5308407,                  0,         87713190,             10832,                  0,            151688,                  0,            571675,                  0,                  0,          6012754,                345,                  0,         55796342,         15849931,         15080635,           -127565,         93184117,          6584774,         86599343,         15.52
2005/01,2881,富邦金,          4980859,                  0,        178256189,              5192,                  0,             23956,                  0,         15081058,                  0,                  0,          7000794,            160508,                  0,         81117124,         55218738,         38332748,        -13644774,        183266196,         22242360,        161023836,         20.94
2005/01,2882,國泰金,         20049014,                  0,        183554547,              5227,                  0,          2541014,                  0,          2281602,                  0,                  0,         15266830,             23035,                  0,         84741672,         65851309,         38584742,           -599388,        206149802,         17571467,        188578335,         22.27
2005/01,2883,開發金,          2363846,                  0,        130807544,             23588,                  0,             20706,                  0,          7154950,                  0,                  0,          6000000,              6778,                  0,        117532570,         26045591,         -8318190,        -15206015,        133215684,         13161728,        120053956,         10.96
2005/01,2884,玉山金控,          1322639,                  0,         44749462,                  0,                  0,                516,                  0,          1890673,                  0,                  0,            400000,                  0,                  0,         29306096,          7607644,          6974298,           -106094,         46072617,          2290673,         43781944,         14.94
2005/01,2885,元大金,          1533497,                  0,         48988520,            261242,                  0,            365044,                  0,          2509765,                  0,                  0,          6398298,                  0,                  0,         30064445,          8611306,          4428188,           -863699,         51148303,          8908063,         42240240,         14.39
2005/01,2886,兆豐金,         20772924,                  0,        195900296,            147817,                  0,             77389,                  0,         22557358,                  0,                  0,         12924863,              3574,                  0,        113657296,         46852421,         35862383,        -14959469,        216898426,         35485795,        181412631,         17.12
2005/01,,,,,,,,,,,,,,,,,,,,,,,
2005/01,2887,台新金控,         15135680,                  0,         87770101,             17293,                  0,             84437,                  0,          9797189,                  0,                  0,         15576281,                  0,                  0,         48338511,         16885057,         15931960,         -3521487,        103007511,         25373470,         77634041,         16.94
2005/01,2888,新光金,          1633841,                  0,         66950610,              3413,                  0,                228,                  0,            617672,                  0,                  0,         13197800,                  0,                  0,         32042023,         12647878,         10142089,            -59370,         68588092,         13815472,         54772620,         17.09
2005/01,2889,國票金控,            385727,                  0,         26467565,              2635,                  0,              1532,                  0,            986494,                  0,                  0,                  0,              2435,                  0,         21198825,             11656,          4658049,                  0,         26857459,            988929,         25868530,         12.20
2005/01,2890,永豐金控,          7387211,                  0,         54447183,             33182,                  0,             17030,                  0,          4931394,                  0,                  0,            122810,                  0,                  0,         42505582,         10415662,          6287554,         -2378396,         61884606,          5054204,         56830402,         13.37
2005/01,2891,中信金,          8954450,                  0,        132528359,                  0,                  0,            221781,                  0,            714978,                  0,                  0,         31342022,                  0,                  0,         61497294,         31227530,         20955480,         -4032714,        141704590,         32057000,        109647590,         17.92
2005/01,2892,第一金控,          5247135,                  0,         83451018,             21003,              1352,              7338,                  0,             62653,                  0,                  0,          5001756,                457,                  0,         55490750,         15858665,         12860688,           -547123,         88727846,          5064866,         83662980,         15.08
2005/01,6005,群益證,         35461972,?,          3386734,          4207934,            548120,          2748061,            339724,         25245451,?,?,            526677,            305759,                  0,         13643105,            843343,          6072831,             55379,         46692545,         26077887,         20614658,         15.11
