年季,公司代號,公司名稱,流動資產,買匯貼現及放款,基金長期投資及放款,固定資產,無形資產,其他資產,受託買賣借項,流動負債,存款及匯款,央行及同業融資,長期負債,其他負債,受託買賣貸項,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
94/04,2816,旺旺保險,          4506599,            412695,          2425130,            714746,            208214,          1411147,                  0,          1129383,                  0,                  0,            263491,          5757903,                  0,          6068344,            104371,         -2562494,         -1082467,          9678531,          7150777,          2527754,          4.17
94/04,2823,中壽,         46159089,         18631667,        125971660,          2803130,                  0,          3932078,          8113986,          2081004,                  0,                  0,             32736,        185658358,          8113986,         10924604,            816340,           -958000,         -1057418,        205611610,        195886084,          9725526,          8.90
94/04,2832,台產,          6225263,                  0,          4434014,            426111,                  0,             35488,                  0,          1350119,                  0,                  0,            422425,          4460024,                  0,          3168570,            856039,            952316,            -88617,         11120876,          6232568,          4888308,         15.73
94/04,2850,新產,          6352383,                  0,          5398377,            967286,             30423,            658636,                  0,          1561421,                  0,                  0,            103914,          8418093,                  0,          2510155,            300815,            512707,                  0,         13407105,         10083428,          3323677,         13.24
94/04,2851,中再保,         12329141,                  0,          9148608,            339845,                899,            963240,                  0,          1570260,                  0,                  0,             95159,         14547920,                  0,          5000000,            488009,          1084440,             -4055,         22781733,         16213339,          6568394,         13.14
94/04,2852,第一保,          5728975,            179000,          1658305,            730310,                  0,            550145,                  0,            685756,                  0,                  0,            185496,          5028641,                  0,          2580754,            142547,            276533,            -52992,          8846735,          5899893,          2946842,         11.60
94/04,2855,統一證券,         41286529,?,          5453291,          2474474,              8562,          1904955,             91813,         32066872,?,?,          2000000,            266349,                  0,         11404990,             58990,          5503800,            -81377,         51219624,         34333221,         16886403,         14.87
94/04,2856,元富證券,         58779140,?,          2674205,          2167193,            119467,          3045487,             52689,         47365974,?,?,          1696034,            303462,                  0,         13338714,            458168,          4083101,           -268471,         66976982,         49365470,         17611512,         13.51
94/04,2867,三商美邦,         60788015,         26523371,         56264840,          2928659,             18758,         10412797,                  0,          2679123,                  0,                  0,            506986,        148408783,                  0,          5234000,            744000,           -629202,             -7250,        156936440,        151594892,          5341548,         10.21
94/04,2880,華南金,          6724882,                  0,         88982041,              9699,                  0,             50451,                  0,            182696,                  0,                  0,          6017719,                280,                  0,         59702086,         15811911,         14119404,            -67023,         95767073,          6200695,         89566378,         15.00
94/04,2881,富邦金,          2960234,                  0,        168235606,             44303,                  0,             13117,                  0,          4598577,                  0,                  0,         11000000,             50311,                  0,         77190935,         51016628,         28386284,           -989475,        171253260,         15648888,        155604372,         20.16
94/04,2882,國泰金,         13458810,                  0,        188200384,              4975,                  0,          2822814,                  0,          3340194,                  0,                  0,         13416136,                 15,                  0,         85242234,         68095085,         34382265,             11054,        204486983,         16756345,        187730638,         22.02
94/04,2883,開發金,          2219853,                  0,        144614173,             31530,                  0,             23338,                  0,          2834247,                  0,                  0,         14000000,             16745,                  0,        109577954,         15890777,          4423531,            145640,        146888894,         16850992,        130037902,         11.87
94/04,2884,玉山金控,          4651616,                  0,         44669600,                891,                  0,              3711,                  0,            391213,                  0,                  0,          5204337,                  0,                  0,         30270000,          7607644,          5931050,            -78426,         49325818,          5595550,         43730268,         14.45
94/04,2885,元大金,          1617969,                  0,         46593311,            265157,                  0,             46624,                  0,          5627005,                  0,                  0,          3153648,                  0,                  0,         31617616,          8553292,           -244945,           -183555,         48523061,          8780653,         39742408,         12.60
94/04,,,,,,,,,,,,,,,,,,,,,,,
94/04,2886,兆豐金,          5797053,                  0,        203436199,            928598,                  0,             55339,                  0,          6158613,                  0,                  0,         12929127,              5852,                  0,        113657296,         46852278,         36304259,         -5690236,        210217189,         19093592,        191123597,         17.28
94/04,2887,台新金控,          5021094,                  0,        112373175,             17817,                  0,             60477,                  0,          2252489,                  0,                  0,         33942039,                  0,                  0,         60232093,         24443815,           -383556,         -3014317,        117472563,         36194528,         81278035,         14.09
94/04,2888,新光金,         11500238,                  0,         77826938,              7100,                  0,                228,                  0,         10311325,                  0,                  0,         13212500,                  0,                  0,         40743739,         13945445,         11389746,           -268251,         89334504,         23523825,         65810679,         16.15
94/04,2889,國票金控,            491570,                  0,         26068401,              6768,                  0,              1469,                  0,          1941170,                  0,                  0,                  0,              2848,                  0,         21198825,              2549,          3422816,                  0,         26568208,          1944018,         24624190,         11.62
94/04,2890,永豐金控,          4114688,                  0,         91204627,             48124,                  0,             40455,                  0,          1780591,                  0,                  0,          3018358,                  0,                  0,         72300383,          3320040,         18237550,         -3249028,         95407894,          4798949,         90608945,         12.82
94/04,2891,中信金,         51819461,                  0,        126633235,                  0,                  0,            323811,                  0,          1511445,                  0,                  0,         31667792,                  0,                  0,         80907489,         46921027,         20542898,         -2774144,        178776507,         33179237,        145597270,         18.02
94/04,2892,第一金控,          8803480,                  0,         87541760,             27630,                689,              3205,                  0,             39669,                  0,                  0,          5001361,              2037,                  0,         58265287,         15724280,         17422873,            -78743,         96376764,          5043067,         91333697,         15.68
94/04,6005,群益證,         57429080,?,          3631668,          4227544,            483650,          2820308,            438570,         48344283,?,?,            524080,            442590,                  0,         13643105,            845050,          5117461,            114251,         69030820,         49310953,         19719867,         14.45
