年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,借方內部往來,受託買賣借項,流動負債,長期負債,其他負債,貸方內部往來,受託買賣貸項,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
96/02,2855,統一證券,         43280204,          5490132,          2245214,                  0,          1775822,                  0,            108835,         31979670,          2000000,            363913,                  0,                  0,         11768695,             50110,          6761253,            -23434,         52900207,         34343583,         18556624,                  0,                  0,         16.32
96/02,2856,元富證券,         55724148,          2764618,          1978543,            100170,          1698264,                  0,            176991,         41592557,          1700000,            306277,                  0,                  0,         13988726,             16806,          4740920,             97448,         62442734,         43598834,         18843900,                  0,            671000,         13.68
96/02,6005,群益證,         61829551,          3826978,          4133056,            400864,          2289798,                  0,            430356,         48012542,          2344013,            465767,                  0,                  0,         14741150,            845050,          6383572,            118509,         72910603,         50822322,         22088281,                  0,                  0,         15.77
