年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,借方內部往來,受託買賣借項,流動負債,長期負債,其他負債,貸方內部往來,受託買賣貸項,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
99/03,2855,統一證券,         37494224,          3639879,          2404569,                  0,          1707644,                  0,            180691,         25467374,                  0,            276326,                  0,                  0,         12319334,            317109,          7330114,           -283250,         45427007,         25743700,         19683307,                  0,         30025000,         16.38
99/03,2856,元富證券,         64162715,          3079915,          2115091,            300376,          1729271,                  0,            145614,         52431084,                  0,            264371,                  0,                  0,         14664610,            273422,          3835742,             63753,         71532982,         52695455,         18837527,                  0,            822000,         12.88
99/03,6005,群益證,         36458467,          4036523,          4000410,            397470,          2259699,                  0,             75228,         22201053,          1222828,            242605,                  0,                  0,         20375495,          1302852,          1831769,             51195,         47227797,         23666486,         23561311,                  0,                  0,         11.56
