年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,借方內部往來,受託買賣借項,流動負債,長期負債,其他負債,貸方內部往來,受託買賣貸項,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
100/02,2855,統一證券,         38750518,          3610675,          2408527,                  0,          1657405,                  0,            329518,         26152919,                  0,             29567,                  0,                  0,         13046456,            404127,          7318381,           -194807,         46756643,         26182486,         20574157,                  0,         20064000,         16.98
100/02,2856,元富證券,         59740506,          2867228,          2091143,            286594,          1725776,                  0,            127454,         47381435,                  0,             34944,                  0,                  0,         15172685,            371005,          3880940,             -2308,         66838701,         47416379,         19422322,                  0,                  0,         12.98
100/02,6005,群益證,         47996991,          4667177,          6374861,          3549329,          2637036,                  0,            158017,         30926852,          5425167,            431219,                  0,                  0,         23690730,          2735007,          2248607,            -74171,         65383411,         36783238,         28600173,                  0,                  0,         12.25
