年季,公司代號,公司名稱,流動資產,買匯貼現及放款,基金長期投資及放款,固定資產,無形資產,其他資產,受託買賣借項,流動負債,存款及匯款,央行及同業融資,長期負債,其他負債,受託買賣貸項,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
93/01,2816,旺旺保險,          4900514,          3325808,          3533688,            619298,            238579,          1270260,                  0,          1419412,                  0,                  0,            228946,          5739731,                  0,          5720743,            579553,          1520109,         -1320347,         13888147,          7388089,          6500058,         11.36
93/01,2823,中壽,         50136458,         17607692,         66685857,          3526852,                  0,          7471894,                  0,            902608,                  0,                  0,             28791,        136163911,                  0,          6594861,            533780,          1209124,             -4322,        145428753,        137095310,          8333443,         12.64
93/01,2832,台產,         10058826,              4000,          2787412,            763585,                  0,             39879,                  0,          4520249,                  0,                  0,            763924,          4183915,                  0,          2806628,            564303,            953727,           -139044,         13653702,          9468088,          4185614,         14.91
93/01,2850,新產,          6271314,                  0,          3845686,            923639,             36727,            485554,                  0,          1283504,                  0,                  0,            166490,          7274046,                  0,          2122753,            315401,            400726,                  0,         11562920,          8724040,          2838880,         13.37
93/01,2851,中再保,         12308519,                  0,          6123644,            355053,                  0,            306944,                  0,          1471829,                  0,                  0,            158720,         12841100,                  0,          3600000,            189608,            832114,                789,         19094160,         14471649,          4622511,         12.84
93/01,2852,第一保,          5318012,            361000,          2080540,            469924,                  0,            173532,                  0,            766259,                  0,                  0,            266407,          4452232,                  0,          2102300,             70686,            798115,            -52991,          8403008,          5484898,          2918110,         13.88
93/01,2855,統一證券,         31579885,?,          3439628,          1865146,             11732,          5118246,            224594,         21434234,?,?,          3000000,            285521,                  0,         11406730,             60159,          6027507,             25080,         42239231,         24719755,         17519476,         15.36
93/01,2856,元富證券,         46233496,?,          2612403,          2048864,              5738,          2364455,             79614,         32415229,?,?,          3189087,            391684,                  0,         12425050,            721039,          4809523,           -450543,         53501069,         35996000,         17505069,         14.09
93/01,2880,華南金,          3930338,                  0,         76723265,             13645,                  0,             42945,                  0,            613983,                  0,                  0,          6007820,                345,                  0,         47285036,         13359503,         13523819,            -80313,         80710193,          6622148,         74088045,         15.67
93/01,2881,富邦金,         20837839,                  0,        165193407,              6752,                  0,            206031,                  0,         25933633,                  0,                  0,          8101045,                  0,                  0,         82541193,         57553442,         36378117,        -24263401,        186244029,         34034678,        152209351,         18.44
93/01,2882,國泰金,          7928879,                  0,        173327723,              4425,                  0,            242811,                  0,             49341,                  0,                  0,         24614316,                728,                  0,         83074891,         53650859,         32115671,        -12001968,        181503838,         24664385,        156839453,         18.88
93/01,2883,開發金,          1842256,                  0,        140027434,             11643,                  0,             55376,                  0,         17080755,                  0,                  0,          6000000,              1426,                  0,        118392470,         36005360,         -4658972,        -30884330,        141936709,         23082181,        118854528,         10.04
93/01,2884,玉山金控,          6138020,                  0,         29738332,                  0,                  0,             33829,                  0,          4931256,                  0,                  0,            928000,                  0,                  0,         25841589,          2592703,          6021887,         -4405254,         35910181,          5859256,         30050925,         11.63
93/01,2885,元大金,            550408,                  0,         45549764,            245061,                  0,             41153,                  0,          5240900,                  0,                  0,          2905826,                  0,                  0,         28944445,          8733617,          3949937,         -3388339,         46386386,          8146726,         38239660,         13.21
93/01,2886,兆豐金,         19741393,                  0,        190410018,             95724,                  0,            244304,                  0,          3651157,                  0,                  0,         43531145,            278338,                  0,        113657297,         46481825,         30254473,        -27362796,        210491439,         47460640,        163030799,         14.34
93/01,,,,,,,,,,,,,,,,,,,,,,,
93/01,2887,台新金控,         10309541,                  0,         68331493,              2608,                  0,            111619,                  0,            742441,                  0,                  0,         11818831,                  0,                  0,         45340573,         14144730,         10938347,         -4229661,         78755261,         12561272,         66193989,         15.93
93/01,2888,新光金,          3363596,                  0,         40639636,                547,                  0,                228,                  0,          1656055,                  0,                  0,          9159500,                  0,                  0,         24063249,          1431777,          7736011,            -42585,         44004007,         10815555,         33188452,         14.02
93/01,2889,國票金控,            409402,                  0,         24524940,              3315,                  0,              1710,                  0,            391812,                  0,                  0,                  0,              1569,                  0,         21198825,             10835,          3336326,                  0,         24939367,            393381,         24545986,         11.58
93/01,2890,永豐金控,          6750373,                  0,         50895405,             21361,                  0,             59324,                  0,            702506,                  0,                  0,          7936759,                  0,                  0,         37709535,          8241597,          6153040,         -3016974,         57726463,          8639265,         49087198,         13.02
93/01,2891,中信金,         10904483,                  0,        124127340,                  0,                  0,            341589,                  0,          3076202,                  0,                  0,         35153298,                  0,                  0,         57472422,         32114926,         12868536,         -5311972,        135373412,         38229500,         97143912,         16.90
93/01,2892,第一金控,          2251274,                  0,         69388796,             24183,              1908,                 30,                  0,              9847,                  0,                  0,              5679,                639,                  0,         55490750,         24185603,         -7873718,           -152609,         71666191,             16165,         71650026,         12.91
93/01,6005,群益證,         47300926,?,          3366774,          4281377,            469663,          2802452,            230049,         37981729,?,?,             27698,            276081,                  0,         13643105,            843343,          5555373,            123912,         58451241,         38285508,         20165733,         14.78
