年季,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,公平價變動列入損益之金融資產,附賣回票券及債券投資,備供出售金融資產-淨額,應收款項-淨額,待出售資產,貼現及放款-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他金融資產-淨額,其他資產-淨額,資產總計,央行及金融同業存款,存款及匯款,應付商業本票-淨額,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付款項,央行及同業融資,與待出售資產直接相關之負債,應付債券,其他借款,特別股負債,應計退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他項目,少數股權,股東權益總計,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
96/03,2880,華南金,         36496887,        145219079,         54842785,          6040052,        127047717,         55924739,                  0,      1045591209,        172123863,             92516,            463180,         25053068,            570639,         11018817,         21373116,      1701857667,         77933542,      1301130236,          5365411,         40582183,         53142087,         64151107,                  0,                  0,         43100000,         10251999,                  0,            990196,          6118474,    824792.00,          8078008,      1611668035,         59702086,         12408866,         14386003,          3688589,              4088,         90189632,                  0,                  0,         15.11
96/03,2881,富邦金,         48329024,        200152408,         69883285,          4457536,        255828325,        109029159,                  0,        823509170,          5751238,          1051870,         13072262,         21721582,          1418981,        238930479,         11452237,      1804587556,         76818213,        941084012,          3846185,         14501302,         80244582,         65978241,          6515200,                  0,         80344286,         14973226,                  0,                  0,        250431160, 86905110.00,          6942619,      1628584136,         77190935,         49091107,         36990549,          8382114,          4348715,        176003420,                  0,                  0,         22.24
96/03,2882,國泰金,        434460203,         59743737,        147252414,         13054358,        481430105,         88283504,                  0,      1275995320,        570116308,          3079385,        106477651,         38841227,            840358,        411046028,         51570331,      3682190929,         57050697,      1028205689,                  0,         68684806,         17866861,         52073425,          1628500,                  0,         18158993,                  0,                  0,                  0,      1933661207,246696024.00,         13831919,      3437858121,         92770192,         81971167,         47055087,         19423142,          3113220,        244332808,                  0,         66659815,         26.19
96/03,2883,開發金,         11292102,         20964586,         66495095,          7163284,         69995097,         32050952,                  0,         83582378,                  0,         14552989,                  0,          4196883,                  0,         51903476,         10040777,        372237619,         26845829,          6049296,          7931051,          9092946,         56438019,         15479207,                  0,                  0,         46000000,         11011975,                  0,                  0,                  0, 26621406.00,          4932969,        210402698,        115870627,         12896810,         13813806,         18143929,          1109749,        161834921,                  0,                  0,         13.87
96/03,2884,玉山金控,         15913409,         27412783,         85542893,          3312455,         43738953,         33897154,                  0,        504169323,         14542196,            140053,                  0,         12746509,          3784769,          9745078,          5792453,        760738028,         34578349,        555851861,          2071063,         40099968,         28649178,         17049761,                  0,                  0,         30600000,            754000,                  0,                  0,                  0,  2806701.00,            941334,        713402215,         33033000,          9859777,          5132398,           -689362,                  0,         47335813,                  0,                  0,         14.33
96/03,2885,元大金,          4780248,         50466364,         62362936,         18902935,         18389267,        117401445,                  0,        236524018,          8255265,          5536072,                  0,         10809735,          9617588,          8692790,         15523072,        569981286,         22492764,        261951939,         29575850,          7099002,         42299258,         37729808,                  0,                  0,         18458769,         31651463,                  0,            843369,            727001,    830401.00,          7013705,        460673329,         83509972,         24088203,          6467406,         -4989587,            231963,        109307957,                  0,        295527780,         13.54
96/03,2886,兆豐金,        113636175,        118336826,        206218230,          6688933,        294009312,        122413023,                  0,      1191997178,         30541135,          2498139,            380496,         24418633,            342994,         34270904,          8448924,      2154200902,        221541810,      1180666894,         20904476,         52740764,        268778257,         92652240,         37163729,                  0,         41594804,         15889572,                  0,          1612257,          8533109,  9619638.00,          9547360,      1961244910,        110594262,         45182443,         30543181,          5934848,            701258,        192955992,                  0,                  0,         17.38
96/03,2887,台新金控,         44712686,        220518194,         82778830,         16446178,        101709457,        120888271,                  0,      1424576149,        159689870,            997813,                  0,         45027320,         20757601,         18902723,         56857069,      2313862161,        201199913,      1613589282,          7169936,         17514774,         89515048,         86585429,                  0,                  0,        112018154,          7970000,                  0,                  0,          1577045,    528991.00,         17983211,      2155651783,         69880779,         19389426,          5956258,           -256596,         63240511,        158210378,                  0,                  0,         13.59
96/03,2888,新光金,         56800911,         42048595,        109478567,          3938101,        154324154,         40307693,                  0,        433604465,        223946655,          5441904,         79990639,         23885040,          2722673,        419224856,         17882636,      1613596889,         11094604,        308549146,                  0,          1840627,         12067056,         19587370,                  0,                  0,         31243270,                  0,                  0,                  0,      1025016341, 98390361.00,         12300994,      1520089769,         50253725,         16625146,         13715271,         10436183,          2476795,         93507120,                  0,          7280000,         18.14
96/03,2889,國票金控,          1417952,                 85,        107075459,          5049383,         92298316,         13092623,                  0,                  0,            331601,          1334528,                  0,          2157883,            244177,          5299552,          1287454,        229589013,         11045000,                  0,          2778154,             54982,        180874798,          3726642,                  0,                  0,                  0,                  0,                  0,            140800,          2266888,  1490130.00,            106384,        202483778,         21622801,                  0,          2673029,         -1281322,          4090727,         27105235,                  0,                  0,         10.64
