年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),股東權益總計,共同控制下前手權益,合併前非屬共同控制股權,每股淨值(元),預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股)
95/03,1301,台塑,         92092197,        103331151,         72997532,          2522586,          4306014,        275249480,         34850502,         56591877,                  0,          6073359,         97515738,         57204716,         11840671,         80123186,         28565169,                  0,        177733742,                  0,                  0,         31.07,                  0,                  0
95/03,1303,南亞塑膠,         92791711,        185286208,         78605506,          2317973,          3551041,        362552439,         51762717,         65415323,                  0,         14555745,        131733785,         76235909,         24193692,        110261424,         20129574,             -1945,        230818654,                  0,                  0,         30.28,                  0,            177899
95/03,1304,台聚,          6308183,          6741463,          1109177,            158259,            334490,         14651572,          1298534,          2150000,             43580,            747528,          4239642,          7714032,            268962,          2049828,            496406,           -117298,         10411930,                  0,                  0,         14.26,                  0,         41503928
95/03,1305,華夏,          4807541,          2030156,          2687692,            200902,            320350,         10046641,          1679444,          2000000,            496836,            962540,          5138820,          4248035,              9673,            143278,            506835,                  0,          4907821,                  0,                  0,         11.55,                  0,                  0
95/03,,,,,,,,,,,,,,,,,,,,,,,,
95/03,1307,三芳化工,          2149455,          2363920,          1491823,                  0,            256691,          6261889,          1174204,          1129917,             37782,            290486,          2632389,          2504083,            137866,            937052,             50499,                  0,          3629500,                  0,                  0,         14.49,                  0,                  0
95/03,1308,亞聚,          2442619,          2084125,            538368,             23960,            622740,          5711812,            782194,                  0,             21469,            267725,          1071388,          2609316,             26295,          1387923,            616890,                  0,          4640424,                  0,                  0,         17.78,                  0,                  0
95/03,1309,台達化工,          4453567,          1224355,          1510874,             18638,            357287,          7564721,          1437583,          1580000,            143860,            387634,          3549077,          2705005,            335462,            709346,            265831,                  0,          4015644,                  0,                  0,         14.85,                  0,                  0
95/03,1310,台苯,          3267677,          3999091,          1135122,                  0,            288311,          8690201,          2283518,            200000,                  0,             92176,          2575694,          5665293,            184693,          1238007,            -78121,           -895365,          6114507,                  0,                  0,         12.45,                  0,         75541563
95/03,1312,國喬石化,          3140729,          6460473,          4719474,            115228,            144844,         14580748,          2220164,          3810000,            979556,            219131,          7228851,          6598242,            318374,            611392,           -116270,            -59841,          7351897,                  0,                  0,         11.31,                  0,          9846848
95/03,1313,聯成,          2565953,         11207319,          1709300,                  0,            109411,         15591983,          1486207,          1329200,             99828,          1020432,          3935667,          7534976,            377340,          2756717,          1184646,           -197363,         11656316,                  0,                  0,         15.91,                  0,         19312000
95/03,1314,中石化,          8715974,          7516810,         22796078,                  0,          5609035,         44637897,          4971401,         15463264,          3879988,            824949,         25139602,         16899995,             55744,          2576737,            -34181,                  0,         19498295,                  0,                  0,         11.54,                  0,                  0
95/03,1315,達新工業,          3197249,          1010729,          1074942,             34080,          1125864,          6442864,            743292,            100000,            240828,            300092,          1384212,          2295000,             25176,            986792,          1807599,            -55915,          5058652,                  0,                  0,         22.83,                  0,          7930000
95/03,1316,上曜,            140109,            487213,            152974,                  0,            254017,          1034313,            186072,                  0,                  0,             39678,            225750,            701661,            105303,             -7300,              8899,                  0,            808563,                  0,                  0,         11.52,                  0,                  0
95/03,1319,東陽,          2720387,          4335383,          4360837,             65377,            569682,         12051666,          2667114,          1494059,                  0,            441664,          4602837,          4135413,          1428440,          1797100,            289221,           -201345,          7448829,                  0,                  0,         18.61,                  0,         13270747
95/03,1321,大洋,          1546811,          1370334,            974069,             82408,            411937,          4385559,            801533,                  0,                  0,            408865,          1210398,          2272283,            101384,            798813,             38870,            -36189,          3175161,                  0,                  0,         14.39,                  0,          6542716
95/03,1323,永裕,            593164,            451972,            673257,              5489,             19890,          1743772,            420202,            307950,              8767,             34243,            771162,            750918,             48246,            142810,             34522,             -3886,            972610,                  0,                  0,         13.06,                  0,            628381
95/03,1324,地球工業,            692617,            222337,            307413,                  0,             25183,          1247550,            327408,                  0,                  0,             22096,            349504,            751219,                  0,            140440,              6387,                  0,            898046,                  0,                  0,         11.95,                  0,                  0
95/03,1325,恒大,            419218,            121952,            706680,              1324,             54595,          1303769,             47707,                  0,             44912,             37388,            130007,            891110,              1025,            225715,             55912,                  0,          1173762,                  0,                  0,         13.17,                  0,                  0
95/03,1326,台化,         82661460,        104569282,         91036257,            642978,          6500918,        285410895,         37842220,         52663682,                  0,          6095425,         96601327,         55247302,          9536335,         89908198,         34117733,                  0,        188809568,                  0,                  0,         34.18,                  0,                  0
95/03,,,,,,,,,,,,,,,,,,,,,,,,
95/03,1402,遠東新,         18560305,         90029598,         15768282,            738080,          1486346,        126582611,         15691406,         28187504,          1018898,          2494318,         47392126,         43498513,         15415532,         18553615,          1722825,                  0,         79190485,                  0,                  0,         18.21,                  0,                  0
95/03,1409,新纖,          8853357,         14367152,          9623178,                  0,            814798,         33658485,          6034614,          7990073,            602738,          2018991,         16646416,         13253409,            128610,          1362928,          2267122,                  0,         17012069,                  0,                  0,         12.84,                  0,                  0
95/03,1410,南染,            387206,            145813,            805330,                465,             80576,          1419390,             71739,                  0,            145775,             71792,            289306,            900000,             21784,             41321,            166979,                  0,          1130084,                  0,                  0,         12.56,                  0,                  0
95/03,1413,宏洲纖維,          1230251,             40103,          2235950,                  0,             99101,          3605405,          1379916,             30680,            145598,            152902,          1709096,          2836457,                  0,         -1356629,            431521,            -15040,          1896309,                  0,                  0,          6.77,                  0,          3496585
95/03,1414,東和,          1157296,            194436,          2878711,             64490,            811710,          5106643,          2427711,            317691,            522190,            272025,          3539617,          2200000,              3914,           -852252,            215364,                  0,          1567026,                  0,                  0,          7.12,                  0,                  0
95/03,1416,廣豐,            360023,          4622878,          1393548,             13163,            139321,          6528933,            533277,          1244057,                  0,             42688,          1820022,          5497834,            940961,         -1837115,            230085,           -122854,          4708911,                  0,                  0,         10.07,                  0,         81974273
95/03,1417,嘉裕,          1490342,          2254792,          1053382,             40776,            319864,          5159156,            989899,                  0,            103078,            130712,          1223689,          3798837,             19571,           -242474,            359533,                  0,          3935467,                  0,                  0,         10.36,                  0,                  0
95/03,1418,東華,          1140819,            322943,          1678602,             56023,            400043,          3598430,          1153190,                  0,            322483,            204903,          1680576,          2638553,                  0,           -848436,            203948,            -76211,          1917854,                  0,                  0,          7.99,                  0,         23966000
95/03,1419,新紡,            719825,          2846785,          2913236,              8916,             87880,          6576642,          1508904,                  0,            516917,             63274,          2089095,          2976600,              2934,            653528,          1010351,           -155866,          4487547,                  0,                  0,         15.71,                  0,         12031450
95/03,1423,利華羊毛,          1345661,            459653,            998895,                  0,             37621,          2841830,             57446,              1484,            193097,            110400,            362427,          1793000,            107556,             58210,            521980,             -1343,          2479403,                  0,                  0,         13.85,                  0,            240000
95/03,1432,大魯閣,          1045796,          1029933,              5858,                  0,            518754,          2600341,          1943436,                  0,            266563,             86295,          2296294,            538702,            586842,           -816009,            106414,           -111902,            304047,                  0,                  0,          6.06,                  0,          3734716
95/03,1434,福懋興業,         11729831,         37241789,          7997575,                  0,          1499986,         58469181,          4584712,          8847453,                  0,            510020,         13942185,         16846646,             23561,          7917562,         19765715,            -26488,         44526996,                  0,                  0,         26.48,                  0,          3043228
95/03,1435,中福國際,            299133,            528906,            531010,                  0,             23457,          1382506,            109568,                  0,            133122,              4605,            247295,          1397801,              6253,            -64317,             89620,           -294146,          1135211,                  0,                  0,         10.17,                  0,         28135770
