年季,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,公平價變動列入損益之金融資產,附賣回票券及債券投資,備供出售金融資產-淨額,應收款項-淨額,待出售資產,貼現及放款-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他金融資產-淨額,其他資產-淨額,資產總計,央行及金融同業存款,存款及匯款,應付商業本票-淨額,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付款項,央行及同業融資,與待出售資產直接相關之負債,應付債券,其他借款,特別股負債,應計退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他項目,少數股權,股東權益總計,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
97/03,2880,華南金,         42256116,        142156385,         35791724,          4663940,        104202573,         43331752,                  0,      1125765740,        178444827,             94519,            587032,         26623009,            592609,         10268960,         16159608,      1730938794,         84202148,      1331110604,          2034011,         49415353,         31507729,         82205554,                  0,                  0,         38300000,          2826041,                  0,          1301243,          8053321,    713711.00,          8442095,      1640111810,         60896128,         12408866,         18330147,           -809484,              1327,         90826984,                  0,                  0,         14.91
97/03,2881,富邦金,         56922577,        250237099,         49025731,         18835606,        241173654,        110613969,                  0,        911653961,          8709341,          1166682,         12855254,         21624309,          1381762,        233643835,         16984777,      1934828557,         80403667,      1065825945,                  0,         24470158,         37765583,         62112442,         10238163,                  0,         78468844,            821314,                  0,                  0,        333469863, 79275994.00,          9372312,      1782224285,         77190935,         49092515,         35106414,        -13084598,          4299006,        152604272,                  0,                  0,         19.21
97/03,2882,國泰金,        368782346,         80459568,        103981277,         20431503,        469690526,         78756181,                  0,      1391628276,        655662900,          2636480,        108928642,         40251423,          7786810,        393912634,         63257363,      3786165929,         79009716,      1082609199,                  0,         87306221,         19798793,         40222937,            642600,                  0,         16615361,                  0,                  0,                  0,      2045319041,240911928.00,         12854823,      3625290619,         97375372,         81971213,         20971634,        -42628568,          3185659,        160875310,                  0,         66659815,         16.31
97/03,2883,開發金,         10069594,         26378191,         24976634,          4422205,         50206402,         17348288,                  0,         76081188,                  0,         12893038,                  0,          4454762,                  0,         53537544,         15645482,        296013328,         11063337,         15466905,          2247211,         13734817,         25330105,         15485950,                  0,                  0,         54690787,          8553728,                  0,                  0,                  0, 21839491.00,          2327326,        170739657,        112309170,          9222531,          6430522,         -3395307,            706755,        125273671,                  0,        323753000,         11.42
97/03,2884,玉山金控,         15941223,         55749200,         87635144,            562343,         38419329,         34405958,                  0,        550130205,         13248814,                  0,                  0,         13366713,          3945481,          9387351,          5452905,        828244666,         37034383,        625709180,            113857,         37213766,         23947972,         18943788,                  0,                  0,         33000000,                  0,                  0,                  0,                  0,  2332749.00,            686806,        778982501,         35443511,         10407577,          4735925,         -1324848,                  0,         49262165,                  0,                  0,         13.90
97/03,2885,元大金,          4244078,         20300482,        112151694,         18873692,         17971265,         58880695,                  0,        222928285,          6157801,          6006823,                  0,          8026663,          9618989,          5891734,         21274653,        512862641,         14068757,        288546327,          2605028,          4046986,         22626689,         29381289,                  0,                  0,         22300000,          2078556,                  0,            907053,            731135,  2482690.00,         10124210,        399913629,         83530437,         27487149,          5146879,         -3414409,            198956,        112949012,                  0,        188473000,         13.81
97/03,2886,兆豐金,         76879376,        245874687,        164964955,          4342264,        224074353,        127012457,                  0,      1340802156,         85897198,          2504884,            519998,         25010596,             44192,         29424589,          9145062,      2336496767,        446892682,      1230752494,         13252607,         56595016,        211169066,         92926730,         31608082,                  0,         42053780,          8512600,                  0,          1520479,         12514632,  6479468.00,          8528375,      2162806011,        110594262,         43427034,         17772827,          1346727,            549906,        173690756,                  0,                  0,         15.66
97/03,2887,台新金控,         57382320,        171632094,         76934185,          5938953,         84112006,        120801573,                  0,      1501287063,        156215720,            975679,                  0,         44118726,         20757601,         35118626,         81398520,      2356673066,        222083249,      1695918410,            798972,         20670027,         59186457,         76281085,                  0,                  0,        110332903,            470000,                  0,                  0,          1558486,    692569.00,         18569298,      2206561456,         69880779,         19071634,          1026309,         -1218626,         61351514,        150111610,                  0,                  0,         12.70
97/03,2888,新光金,         74342937,         38148298,         84943400,         45848414,        172889927,         53229906,                  0,        473075484,        212760410,          1495748,         74841045,         19943822,          2884640,        461384081,         32319393,      1748107505,          8089041,        325842624,          4477003,         18009969,         25134639,         16657939,                  0,                  0,         37286574,          6449129,                  0,                  0,      1113636273,113987105.00,          9961277,      1679531573,         56616193,         20295294,         -5360076,        -18241415,         15265936,         68575932,                  0,         38680000,          9.48
97/03,2889,國票金控,          2118608,          1028601,        102086046,          3096807,         75858991,          7331254,                  0,                  0,                  0,          1332175,                  0,          2184794,                  0,          3580295,          1782568,        200400139,         11567000,                  0,          1855221,            194161,        154018957,          2205510,                  0,                  0,                  0,                  0,                  0,            125358,          2036507,    983576.00,            184608,        173170898,         21947143,                  0,          2871898,         -1043437,          3453637,         27229241,                  0,         50000000,         11.09
97/03,2890,永豐金控,         21817585,         77972010,         54137597,          5863704,         56013786,         64633325,                  0,        680391560,        101083461,             53985,                  0,         11775560,          2376840,         20716467,         14119754,      1110955634,         55193394,        828969088,          8746708,         11248900,         13003827,         33613968,                  0,                  0,         44545221,         10073388,                  0,                  0,                  0, 18315748.00,          4018613,      1027728855,         71080468,          1809053,         12683492,         -2401077,             54843,         83226779,                  0,        120031000,         11.90
97/03,2891,中信金,         28717930,        144903691,        103877040,                  0,        123799809,        124710590,                  0,        933000269,        197030380,          2098488,                  0,         32921204,         12291517,         15301164,         12788737,      1731440819,         49500138,      1234195290,                  0,         45037478,         71295586,         61042616,         14252545,                  0,        108048791,                  0,                  0,                  0,                  0,  1822299.00,          4804470,      1589999213,         98486544,         38903887,         19133652,        -15160342,             77865,        141441606,                  0,         93383000,         14.49
97/03,2892,第一金控,         34056740,        166814478,         41549412,          3715686,         62044971,         48690568,                  0,      1138257159,        216474234,          3587023,                  0,         24210597,            395272,         13746733,         13377817,      1766920690,        152281205,      1330949450,             59905,         57099401,         16329033,         72140749,             50747,                  0,         16200000,            299852,                  0,          1742528,          8961336,  1015018.00,          7927047,      1665056271,         61647354,          9943476,         21541577,          7862503,            869509,        101864419,                  0,                  0,         16.38
