年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,借方內部往來,受託買賣借項,流動負債,長期負債,其他負債,貸方內部往來,受託買賣貸項,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
95/04,2855,統一證券,         37070803,          5411319,          2267372,                  0,          2175065,                  0,            132486,         26541482,          2000000,            292756,                  0,                  0,         11370720,             47002,          6912012,           -106927,         47057045,         28834238,         18222807,                  0,          4637000,         16.09
95/04,2856,元富證券,         67713679,          2837698,          2031086,             66334,          2106996,                  0,            162165,         56036304,            200000,            633477,                  0,                  0,         13782095,            223437,          4373825,           -331180,         74917958,         56869781,         18048177,                  0,         34316000,         13.43
95/04,6005,群益證,         55900476,          3727141,          4179207,            400864,          2201595,                  0,            402542,         44981091,            357698,            357824,                  0,                  0,         14009670,            845050,          6159414,            101078,         66811825,         45696613,         21115212,                  0,                  0,         15.07
