年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,流動負債,長期負債,其他負債,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
2003/01,1101,台泥,          6878876,         37184952,         48334158,            713720,          5078562,         16746067,         25891797,          7299005,         26562543,         15139995,          6827348,           -276487,         98190268,         49936869,         48253399,         18.17
2003/01,1102,亞泥,          7980501,         36097487,          2912223,                  0,          9245922,          6572208,          9290000,          4497165,         20383904,          6944285,          9580858,         -1032287,         56236133,         20359373,         35876760,         17.60
2003/01,1103,嘉泥,          2349844,          8372883,          4553354,            693719,          3232887,          2193856,          5232108,          2286021,          6996391,          1604024,          2276922,         -1386635,         19202687,          9711985,          9490702,         13.56
2003/01,1104,環球水泥,          1371558,          4658972,          5591538,            177642,            233508,            973937,          1800000,          2175850,          3469004,          2195211,          1413974,              5242,         12033218,          4949787,          7083431,         20.41
2003/01,1108,幸福水泥,          2634854,          3106490,          2292431,             28924,            535498,          3623601,            525237,            327805,          4047380,                308,             68341,              5525,          8598197,          4476643,          4121554,         10.18
2003/01,1109,信大水泥,          2236591,          1892519,          2086251,             75476,            199814,            548147,                  0,            281091,          4207140,             15139,          1440385,             -1251,          6490651,            829238,          5661413,         13.45
2003/01,1110,東泥,          1167175,          2180256,          5645906,             93100,            627395,            375489,                  0,          1637606,          5586360,            315076,          1892230,            -92929,          9713832,          2013095,          7700737,         13.78
2003/01,1201,味全公司,          3731250,          1759186,          4856051,            771777,            657133,          4375977,          1253013,          2483643,          5060629,          1791054,         -3071904,           -117015,         11775397,          8112633,          3662764,          7.23
2003/01,1203,味王公司,          1511315,          1028827,          2112840,            248852,          1658669,          2077469,            441500,          1743068,          2092537,             59265,            301153,           -154489,          6560503,          4262037,          2298466,         10.98
2003/01,1210,大成長城,          3575407,          2527640,          2367934,             66123,            197256,          3007210,            826105,            156892,          4003182,            223313,            904181,           -386523,          8734360,          3990207,          4744153,         11.85
2003/01,1213,大飲,            306532,              5904,            192421,                  0,            215069,            129075,                  0,             19084,            428959,             64834,             77896,                 78,            719926,            148159,            571767,         13.32
2003/01,1215,卜蜂企業,          2132369,            616568,            883967,                  0,             83747,            723880,            589250,            100421,          2300268,              2969,             61212,            -61349,          3716651,          1413551,          2303100,         10.01
2003/01,1216,統一,          7760624,         46466551,         14021710,            377006,          1487046,          6542887,         19900529,          2216638,         34243868,            978860,          6773451,           -543296,         70112937,         28660054,         41452883,         12.10
2003/01,1217,愛之味,          1646929,          2740895,          1641387,             19556,            908097,          1665846,          1456953,            315894,          3639628,              2541,             77374,           -201372,          6956864,          3438693,          3518171,          9.67
2003/01,1218,泰山企業,          2029949,          1906888,          2389198,             90169,            159862,          2066295,            690000,            821815,          3232980,            817011,           -158785,           -893250,          6576066,          3578110,          2997956,          9.27
2003/01,,,,,,,,,,,,,,,,,,
2003/01,1219,福壽實業,          2329861,            626135,          1859970,             71340,            107748,            793905,            400000,            616718,          2722294,            349658,            134086,            -21607,          4995054,          1810623,          3184431,         11.69
2003/01,1220,台榮,            850255,            379108,          1269123,             34940,             78252,            470638,            120000,            108365,          1770779,             42751,             84545,             14600,          2611678,            699003,          1912675,         10.80
2003/01,1225,福懋油,          1297424,            864218,          1073119,             14557,            107102,          1040557,                  0,            279274,          1867870,            300130,           -185379,             53968,          3356420,          1319831,          2036589,         10.90
2003/01,1227,佳格,          2117865,          2192325,          1511877,              5506,            244924,            658387,          1448000,             16835,          3209184,              5784,            632451,            101856,          6072497,          2123222,          3949275,         12.30
2003/01,1229,聯華實業,          1268281,          8711805,          1439759,             31307,            810755,            931350,          1476121,            197351,          6612928,            729189,          2137236,            177732,         12261907,          2604822,          9657085,         14.60
2003/01,1231,聯華食品,          1350293,            748865,            763275,             18978,            457059,            705289,            897283,             38161,          1154190,             72435,            445926,             25186,          3338470,          1640733,          1697737,         14.70
2003/01,1232,大統益,          1133402,            643665,          1704402,                  0,             12322,            898011,            300000,              5000,          1599749,             24351,            666680,                  0,          3493791,          1203011,          2290780,         14.31
2003/01,1233,天仁,            426239,             67642,            812141,             35164,             78270,            266206,             25697,            120504,            829045,              2612,            213049,            -37657,          1419456,            412407,          1007049,         12.14
2003/01,1234,黑松,          1593632,          6986153,          3034294,            236842,             82707,            600237,                  0,          3440065,          5358281,            604389,          1931420,               -764,         11933628,          4040302,          7893326,         14.73
2003/01,1235,興泰,            586283,             36833,            166400,             14542,             47898,            144007,                  0,            105349,            392037,             81254,            140893,            -11584,            851956,            249356,            602600,         15.37
2003/01,1236,宏亞食品,            424501,             30500,            805624,             30995,             76089,            308195,            112440,             99272,            631224,             33396,            181958,              1224,          1367709,            519907,            847802,         13.43
2003/01,1301,台塑,         29037597,         75574382,         61690843,            173552,          6922985,         17454311,         51763973,          4091758,         45347335,         14720976,         38050583,          1970423,        173399359,         73310042,        100089317,         22.07
2003/01,1303,南亞塑膠,         49569003,        118630412,         80358670,          1656767,          9773783,         33307981,         73453822,         10957567,         62144795,         23084895,         51866261,          5173314,        259988635,        117719370,        142269265,         22.89
2003/01,1304,台聚,          3279641,          7191517,          1182072,            133399,          1909251,          1943095,          2100000,            620042,          7714032,            298952,          1503199,           -483440,         13695880,          4663137,          9032743,         11.70
