年季,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,公平價變動列入損益之金融資產,附賣回票券及債券投資,備供出售金融資產-淨額,應收款項-淨額,待出售資產,貼現及放款-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他金融資產-淨額,其他資產-淨額,資產總計,央行及金融同業存款,存款及匯款,應付商業本票-淨額,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付款項,央行及同業融資,與待出售資產直接相關之負債,應付債券,其他借款,特別股負債,應計退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他項目,少數股權,股東權益總計,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
95/01,2880,華南金,         32178838,        142712728,         77627528,          2209621,        110744354,         47192736,                  0,        950264512,        219555723,             86018,            124353,         25322219,            456621,         14322468,         21231533,      1644029252,        112818424,      1231480269,          4037797,         35734171,         59594102,         56437658,                  0,                  0,         34000000,          2050000,                  0,            629356,          5875120,    880368.00,          7338450,      1550875715,         59702086,         12407540,         17082066,          3950985,             10860,         93153537,                  0,                  0,          0.00
95/01,2881,富邦金,         63103182,         61548040,        105347935,          5966291,        372398870,         91238001,                  0,        682911549,          4675380,          1645791,          9922492,         23263016,            609849,        201045680,         15403412,      1639079488,         38741090,        864123893,          3297307,         34060986,        115494943,         47695852,            430238,                  0,         63276000,          3568284,                  0,            323998,        220597962, 74504200.00,          6142304,      1472257057,         77190935,         51016628,         31590309,          3129502,          3895057,        166822431,                  0,                  0,         21.11
95/01,2882,國泰金,        314012092,         46512499,        181424531,          9198701,        263221292,         98248749,                  0,      1132924935,        518125875,          3698589,        106825508,         42013092,          1297704,        405585342,         46448997,      3169537906,         83545631,        877767204,          1298392,         64968249,         36279930,         41704325,            812500,                  0,         31122908,                  0,                  0,                  0,      1696760965,111790445.00,         16554370,      2962604919,         85258878,         68168225,         42323855,          7739790,          3442239,        206932987,                  0,                  0,         23.87
95/01,2883,開發金,         16712473,         15414399,         75458872,         11464799,         51743720,         21809990,                  0,         57949046,                  0,         10426367,                  0,          4148987,                  0,         51764174,         10274689,        327167516,         19806181,          4051650,          3737547,          7327973,         57940808,         15482773,                  0,                  0,         39500000,         15901208,                  0,                  0,                  0,  3798818.00,          9103456,        176650414,        109577954,         15903598,         10627042,         13393885,          1014623,        150517102,                  0,                  0,         13.64
95/01,2884,玉山金控,         12547579,         35053354,         89988419,          5525804,         58404944,         35757170,                  0,        383247535,         15001072,             29553,                  0,         11036537,          3662701,          5477767,          6880948,        662613383,         36897018,        436577474,            699295,         41599561,         58753245,          8131160,                  0,                  0,         24700000,          1040000,                  0,                  0,                  0,  2760464.00,          1529126,        612687343,         32303815,          9859777,          6796795,            963846,              1807,         49926040,                  0,                  0,          0.00
95/01,2885,元大金,          4756785,         32609915,         28069293,          3144049,         19127109,         41188720,                  0,        225060241,          4825028,                  0,                  0,          5438047,          1986754,          7313228,          9954788,        383473957,         30604686,        231044304,         19401206,          4151358,         27263979,         11605444,                  0,                  0,          8513117,          9365000,                  0,            343685,            499677,          0.00,            535419,        343327875,         31617616,          8553292,            102939,           -158793,             31028,         40146082,                  0,          7300000,     -5495.21
95/01,2886,兆豐金,         57901220,        108165653,        247177108,          3521775,        278298970,         94711344,                  0,      1075898502,        190652019,          3015388,            156324,         24974022,             47361,         35342942,          9544773,      2129407401,        284028439,      1051985758,         11197228,         49482986,        310016992,         70321397,         60503706,                  0,         53831432,          3690000,                  0,          1819640,          9128888,  6830641.00,          9283765,      1922120872,        111694492,         46050936,         41202364,          7614404,            724333,        207286529,                  0,        110023000,         18.68
95/01,2887,台新金控,         43984781,        144804371,        206093377,         28933845,         74969461,        130731119,                  0,      1373697670,        190177590,          1041641,                  0,         46914521,         20681040,         12786585,         56385906,      2331201907,        229514582,      1609367825,          7303278,         14699344,         93381826,         69083832,          9846738,                  0,        103069749,          3120000,                  0,                  0,          1718640,    543139.00,         16461089,      2158110042,         71167199,         34527890,          2660825,            638802,         64097149,        173091865,                  0,                  0,         15.32
95/01,2888,新光金,         49324773,         60345312,         49380384,          3111756,         98599009,         36697716,                  0,        370767823,        217614685,            383314,         74604467,         27498845,          1243767,        347037929,         23395126,      1360004906,          5972328,        285752877,                  0,          2290953,          7188706,         15273073,                  0,                  0,         35067277,            577227,                  0,                  0,        896084932, 25022533.00,          7930647,      1281160553,         40743739,         12870597,         19030382,          3686702,          2512933,         78844353,                  0,         10000000,         18.78
95/01,2889,國票金控,          2712952,          1250000,         94489560,         24892808,         87244002,          8686729,                  0,                  0,            496601,          1470856,                  0,          2128271,            288650,          9821947,          4186619,        237668995,          3728000,                  0,          1438328,              1262,        196538899,          1609546,                  0,                  0,                  0,                  0,                  0,            137502,          2956984,    951772.00,            125168,        207487461,         21198825,                  0,          4031302,          1139057,          3812350,         30181534,                  0,                  0,         12.44
