年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,借方內部往來,受託買賣借項,流動負債,長期負債,其他負債,貸方內部往來,受託買賣貸項,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
96/04,2855,統一證券,         43393049,          6440005,          2258141,                  0,          1806075,                  0,             43342,         29813020,          4349936,            207744,                  0,                  0,         11768695,             50110,          7822209,            -71102,         53940612,         34370700,         19569912,                  0,                  0,         16.63
96/04,2856,元富證券,         50273552,          2787610,          1931198,             62168,          1686532,                  0,            238344,         35958376,          2300000,            345303,                  0,                  0,         13988726,             16806,          4308445,             61748,         56979404,         38603679,         18375725,                  0,          3457000,         13.17
96/04,6005,群益證,         56575544,          3792532,          4155792,            400864,          2272043,                  0,            218041,         42848118,            895481,            382000,                  0,                  0,         14741150,            845050,          7612311,             90706,         67414816,         44125599,         23289217,                  0,                  0,         15.80
