年季,公司代號,公司名稱,流動資產,買匯貼現及放款,基金長期投資及放款,固定資產,無形資產,其他資產,受託買賣借項,流動負債,存款及匯款,央行及同業融資,長期負債,其他負債,受託買賣貸項,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
94/02,2816,旺旺保險,          5346575,          3312697,          3373606,            691529,            216890,          1200410,                  0,          1961914,                  0,                  0,            250857,          5470284,                  0,          6068344,            104371,          1251344,           -965407,         14141707,          7683055,          6458652,         11.39
94/02,2823,中壽,         33513519,         18225451,        121299015,          2796861,                  0,          3494281,          8259084,          1550809,                  0,                  0,             28164,        171572683,          8259084,          7924604,             66340,           -928798,           -884675,        187588211,        181410740,          6177471,          7.80
94/02,2832,台產,          6783881,              4000,          3213863,            653742,                  0,             37809,                  0,          1271292,                  0,                  0,            430458,          4287165,                  0,          3168570,            875276,            713312,            -52778,         10693295,          5988915,          4704380,         15.68
94/02,2850,新產,          6122527,                  0,          5338648,            900266,             39845,            499429,                  0,          1611854,                  0,                  0,            112490,          8010824,                  0,          2510155,            300815,            354577,                  0,         12900715,          9735168,          3165547,         13.87
94/02,2851,中再保,         12703623,                  0,          7623697,            344277,                  0,            837672,                  0,          2032934,                  0,                  0,             92468,         14125984,                  0,          4200000,            368009,            690022,               -148,         21509269,         16251386,          5257883,         12.52
94/02,2852,第一保,          6026997,            169000,          1720634,            644789,                  0,            549878,                  0,          1039079,                  0,                  0,            209007,          5074537,                  0,          2580754,            142547,            118366,            -52992,          9111298,          6322623,          2788675,         12.07
94/02,2855,統一證券,         41282905,?,          5402695,          1793095,              9468,          1464475,            266243,         31858074,?,?,          2000000,            236698,                  0,         11404990,             58990,          4796626,           -136497,         50218881,         34094772,         16124109,         14.20
94/02,2856,元富證券,         47148086,?,          2621150,          2229126,            146033,          2754484,             33022,         36116180,?,?,          1446769,            341399,                  0,         13338714,            458168,          3565756,           -187983,         55079003,         37904348,         17174655,         13.67
94/02,2867,三商美邦,         43096131,         24109330,         57943554,          2205392,             17597,          7464205,                  0,          2078807,                  0,                  0,            482394,        128934234,                  0,          4834000,            544000,         -2031801,             -5425,        134836209,        131495435,          3340774,          6.91
94/02,2880,華南金,         10887779,                  0,         83600860,             10208,                  0,             49314,                  0,          4220016,                  0,                  0,          6014111,                280,                  0,         59702086,         15812663,          8918426,           -119421,         94548161,         10234407,         84313754,         15.11
94/02,2881,富邦金,         18344883,                  0,        163332538,              6281,                  0,             11477,                  0,         21949502,                  0,                  0,          9000440,             84226,                  0,         80652974,         54691989,         27435993,        -12119945,        181695179,         31034168,        150661011,         19.65
94/02,2882,國泰金,         37505363,                  0,        172493704,              5042,                  0,          2547823,                  0,         23647306,                  0,                  0,         15250289,              1216,                  0,         84758914,         65911470,         23234527,           -251790,        212551932,         38898811,        173653121,         20.50
94/02,2883,開發金,          3870231,                  0,        133871894,             26616,                  0,             20706,                  0,          8919435,                  0,                  0,          6000000,             10214,                  0,        117532570,         16825425,          3421730,        -14919927,        137789447,         14929649,        122859798,         11.21
94/02,2884,玉山金控,          4235285,                  0,         42692132,                  0,                  0,              1777,                  0,          4345627,                  0,                  0,            790000,                  0,                  0,         30270000,          7607644,          4006245,            -90322,         46929194,          5135627,         41793567,         14.26
94/02,2885,元大金,          4577144,                  0,         44695496,            261695,                  0,            326967,                  0,          2622856,                  0,                  0,          6414074,                  0,                  0,         31617616,          8589698,          1136333,           -519275,         49861302,          9036930,         40824372,         13.77
94/02,,,,,,,,,,,,,,,,,,,,,,,
94/02,2886,兆豐金,         34095749,                  0,        186251019,            146093,                  0,             70541,                  0,         33418911,                  0,                  0,         12925988,              7030,                  0,        113657296,         46852278,         24151901,        -10450002,        220563402,         46351929,        174211473,         16.05
94/02,2887,台新金控,         19594338,                  0,         85055109,             18046,                  0,             68310,                  0,         14804993,                  0,                  0,         15497608,                  0,                  0,         55080796,         13989147,          8848825,         -3485566,        104735803,         30302601,         74433202,         16.22
94/02,2888,新光金,          8173740,                  0,         66225275,              4152,                  0,                228,                  0,         14722869,                  0,                  0,          5000000,                  0,                  0,         34124753,         10788037,          9822805,            -55069,         74403395,         19722869,         54680526,         16.02
94/02,2889,國票金控,          2019371,                  0,         25309122,              2445,                  0,              1573,                  0,          3432026,                  0,                  0,                  0,              7155,                  0,         21198825,              7370,          2687135,                  0,         27332511,          3439181,         23893330,         11.27
94/02,2890,永豐金控,          7361368,                  0,         53915695,             31088,                  0,             41270,                  0,          7048102,                  0,                  0,            123018,                  0,                  0,         42666958,         10481439,          3390346,         -2360442,         61349421,          7171120,         54178301,         12.70
94/02,2891,中信金,         18743803,                  0,        128861852,                  0,                  0,            212989,                  0,         18303063,                  0,                  0,         21000000,                  0,                  0,         73403971,         24437364,         14282111,         -3607865,        147818644,         39303063,        108515581,         14.81
94/02,2892,第一金控,          8797576,                  0,         82043473,             19557,              1131,              5304,                  0,          4297372,                  0,                  0,          5002193,              1238,                  0,         58265287,         15789195,          8079618,           -567862,         90867041,          9300803,         81566238,         14.70
94/02,6005,群益證,         42624392,?,          3272392,          4215081,            529730,          2718059,             69321,         33518819,?,?,            518711,            311370,                  0,         13643105,            843343,          4752764,           -159137,         53428975,         34348900,         19080075,         14.16
