年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),股東權益總計,共同控制下前手權益,合併前非屬共同控制股權,每股淨值(元),預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股)
101/03,1101,台泥,         16013718,         60514455,         31396789,                  0,          4117072,        112042034,         10558097,                  0,          5029398,            321671,         15909166,         36921759,         16013952,         19442149,         23755008,                  0,         96132868,                  0,                  0,         26.04,                  0,                  0
101/03,1102,亞泥,         12126200,         92706253,         13527384,                  0,          3069623,        121429460,         10744285,         23260516,          3427438,          1421455,         38853694,         32309181,          6579963,         24109902,         19576720,                  0,         82575766,                  0,                  0,         25.56,                  0,                  0
101/03,1103,嘉泥,          3908987,         16962970,          1666341,                  0,             86693,         22624991,          1388171,          7291397,                  0,            495460,          9175028,          7768285,            794367,          5443192,           -555881,                  0,         13449963,                  0,                  0,         20.86,                  0,        132150185
101/03,1104,環球水泥,          1383563,          7942568,          3610219,              9727,          2101775,         15047852,            607091,                  0,          1082113,            229607,          1918811,          6038919,            153520,          3273876,          3662726,                  0,         13129041,                  0,                  0,         21.74,                  0,                  0
101/03,1108,幸福水泥,          1829868,          2720580,          2579704,                  0,            498835,          7628987,          1708238,          1227000,                  0,            460229,          3395467,          4047380,             27431,             48921,            109788,                  0,          4233520,                  0,                  0,         10.46,                  0,                  0
101/03,1109,信大水泥,          1632569,          2654603,          1835308,                  0,            175430,          6297910,            192758,                  0,                  0,            357517,            550275,          4210008,             42598,          1516550,            -21521,                  0,          5747635,                  0,                  0,         13.65,                  0,                  0
101/03,1110,東泥,          1008775,          2496509,          4794630,                  0,            924419,          9224333,            414810,                  0,            242625,            182871,            840306,          5720008,            185152,          1642651,            836216,                  0,          8384027,                  0,                  0,         14.71,                  0,          2112865
101/03,1201,味全公司,          3788791,          6664175,          6244278,                  0,          1159731,         17856975,          3040146,          3670000,          1007250,          2155605,          9873001,          5060629,             37921,          2877359,              8065,                  0,          7983974,                  0,                  0,         15.78,                  0,                  0
101/03,1203,味王公司,          1005427,          3388808,            754279,                  0,             37569,          5186083,            625625,                  0,            139094,            482665,          1247384,          2400000,             45012,            426985,          1066702,                  0,          3938699,                  0,                  0,         16.57,                  0,          2293865
101/03,1210,大成長城,          6439411,          8075696,          3110478,                  0,            869293,         18494878,          5758375,          1250000,             20754,            157932,          7187061,          5664572,          2285214,          2896792,            461239,                  0,         11307817,                  0,                  0,         22.16,                  0,         40688225
101/03,1213,大飲,            412158,             37680,            314920,                  0,             97019,            861777,            180544,                  0,             30839,              6142,            217525,            514751,             21938,             70642,             36921,                  0,            644252,                  0,                  0,         12.52,                  0,                  0
101/03,1215,卜蜂企業,          3976480,          2522561,          2209959,                  0,            147485,          8856485,          3277571,            564715,                  0,            388234,          4230520,          2320268,                967,            609780,          1694950,                  0,          4625965,                  0,                  0,         19.94,                  0,                  0
101/03,1216,統一,         10538772,         88066182,         12039383,             22189,          5214043,        115880569,          9524274,         24639104,          1076566,          2396114,         37636058,         48624744,          6523308,         22233457,            863002,                  0,         78244511,                  0,                  0,         16.09,                  0,                  0
101/03,1217,愛之味,          1742869,          5596023,          1121638,              8963,          1505606,          9975099,          1698707,          2609931,             79974,            303397,          4692009,          4976893,            264825,            101560,            -60188,                  0,          5283090,                  0,                  0,         10.84,                  0,         10484000
101/03,1218,泰山企業,          3334033,          2737310,          2023754,              2864,             94321,          8192282,          1681009,          2216783,            222537,            196539,          4316868,          3533360,             53201,            213070,             75783,                  0,          3875414,                  0,                  0,         11.42,                  0,         13838519
101/03,,,,,,,,,,,,,,,,,,,,,,,,
101/03,1219,福壽實業,          3457449,            516835,          1745930,             10651,             53939,          5784804,            947097,            300000,            431001,            222356,          1900454,          3070473,             59244,            463450,            291183,                  0,          3884350,                  0,                  0,         12.65,                  0,                  0
101/03,1220,台榮,          1455380,            239515,            820832,                  0,             88513,          2604240,            209240,                  0,            157271,            116108,            482619,          1770779,                537,             93897,            256408,                  0,          2121621,                  0,                  0,         11.98,                  0,                  0
101/03,1225,福懋油,          2538644,          1040140,            962184,                  0,            153034,          4694002,          1244214,            920000,             95560,            121805,          2381579,          1873899,             98279,            137649,            202596,                  0,          2312423,                  0,                  0,         12.34,                242,                  0
101/03,1227,佳格,          4369118,          4958969,          1118942,             17716,            359829,         10824574,          1497570,              1611,             33685,             22552,          1555418,          5748973,             48814,          3416132,             55237,                  0,          9269156,                  0,                  0,         16.24,                  0,          4190040
101/03,1229,聯華實業,          1939842,         20726158,          3294130,                  0,             79177,         26039307,          1975850,          2425000,             93543,            218087,          4712480,          8488543,          1111167,          6609963,          5117154,                  0,         21326827,                  0,                  0,         25.13,            502000,             94000
101/03,1231,聯華食品,          2425073,            163480,          1574226,             15999,            573580,          4752358,          1290853,          1010738,                  0,            123415,          2425006,          1224480,             73042,          1049448,            -19618,                  0,          2327352,                  0,                  0,         19.01,                  0,                  0
101/03,1232,大統益,          2822150,            253684,            725866,                  0,             10710,          3812410,            900024,                  0,                  0,             19401,            919425,          1599749,             23784,          1367082,            -97630,                  0,          2892985,                  0,                  0,         18.08,                  0,                  0
101/03,1233,天仁,            610150,            355582,            948693,                739,             69126,          1984290,            342823,                  0,             47401,             18746,            408970,            905919,             60605,            436829,            171967,                  0,          1575320,                  0,                  0,         17.39,                  0,                  0
101/03,1234,黑松,          2620150,          9233859,          2936146,                  0,            271932,         15062087,          1079629,                  0,            707149,            403045,          2189823,          5358281,            184601,          2230543,          5098839,                  0,         12872264,                  0,                  0,         24.02,                  0,                  0
101/03,1235,興泰,          1019991,            236202,            191235,                  0,            160618,          1608046,            554215,                  0,             54280,             21385,            629880,            561688,             27674,            121227,            267577,                  0,            978166,                  0,                  0,         18.10,                  0,          2131610
101/03,1236,宏亞食品,            753646,            157572,          1818128,                  0,            134951,          2864297,            799550,            430000,                  0,            247205,          1476755,          1083425,             33396,            277315,             -6594,                  0,          1387542,                  0,                  0,         12.81,                  0,                  0
101/03,1301,台塑,        121680687,        152151968,         52412795,            208797,          6575913,        333030160,         44365656,         53395742,                  0,         11814597,        109575995,         61209046,         12829562,        106561841,         42853716,                  0,        223454165,                  0,                  0,         36.51,                  0,                  0
101/03,1303,南亞塑膠,        147993302,        195065483,         65121490,          1072303,          6314474,        415567052,         54698722,         94788901,                  0,         19616578,        169104201,         78522986,         25546581,        108408057,         33985227,                  0,        246462851,                  0,                  0,         31.39,                  0,            183235
101/03,1304,台聚,         10738420,          9558264,          1090187,             43340,            141069,         21571280,          1231018,          1995412,             43580,            759849,          4029859,         11426024,            264363,          5678431,            172603,                  0,         17541421,                  0,                  0,         16.90,                  0,        104438075
101/03,1305,華夏,          2783473,          2735248,          2330082,                  0,            283363,          8132166,            863767,            198520,            483213,          1107200,          2652700,          4248035,              9335,            644465,            577631,                  0,          5479466,                  0,                  0,         12.90,                  0,                  0
101/03,,,,,,,,,,,,,,,,,,,,,,,,
101/03,1307,三芳化工,          3153956,          5042962,          2841090,                  0,             23036,         11061044,          2332859,          1423167,            414610,            466869,          4637505,          3534562,            137866,          2305573,            445538,                  0,          6423539,                  0,                  0,         18.17,                  0,                  0
101/03,1308,亞聚,          4369949,          5119417,            672646,              3428,            498053,         10663493,            544244,                  0,             21469,            272506,            838219,          4696769,             31794,          3122908,          1973803,                  0,          9825274,                  0,                  0,         20.92,                  0,                  0
101/03,1309,台達化工,          3502157,          2434400,          1381844,                  2,            193965,          7512368,          2386270,            400000,            143860,            525634,          3455764,          3276518,              4862,            190542,            584682,                  0,          4056604,                  0,                  0,         12.38,                  0,                  0
101/03,1310,台苯,          3409647,          3770367,          1356573,                  0,            108092,          8644679,          3526960,            308333,            173509,            141729,          4150531,          5803403,            185372,         -1238056,           -256571,                  0,          4494148,                  0,                  0,          7.75,                  0,            265351
101/03,1312,國喬石化,          3586428,          7875057,          8378115,             12097,            106984,         19958681,          3216426,          1200000,            979556,            236891,          5632873,          9266203,            252310,          3337982,          1469313,                  0,         14325808,                  0,                  0,         15.60,                  0,          8254473
101/03,1313,聯成,          2424201,         19171444,          1673218,              6262,             76879,         23352004,            726215,          4133025,             99828,            321396,          5280464,         11263692,          1152665,          5048736,            606447,                  0,         18071540,                  0,                  0,         16.14,          1389500,          6883000
101/03,1314,中石化,         15420517,          5943324,         18002251,                  0,          6900533,         46266625,          5113830,          1337754,          3871792,            128476,         10451852,         23199897,            160174,          8345937,          4108765,                  0,         35814773,                  0,                  0,         18.14,                  0,                  0
101/03,1315,達新工業,          3288993,          1177941,          1092630,                  0,          1857127,          7416691,            451761,                  0,            710324,            298253,          1460338,          2200000,             48512,          1173949,          2533892,                  0,          5956353,                  0,                  0,         28.09,                  0,          7930000
101/03,1316,上曜,            579314,            309122,            330243,             15738,             20332,          1254749,            550576,             15391,             33660,                200,            599827,            668127,             90821,           -109181,              5155,                  0,            654922,                  0,                  0,         10.47,                  0,          4279000
101/03,1319,東陽,          5218413,          5794012,         13307844,            567989,            103850,         24992108,          3989496,          4968859,                  0,            811832,          9770187,          5770508,          4107114,          5428170,            -83871,                  0,         15221921,                  0,                  0,         26.52,                  0,          3023897
101/03,1321,大洋,          1211742,          1444657,          5226532,                  0,            792582,          8675513,          1046600,            680000,          1350538,            429127,          3506265,          2272283,            101383,            -78039,          2873621,                  0,          5169248,                  0,                  0,         23.42,                  0,          6542716
101/03,1323,永裕,            754544,          1037604,            730435,             11030,             14480,          2548093,            381978,            697181,              8767,            169951,          1257877,            827887,             54660,            396510,             11159,                  0,          1290216,                  0,                  0,         15.65,                  0,            354727
101/03,1324,地球工業,            887298,            267413,            249336,                  0,             12381,          1416428,            361699,                  0,                  0,             45043,            406742,            751219,                  0,            229097,             29370,                  0,          1009686,                  0,                  0,         13.44,                  0,                  0
101/03,1325,恒大,            851370,            319895,            658925,                  0,             79851,          1910041,             76353,                  0,             48265,             39213,            163831,          1006828,                766,            597699,            140917,                  0,          1746210,                  0,                  0,         17.34,                  0,                  0
101/03,1326,台化,        139077546,        146421615,         68065861,                  0,          9886127,        363451149,         58314243,         73617179,                  0,          6623991,        138555413,         56904721,          9882420,        100394046,         57714549,                  0,        224895736,                  0,                  0,         39.65,                  0,         17836314
101/03,,,,,,,,,,,,,,,,,,,,,,,,
