年季,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,公平價變動列入損益之金融資產-淨額,備供出售金融資產-淨額,附賣回票券及債券投資,應收款項-淨額,貼現及放款-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,固定資產-淨額,無形資產,其他金融資產-淨額,其他資產,央行及銀行同業存款,應付款項,存款及匯款,應付商業本票-淨額,公平價值變動列入損益之金融負債,附買回票券及債券負債,央行及同業融資,特別股負債,其他負債,股本,資本公積,保留盈餘,股東權益其他項目,資產總計,負債總計,股東權益總計,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股淨值(元)
99/01,2801,彰化銀行,         23958594,         76363717,         21345334,         32181018,                  0,         16326724,        987155178,        219773092,             83893,         24061651,             46144,         19077585,         17603779,         99221191,         20407080,      1185443098,                  0,          1014515,         13525011,         23476286,                  0,         12031161,         62094756,                  0,         12389047,          8374564,      1437976709,      1355118342,         82858367,                  0,                  0,         13.34
99/01,2809,京城銀行,          2495965,         30418919,          2751938,          2734804,                  0,            625905,         92531356,          7053689,             33648,          3134683,             27318,         17771712,          1031754,            859984,            662190,        133680290,                  0,                127,          4847238,          7712646,                  0,          1297999,         10512343,            105797,            785345,            147732,        160611691,        149060474,         11551217,                  0,                  0,         10.99
99/01,2812,台中銀行,          3823312,         59527434,          1531561,            689437,                  0,          3630001,        225528592,         12164540,            196013,          3514070,                  0,            181549,          2856441,          4324294,          2779611,        282595148,                  0,             10851,                  0,          7718190,                  0,            580072,         13719006,            766813,            885116,            263849,        313642950,        298008166,         15634784,                  0,                  0,         11.40
99/01,2820,華票,            242261,                  0,         68709432,         67550788,                  0,          1126368,                  0,          5189393,                  0,          1431338,                  0,            578283,          1300938,          6460000,            320972,                  0,                  0,            238176,        119501618,                  0,                  0,          1050283,         13429600,              2474,          4478547,            647131,        146128801,        127571049,         18557752,                  0,                  0,         13.82
99/01,2834,臺灣企銀,         15241195,         72018535,          4254892,         16419638,          1203214,         16278886,        884718664,        126028974,             88646,         14398369,            127606,          4302514,          4188350,         28416674,         21076000,      1013943576,                  0,            286507,          6754564,         34100000,                  0,         12511714,         38735980,                  0,          3441497,              2971,      1159269483,      1117089035,         42180448,                  0,                  0,         10.89
99/01,2836,高銀,          1839239,         20240999,          3015955,          5248076,          4826941,            940537,        145672391,          5751755,             49270,          2270482,             68086,          3560532,            817673,         10644873,          2239934,        167081066,                  0,                327,            179387,          4000000,                  0,            627890,          5257982,          2542403,          1732046,             -3972,        194301936,        184773477,          9528459,                  0,                  0,         18.12
99/01,2838,聯邦銀行,          5306884,         57505281,            585817,          8534600,            782312,         17631845,        172986062,          6730462,          2182716,          8191567,          2369638,         58257992,          7453256,         16027543,          2873334,        269615604,                  0,             88690,         31287524,          9900000,                  0,            822203,         23188244,             33811,         -5343917,             25396,        348518432,        330614898,         17903534,                  0,                  0,          7.72
99/01,2845,遠東商銀,          3306724,         71258970,         11493699,         22030693,            400012,         18565016,        213081990,          2069075,          2629504,          2210260,                  0,         10860394,          2057676,          6960152,          3660916,        307319041,                  0,          3552921,            440113,         15552315,                  0,          1128363,         19337974,              9302,          1862605,            140311,        359964013,        338613821,         21350192,                  0,                  0,         11.04
99/01,2849,安泰銀行,          4072638,         84510132,            428015,          2984772,            447490,          5816228,        200250038,                  0,            612254,          2790076,            209974,          7217310,          5652174,          2808989,          3332147,        257982896,                  0,         26246776,          2187281,          1240000,          1414865,            725838,         16796775,          1461505,            778151,             15878,        314991101,        295938792,         19052309,                  0,                  0,         11.34
