年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),股東權益總計,共同控制下前手權益,合併前非屬共同控制股權,每股淨值(元),預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股)
96/02,1101,台泥,         20787592,         44293446,         39433673,             93996,          3369880,        107978587,         10944424,         17412960,          5030332,          1130659,         34518375,         32486372,          5768907,         10718626,         24486307,                  0,         73460212,                  0,                  0,         22.90,                  0,                  0
96/02,1102,亞泥,          9242294,         69616258,          2011163,                  0,          8218792,         89088507,          6823839,         15879834,          1443866,          1702776,         25850315,         27346909,          6902839,         17218661,         11769783,                  0,         63238192,                  0,                  0,         24.97,                  0,                  0
96/02,1103,嘉泥,          3353880,         17540580,            573865,            106245,            308111,         21882681,          1835946,          3847668,                  0,            529283,          6212897,          6736871,            550796,          6158762,          3073531,           -850176,         15669784,                  0,                  0,         28.74,                  0,        128464631
96/02,1104,環球水泥,          2319675,          7246646,          3229823,             88821,          2119703,         15004668,          1086471,          1400000,          1082113,            453551,          4022135,          5591592,            178465,          1758525,          3453951,                  0,         10982533,                  0,                  0,         21.61,                  0,                  0
96/02,1108,幸福水泥,          2152921,          2593206,          2327623,             13157,            574875,          7661782,          2622230,            340000,                  0,            392317,          3354547,          4047380,             15956,            256098,            -12199,                  0,          4307235,                  0,                  0,         10.64,                  0,                  0
96/02,1109,信大水泥,          3187712,          1708604,          1899062,                  0,            198775,          6994153,            593583,                  0,                  0,            315103,            908686,          4290898,             20743,          1770244,              3582,                  0,          6085467,                  0,                  0,         14.18,                  0,                  0
96/02,1110,東泥,          1304790,          2912609,          5279384,                  0,            474193,          9970976,            587344,            114334,            243226,            672820,          1617724,          5760008,            166817,          1619837,            854616,            -48026,          8353252,                  0,                  0,         14.61,                  0,          4301932
96/02,1201,味全公司,          2926432,          1373189,          4985479,            385888,            807141,         10478129,          2854633,          1425584,            748907,          1184055,          6213179,          5060629,             97046,           -665808,           -226917,                  0,          4264950,                  0,                  0,          8.43,                  0,                  0
96/02,1203,味王公司,          1547808,          3015526,            757859,            117541,             35304,          5474038,          1313822,            280000,            139094,            418020,          2150936,          2092537,             36154,           -116347,          1315709,             -4951,          3323102,                  0,                  0,         16.03,                  0,          2000000
96/02,1210,大成長城,          4328806,          4575119,          1996825,             33059,            429759,         11363568,          3879495,          1069568,             20754,            136532,          5106349,          4218966,            218166,          1512327,            640773,           -333013,          6257219,                  0,                  0,         17.45,                  0,         43446822
96/02,1213,大飲,            439620,                  0,            193619,                  0,            180726,            813965,            186149,                  0,                  0,             49557,            235706,            514751,             21938,             42509,               -939,                  0,            578259,                  0,                  0,         11.23,                  0,                  0
96/02,1215,卜蜂企業,          2049972,            652472,            848737,                  0,             88607,          3639788,            884458,                  0,                  0,            175682,          1060140,          2320268,                967,            185983,             72430,                  0,          2579648,                  0,                  0,         11.12,                  0,                  0
