年季,公司代號,公司名稱,現金及約當現金、存放央行及銀行同業,買入票券及證券,應收款項,買匯貼現及放款,長期投資,固定資產,其他資產,央行及銀行同業存款,存款及匯款,央行及同業融資,其他負債,股本,資本公積,保留盈餘,股東權益其他項目,資產總計,負債總計,少數股權,股東權益總計,每股淨值(註一)
94/02,2801,彰化銀行,        146497008,        180207579,         26237444,        855651690,         12890040,         24629237,         33131115,        109591392,      1021526227,         20399619,         60137042,         49594756,         24911220,         -7157500,            241357,      1279244113,      1211654280,                  0,         67589833,         13.63
94/02,2809,京城銀行,         25399995,            960356,          1475997,        112426223,            746418,          3584850,          2011216,          1224981,        132170069,          3003658,          2416940,          7243343,            112862,            434915,             -1713,        146605055,        138815648,                  0,          7789407,         10.76
94/02,2812,台中銀行,         42329743,          7067155,          2198642,        182598644,            231050,          4064853,          9827368,            130472,        231338290,                  0,          3011193,         15380144,            160452,         -1703096,                  0,        248317455,        234479955,                  0,         13837500,          9.00
94/02,2834,臺灣企銀,        206485934,         35467938,         26148923,        683960260,          4155252,         14913430,         48817884,         43428324,        864407573,         29645000,         38482399,         42857220,                  0,            153607,            975498,      1019949621,        975963296,                  0,         43986325,         10.26
94/02,2836,高銀,         18577254,         23382894,            855945,         98691870,          3270784,          2407050,          1039586,         18950036,        111719624,          3754350,          3704398,          5034238,          2542403,          2520334,                  0,        148225383,        138128408,                  0,         10096975,         20.06
94/02,2838,聯邦銀行,         13455851,         34956657,         42610068,        165242600,         17281188,          8874540,         14888120,          7200436,        245240434,         11105400,         11436076,         18253942,             63733,          4011212,             -2209,        297309024,        274982346,                  0,         22326678,         12.23
94/02,2845,遠東商銀,         19035646,         22282341,         32992312,        189738383,          8278545,          2592015,          2959325,         15945023,        203567734,         26000000,         11014181,         17491359,            995179,          2854697,             10394,        277878567,        256526938,                  0,         21351629,         13.02
94/02,2849,安泰銀行,         55336621,         26391652,          9472019,        206851687,          3456039,          3308201,          9282556,          5273983,        256475690,         25000000,          8440039,         17093384,            223615,          1592064,                  0,        314098775,        295189712,                  0,         18909063,         11.06
