年季,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,公平價變動列入損益之金融資產,附賣回票券及債券投資,備供出售金融資產-淨額,應收款項-淨額,待出售資產,貼現及放款-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他金融資產-淨額,其他資產-淨額,資產總計,央行及金融同業存款,存款及匯款,應付商業本票-淨額,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付款項,央行及同業融資,與待出售資產直接相關之負債,應付債券,其他借款,特別股負債,應計退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他項目,少數股權,股東權益總計,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
101/03,2880,華南金,         39368104,        108278494,         47536511,            507855,         70334283,         43617330,                  0,      1330901003,        302822283,             83405,            934577,         31998669,            432473,         23446317,         13759076,      2014020380,         91925156,      1621316446,          6270153,         23320290,         23163376,         48008822,                  0,                  0,         38350000,          2825000,                  0,          2304038,          9648021,  6487568.00,          9077494,      1882696364,         86250301,         17758992,         20377722,          6935581,              1420,        131324016,                  0,                  0,         15.23
101/03,2881,富邦金,        171063646,         85548484,        101916676,         55026638,      1343279435,        103059563,                  0,      1231080444,        253510806,          3623370,         78814124,         31962191,         13637869,        527683028,         25003352,      4025209626,         69214351,      1387253146,                  0,         28429009,         34726902,         83946690,                  0,                  0,        107388722,                  0,                  0,                  0,      1818203889,183415097.00,         17623344,      3730201150,         95171547,         55594442,         80600658,         63641829,                  0,        295008476,                  0,          1486000,         31.00
101/03,2882,國泰金,        764424829,        154393451,         95330832,         15147717,      1287368201,         98418649,                  0,      1484256074,         24498832,          1229510,        155357366,         44668790,          9551718,      1121263437,        113962122,      5369871528,         70217926,      1454541407,          3970000,          9614405,         22064675,         50361442,          1467100,                  0,         90040291,                  0,                  0,                  0,      3057524669,337141134.00,         26812467,      5123755516,        108653851,         78596121,         31403368,         23774026,          3688646,        246116012,                  0,        200000000,         22.73
101/03,2883,開發金,         18755864,         44566934,         87413019,         10719895,         80233030,         52289998,                  0,         83006457,                  0,          6965356,                  0,          7807190,          8122276,         53660178,         30260315,        483800512,          2273654,         85931409,          6484691,         15960899,         76999225,         38202097,                  0,                  0,         37978454,         11844174,                  0,                  0,                  0, 31721476.00,         13109281,        320505360,        144561641,          2985298,          8300665,         -6489444,         13936992,        163295152,                  0,        247306000,         10.51
101/03,2884,玉山金控,         22972180,         46285507,         62841910,             11196,         53016217,         48239284,                  0,        711710748,        222020514,                  0,                  0,         16245003,          4096972,          6371285,          4667125,      1198477941,         45259757,        970222028,          1380536,         13643789,          5886657,         25013499,                  0,                  0,         63300000,                  0,                  0,                  0,                  0,  1961494.00,          1194472,      1127862232,         48107000,         13357909,          9189645,            -38845,                  0,         70615709,                  0,                  0,         14.68
101/03,2885,元大金,         36764265,         91113390,         88868627,          3842656,         49475889,         81185019,                  0,        369600387,          2474909,            497619,                  0,         13263150,         27042660,         35131407,          6746853,        809866153,         10958845,        442794925,          8888042,         11032390,         31833443,         72106769,                  0,                  0,         30807136,          5210154,                  0,          1978228,            557414, 19137429.00,         19504008,        654808783,        100162105,         34765869,         19051279,         -1925840,          3003957,        155057370,                  0,          3612000,         15.19
101/03,2886,兆豐金,        168220643,        146233020,        173414225,          2398994,        190997157,        105818589,                  0,      1521445755,        151217730,          2532366,            334423,         22731540,            240250,         22512484,         14275304,      2522372480,        240901582,      1650869582,          3308766,         15569348,        160667467,         67936896,         60827901,                  0,         62737435,          7124000,                  0,          1470485,         16375315, 11995957.00,         10640773,      2310425507,        114498240,         43425270,         48447756,          5264446,            311261,        211946973,                  0,                  0,         18.48
101/03,2887,台新金控,         53448874,        103914929,         80276519,          2502727,        268097368,        111358375,                  0,      1802378012,        172404440,            244290,                  0,         41716388,         21772302,         12814929,         21781850,      2692711003,        166784758,      2108654162,             99988,         10505812,         48596358,         62337741,                  0,                  0,         92114213,            194323,                  0,                  0,            792840, 15230700.00,          9632356,      2514943251,         76165841,          9286493,         11558310,            936831,         79820277,        177767752,                  0,                  0,         12.86
101/03,2888,新光金,         99986945,        110756754,         53030832,         11628045,        323148945,         55134400,                  0,        604187289,        241250610,            146643,         96159047,         22214858,          5146024,        599744114,         31022618,      2253634552,          2304551,        488536227,          3899415,          1941910,         35285805,         24293730,                  0,                  0,         34480319,          3417147,          1654000,                  0,      1450176903,101642047.00,         12720669,      2160352723,         84363876,          9161562,         17843867,        -31225463,         13137987,         93281829,                  0,                  0,          9.50
101/03,2889,國票金控,          1704458,                  8,        112097765,            306975,         75012958,         10707300,                  0,                  0,                  0,          1408202,                  0,          2011841,            528821,          4707564,          2055767,        210541659,         12915000,                  0,          4226416,            363822,        155293995,          2050617,                  0,                  0,                  0,                  0,                  0,             79213,          1257361,  2178261.00,             52491,        178417176,         25529802,              7544,          2104660,            546017,          3936460,         32124483,                  0,                  0,         11.04
