年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,流動負債,長期負債,其他負債,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
91/04,1101,台泥,         10271584,         36755523,         48110722,            736743,          5153204,         18092897,         27847296,          7041304,         26562543,         15140010,          6659510,           -315784,        101027776,         52981497,         48046279,         18.09
91/04,1102,亞泥,          8351025,         34909300,          2967444,                  0,          9312708,          6141107,          9910000,          4514047,         20383904,          6944857,          8616609,           -970047,         55540477,         20565154,         34975323,         17.15
91/04,1103,嘉泥,          3627149,          6868803,          4568379,            693719,          3273288,          2034450,          5453012,          2269149,          6996391,          1604024,          2065356,         -1391044,         19031338,          9756611,          9274727,         13.25
91/04,1104,環球水泥,          1469451,          4656634,          5637263,            177642,            229235,          1116517,          1800000,          2154289,          3469004,          2195211,          1422831,             12373,         12170225,          5070806,          7099419,         20.46
91/04,1108,幸福水泥,          2292394,          3095833,          2408765,             28924,            457608,          3169930,            645474,            321408,          4047380,                308,             93499,              5525,          8283524,          4136812,          4146712,         10.24
91/04,1109,信大水泥,          2127746,          1948948,          2055386,             69617,            199249,            502862,                  0,            269826,          4207140,             15139,          1407230,             -1251,          6400946,            772688,          5628258,         13.37
91/04,1110,東泥,          1377874,          2193098,          5668199,             93100,            628236,            643469,            502675,          1137097,          5586360,            315075,          1866638,            -90807,          9960507,          2283241,          7677266,         13.74
91/04,1201,味全公司,          3169539,          2006419,          4878670,            771777,            906811,          4300953,          1282746,          2460973,          5060629,          1786966,         -3038949,           -120102,         11733216,          8044672,          3688544,          7.28
91/04,1203,味王公司,          1528264,            806025,          2104040,            248852,          1672711,          2006065,            493000,          1742681,          2092537,             59265,            121151,           -154807,          6359892,          4241746,          2118146,         10.12
91/04,1210,大成長城,          3956043,          2501896,          2370773,             66123,            255555,          3401832,            858554,            157348,          4003182,            223313,            891790,           -385629,          9150390,          4417734,          4732656,         11.82
91/04,1213,大飲,            255472,              6638,            196988,                  0,            212687,             84457,                  0,             17849,            428959,             64834,             75604,                 82,            671785,            102306,            569479,         13.27
91/04,1215,卜蜂企業,          2406850,            638551,            902226,                  0,             84170,            997535,            596600,             97256,          2300268,              2969,             98402,            -61233,          4031797,          1691391,          2340406,         10.17
91/04,1216,統一,          7428558,         45210264,         13999668,            377006,          1601955,          6171486,         19058692,          2177266,         34422458,            996012,          6512837,           -721300,         68617451,         27407444,         41210007,         11.97
91/04,1217,愛之味,          1884683,          2580839,          1666514,             19556,            991900,          1737300,          1650695,            310480,          3639628,              2541,             18147,           -215299,          7143492,          3698475,          3445017,          9.47
91/04,1218,泰山企業,          2112865,          1975684,          2410573,             90169,            195551,          1970469,            870000,            813403,          3232980,            817212,           -112826,           -806396,          6784842,          3653872,          3130970,          9.68
91/04,,,,,,,,,,,,,,,,,,
91/04,1219,福壽實業,          1922219,            699663,          1461929,             71340,             89592,            623935,            450000,            400015,          2450260,            230382,            113405,            -23254,          4244743,          1473950,          2770793,         11.30
91/04,1220,台榮,          1016374,            379255,          1302868,             34940,            109789,            602284,            140000,            106258,          1770779,             42751,            166554,             14600,          2843226,            848542,          1994684,         11.26
91/04,1225,福懋油,          1321296,            876008,          1085957,             14557,            107306,          1135406,                  0,            246712,          1867870,            300130,           -198962,             53968,          3405124,          1382118,          2023006,         10.83
91/04,1227,佳格,          1987424,          2212650,          1547054,              8260,            230439,            524365,          1480000,             18719,          3209184,              5784,            630027,            117748,          5985827,          2023084,          3962743,         12.34
91/04,1229,聯華實業,          1600868,          8361032,          1460193,             31307,            763598,          1265492,          1358778,            197352,          6612928,            746620,          1868302,            167526,         12216998,          2821622,          9395376,         14.20
91/04,1231,聯華食品,          1225687,            760533,            756902,             18978,            465189,            606178,            895437,             40168,          1154190,             72435,            433682,             25199,          3227289,          1541783,          1685506,         14.60
91/04,1232,大統益,          1238602,            448735,          1723439,                  0,             12257,            854208,            354660,              5000,          1599749,             24351,            585065,                  0,          3423033,          1213868,          2209165,         13.80
91/04,1233,天仁,            505266,             67004,            661513,             35164,             79548,            266955,                  0,            118790,            829045,              2395,            169537,            -38227,          1348495,            385745,            962750,         11.61
91/04,1234,黑松,          1690456,          6815411,          3075023,            236842,             79788,            618632,                  0,          3431412,          5358281,            604389,          1885570,               -764,         11897520,          4050044,          7847476,         14.64
91/04,1235,興泰,            624471,             23510,            169390,             14542,             48041,            181918,                  0,            105042,            392037,             81254,            131287,            -11584,            879954,            286960,            592994,         15.12
91/04,1236,宏亞食品,            505509,             28891,            819036,             29423,             78262,            473584,             78473,             92922,            631224,             33396,            150295,              1227,          1461121,            644979,            816142,         12.92
91/04,1301,台塑,         28909279,         73318580,         62156375,            173552,          7719105,         15087236,         56325735,          3946346,         45347335,         14868677,         34824400,          1877162,        172276891,         75359317,         96917574,         21.37
91/04,1303,南亞塑膠,         45570317,        114847578,         80854551,          1694869,          9976339,         25399582,         78842539,         10135478,         62144795,         23236959,         48163304,          5020997,        252943654,        114377599,        138566055,         22.29
91/04,1304,台聚,          3571483,          7109506,          1202932,            133399,          1906783,          2223354,          2100000,            607950,          7714032,            299481,          1425471,           -446185,         13924103,          4931304,          8992799,         11.65
91/04,1305,華夏,          2772917,          2209907,          3287356,            321445,            438326,          1236353,          2000000,          1782310,          4248035,            123551,           -228245,           -132053,          9029951,          5018663,          4011288,          9.44
91/04,,,,,,,,,,,,,,,,,,
91/04,1307,三芳化工,          1960483,            740678,          1659457,             42549,             71840,          1004600,            317750,            298717,          2069490,            223818,            556966,              3666,          4475007,          1621067,          2853940,         13.79
91/04,1308,亞聚,          1696793,          1581358,            491191,             34226,            819455,            594017,            100000,            241985,          2279277,            520837,            944795,            -57888,          4623023,            936002,          3687021,         16.17
91/04,1309,台達化工,          2331405,            831990,          1988001,                  0,            476467,            719787,            700000,            518895,          2626219,            591530,            590173,           -118741,          5627863,          1938682,          3689181,         14.04
91/04,1310,台苯,          2500303,          4276073,          1395387,             17007,            331959,          2554861,            525911,              6961,          4851510,             40622,          1632538,         -1091674,          8520729,          3087733,          5432996,         11.20
91/04,1312,國喬石化,          3441143,          5606636,          5539476,             73219,            828478,          5328427,          2548580,          1706194,          6598242,            398368,           -844890,           -245969,         15488952,          9583201,          5905751,          8.95
91/04,1313,聯成,          1596606,          8645880,          2038254,                  0,            561749,          1173212,          1784124,            553939,          7017370,            608661,          1231265,            473918,         12842489,          3511275,          9331214,         13.29
91/04,1314,中石化,          5365198,          7636949,         32393598,             33049,          4322874,         18620126,         10686469,          7286206,         14829438,          1902139,         -1775505,         -1797205,         49751668,         36592801,         13158867,          8.87
91/04,1315,達新工業,          2166898,          1089437,          1090952,             26258,            505923,          1060781,            407960,            254857,          2415227,             41099,            728321,            -28777,          4879468,          1723598,          3155870,         13.06
91/04,1316,上曜,            235995,            532643,            593241,                  0,             24437,            481122,             19300,             59429,          1403322,            215583,           -816091,             23651,          1386316,            559851,            826465,          5.88
91/04,1319,東陽,          2019166,          3108547,          3247258,            159057,             99286,          1936903,          1534289,            439001,          3707344,            521136,            597999,           -103358,          8633314,          3910193,          4723121,         12.73
91/04,1321,大洋,          1198393,            814428,          1539059,            144880,            497134,            620316,            700000,            412991,          2080845,            254762,            155393,            -30413,          4193894,          1733307,          2460587,         11.82
91/04,1323,永裕,            447682,            315964,            465063,              9645,             26329,            182569,            142506,             36572,            693933,             56813,            140581,             11709,          1264683,            361647,            903036,         13.01
91/04,1324,地球工業,            858312,            103210,            299472,              6156,              3884,            376599,                  0,             13265,            625774,              1433,            248868,              5095,          1271034,            389864,            881170,         14.08
91/04,1325,恒大,            427053,             76542,            983216,              5961,            175114,             71903,            400000,            104254,            896400,             14610,            220145,            -39426,          1667886,            576157,          1091729,         12.17
91/04,1326,台化,         38940740,         62394939,         75059324,            197709,          8455219,         19158172,         63901237,          4281287,         41805522,          8617230,         47087964,            196519,        185047931,         87340696,         97707235,         23.37
91/04,,,,,,,,,,,,,,,,,,
91/04,1402,遠東新,         10541646,         48085679,         23203245,          1099623,         19005400,          8948991,         24630511,         16205559,         33610247,          9704984,         10378209,         -1542908,        101935593,         49785061,         52150532,         15.51
91/04,1409,新纖,          5412757,          9438865,          9907950,                  0,            484677,          5035684,          7568100,          1235015,         13253409,            360179,           -638978,         -1569160,         25244249,         13838799,         11405450,          8.60
91/04,1410,南染,            174776,            186763,            581472,              2122,            122454,             58082,                  0,            103255,            900000,             52947,            -46697,                  0,          1067587,            161337,            906250,         10.06
91/04,1413,宏洲纖維,            861477,             44268,          2647931,             23837,            291355,          1148745,            373144,            128832,          2836457,                  0,           -618310,                  0,          3868868,          1650721,          2218147,          7.82
91/04,1414,東和,          1119699,            412361,          4630680,            103184,             39705,          2517833,            517120,          1447443,          3515775,                  0,         -1503734,           -188808,          6305629,          4482396,          1823233,          5.18
91/04,1416,廣豐,          2912775,          1267655,          4968407,             64384,            191352,          3142195,              9229,          1577354,          5497834,            248038,         -1219853,            149776,          9404573,          4728778,          4675795,          8.50
91/04,1417,嘉裕,          2340527,          3019338,          1055434,             65241,            286437,          1780399,                  0,            254109,          4157493,            436068,            227855,            -88947,          6766977,          2034508,          4732469,         11.38
91/04,1418,東華,          1377417,            323941,          2640809,             81123,            183171,          1129104,                  0,            927006,          2638553,            211289,           -215781,            -83710,          4606461,          2056110,          2550351,          9.66
91/04,1419,新紡,          1247325,          1329917,          4316613,             22673,             80774,          2387152,                  0,          1397785,          2904000,                  0,            861780,           -553415,          6997302,          3784937,          3212365,         11.06
91/04,1423,利華羊毛,          1928951,            464540,          1131041,              3263,             27235,            651961,             13627,            442995,          1793000,            380235,            179607,             93605,          3555030,          1108583,          2446447,         13.64
91/04,1432,大魯閣,          1755220,          1082714,          1728509,             34102,            134082,          2514562,            640000,            618930,          1703676,            756696,         -1165077,           -334160,          4734627,          3773492,            961135,          5.64
