年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,流動負債,長期負債,其他負債,股本,資本公積,保留盈餘,其它項目,資產總計,負債總計,股東權益,每股淨值(註一)
92/03,1101,台泥,          7905181,         36953052,         47150368,            667674,          4900260,         15228302,         26276209,          7237317,         27103964,         14719356,          7354830,           -343443,         97576535,         48741828,         48834707,         18.02
92/03,1102,亞泥,          7468552,         37396442,          2862819,                  0,          8831077,          4978452,         10530000,          4421232,         20383904,          6978375,          9979892,           -712965,         56558890,         19929684,         36629206,         17.96
92/03,1103,嘉泥,          2172840,          8646458,          4530337,            693719,          3111794,          2198662,          5100000,          2282283,          6996391,          1597055,          2571141,         -1590384,         19155148,          9580945,          9574203,         13.68
92/03,1104,環球水泥,          2291099,          4338376,          5517749,            177642,            221947,          1204574,          1500000,          2218914,          3711834,          1952919,          1963955,             -5383,         12546813,          4923488,          7623325,         20.53
92/03,1108,幸福水泥,          2493873,          3076441,          2194582,             28924,            530484,          3434668,            450000,            342331,          4047380,                308,             44092,              5525,          8324304,          4226999,          4097305,         10.12
92/03,1109,信大水泥,          1905956,          1918498,          2193393,             61372,            207606,            488907,                  0,            278716,          4207140,             12030,          1301283,             -1251,          6286825,            767623,          5519202,         13.11
92/03,1110,東泥,          1205652,          2153069,          5597153,             93100,            616446,            675590,                  0,          1408818,          5586360,            313625,          1773957,            -92930,          9665420,          2084408,          7581012,         13.57
92/03,1201,味全公司,          3850330,          1789328,          5126489,            771777,            632529,          4849682,          1071529,          2539608,          5060629,          1791054,         -3021834,           -120215,         12170453,          8460819,          3709634,          7.33
92/03,1203,味王公司,          1677901,            865490,          2090432,            248852,          1651610,          2108078,            390000,          1767268,          2092537,             59265,            241743,           -124606,          6534285,          4265346,          2268939,         10.84
92/03,1210,大成長城,          3311662,          2694354,          2289379,             66123,            204784,          2740894,          1055803,            156569,          3903182,            244614,            817154,           -351914,          8566302,          3953266,          4613036,         11.81
92/03,1213,大飲,            399019,              3829,            187372,                  0,            175414,            164499,                  0,             21702,            428959,             64834,             85710,                -70,            765634,            186201,            579433,         13.50
92/03,1215,卜蜂企業,          2468528,            623236,            897532,                  0,             86092,          1047463,            577050,            107127,          2320268,                967,             55969,            -33456,          4075388,          1731640,          2343748,         10.10
