年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),股東權益總計,共同控制下前手權益,合併前非屬共同控制股權,每股淨值(元),預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股)
100/04,1101,台泥,         11683849,         60243636,         32108048,                  0,          4028618,        108064151,          5970302,                  0,          5029398,            280606,         11280306,         36921759,         16007768,         20454816,         23399502,                  0,         96783845,                  0,                  0,         26.21,                  0,                  0
100/04,1102,亞泥,         11224122,         95882556,         13004318,                  0,          3132529,        123243525,          2612903,         29217633,          3427438,          1615481,         36873455,         31368137,          6640128,         27373910,         20987895,                  0,         86370070,                  0,                  0,         27.53,                  0,                  0
100/04,1103,嘉泥,          2645017,         18821436,          2456479,              4626,            191529,         24119087,          2745985,          5083298,                  0,            614169,          8443452,          7542024,            771014,          6506819,            855778,                  0,         15675635,                  0,                  0,         25.04,                  0,        128301152
100/04,1104,環球水泥,          1413732,          7692681,          3591993,              9993,          2104079,         14812478,            634575,                  0,          1082113,            226489,          1943177,          6038919,            153520,          3046471,          3630391,                  0,         12869301,                  0,                  0,         21.31,                  0,                  0
100/04,1108,幸福水泥,          1883842,          2715270,          2687202,                  0,            537437,          7823751,          1993221,          1269500,                  0,            448646,          3711367,          4047380,             27426,           -112042,            149620,                  0,          4112384,                  0,                  0,         10.16,                  0,                  0
100/04,1109,信大水泥,          1693343,          2785750,          1853186,                  0,            167816,          6500095,            205620,                  0,                  0,            360493,            566113,          4210008,             42598,          1649031,             32345,                  0,          5933982,                  0,                  0,         14.09,                  0,                  0
100/04,1110,東泥,          1131393,          2399909,          4841405,                  0,            921035,          9293742,            481410,                  0,            242625,            397034,          1121069,          5720008,            185047,          1538013,            729605,                  0,          8172673,                  0,                  0,         14.34,                  0,          2112865
100/04,1201,味全公司,          3246269,          5473763,          6063155,                  0,          1167001,         15950188,          2168406,          2970000,          1007250,          2058231,          8203887,          5060629,             37921,          2520196,            127555,                  0,          7746301,                  0,                  0,         15.31,                  0,                  0
100/04,1203,味王公司,            988751,          3426786,            771462,                  0,             34246,          5221245,            613955,                  0,            139094,            466405,          1219454,          2400000,             45012,            479082,          1077697,                  0,          4001791,                  0,                  0,         16.84,                  0,          2293865
100/04,1210,大成長城,          5675631,          8002152,          2951748,                  0,            903879,         17533410,          5419482,          1050000,             20754,            157531,          6647767,          5247491,          1980192,          3071705,            586255,                  0,         10885643,                  0,                  0,         22.40,                  0,         38767909
100/04,1213,大飲,            332150,             36795,            317647,                  0,            112084,            798676,            137351,                  0,             30839,              6315,            174505,            514751,             21938,             50452,             37030,                  0,            624171,                  0,                  0,         12.13,                  0,                  0
100/04,1215,卜蜂企業,          3987483,          2458129,          1763406,                  0,            126195,          8335213,          3476545,              2554,                  0,            374104,          3853203,          2320268,                967,            461157,          1699618,                  0,          4482010,                  0,                  0,         19.32,                  0,                  0
